target,expo,n,beta,p
m6_sn_dep,z__exo2,1768,0.004380898214224561,0.5933960888311738
m6_sn_dep,z__o2,1769,0.01425864832789264,0.09834520940283425
m6_sn_dep,z__carbon,1769,0.00947458231005089,0.10398966167656905
d_lnirf,z__exo2,1771,0.004558758128095271,0.11818543236489437
d_lnirf,z__o2,1772,0.00028543032133848515,0.8760516322647134
d_lnirf,z__carbon,1772,0.004532852479700258,0.011766562469890714
dT,z__exo2,1793,-0.0895243678665106,0.7980276800961492
dT,z__o2,1794,-1.2299112426494163,0.01747357585444869
dT,z__carbon,1794,0.5468887514572109,0.12038525405936108
