subset,espec,n,b_x_R_gn,p_x_R_gn,b_x_R_gn_x_sn,p_x_R_gn_x_sn,b_x_R_carbon,p_x_R_carbon,b_x_R_carbon_x_sn,p_x_R_carbon_x_sn,b_x_R_gn_x_orden,p_x_R_gn_x_orden,b_x_R_carbon_x_orden,p_x_R_carbon_x_orden
DEV,solo_sn,298,-1.0771693979621522,0.01360382873819537,0.5504739657204378,0.26980580280237076,0.6750854691521587,0.3394018842680401,-0.7831156100550836,0.10547136496094789,,,,
DEV,solo_orden,298,-1.0866883096608548,0.010963554363977727,,,0.8307584304589594,0.30400494283056134,,,-0.24820506892611882,0.5924941196019022,0.26259315378842996,0.5759700103831351
DEV,ambos,298,-1.2301462852905063,0.006737930718536172,1.4278369921414267,0.169282523937883,0.9810495715848031,0.1811458061089306,-2.1856100544575443,0.015561403869319281,0.9703382365975086,0.3700788553773767,-1.4338660070530787,0.05603282074479017
TOTAL,solo_sn,361,-0.6009768241814024,0.13240178299538005,0.5104541581898938,0.3022608311319622,1.0215321086580313,0.13909755271035273,-0.6602943531179296,0.18826250231925212,,,,
TOTAL,solo_orden,361,-0.646969548310094,0.09258724237628854,,,1.33959843845463,0.08520161793115832,,,0.07292119531791776,0.8566698978894332,-0.029351373577767695,0.9480292570748606
TOTAL,ambos,361,-0.9018139234639191,0.030954872918941653,2.638115137423665,0.013576566608920442,1.4263371475422468,0.03786959698478494,-2.5166427635509963,0.0025205754527479413,2.298489583756967,0.027790970099535343,-1.9114974756482017,0.00565909236234422
