W,muestra,n,pendiente,se,t,p_uni,spearman,sd_score
60,todo,301,0.4374426315098116,0.19457857313722648,2.2481541747215164,0.012283180298606236,0.13042573320719017,1.3916488042269861
60,DEV,238,0.5613712280303254,0.22655844857541058,2.4778207635168874,0.00660937654214556,0.1524777698802629,1.3147785510405514
60,LB,63,-0.35610402969911237,0.4066910321259797,-0.8756131843812157,0.8093798222684174,-0.12298387096774194,1.3134961279728945
80,todo,281,0.49006855339215805,0.2043976687218929,2.397623008406001,0.0082509196109696,0.16132894893400687,1.4176443321633811
80,DEV,218,0.5449085986896831,0.24296538328323988,2.242741708000638,0.012456737701243255,0.15661774202235634,1.2736098636381916
80,LB,63,0.15239017796568619,0.41550920010403913,0.36675524375279606,0.3569007974888817,0.008544546850998464,1.381245862063055
100,todo,261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272
100,DEV,198,0.5935525012945254,0.26972876508485055,2.200553215404398,0.013883834361020963,0.1938341144269262,1.2389574368774636
100,LB,63,0.3674470827116412,0.4717996950464996,0.7788200937167338,0.21804284970082183,0.022801459293394777,1.2368779674145125
120,todo,241,0.5713330088411932,0.26667723391539966,2.142413885327917,0.016080095761571905,0.1558794280031549,1.179549596648723
120,DEV,178,0.6885660054606286,0.30815626783984656,2.2344702260558487,0.012726074741050232,0.2068103016291656,1.139562984623355
120,LB,63,0.1537642858839646,0.6081300242652707,0.25284771306882803,0.4001929478211853,0.015264976958525345,0.94565779896426
150,todo,211,0.42996408790288904,0.2898728234868008,1.4832852653483302,0.06899931773418534,0.13299140276695495,1.1444881622651313
150,DEV,148,0.5896550124411069,0.33718754865854483,1.7487449189241113,0.040167560870770926,0.1828220495526344,1.1352141880264188
150,LB,63,-0.37571930696445105,0.6221462924519033,-0.6039082954006304,0.7270476933369603,-0.06619623655913978,0.935329765107926
expansiva,todo,261,0.55895004925556,0.39494811506664845,1.4152493148656649,0.07849770503384532,0.110466991988445,0.7351886444751641
expansiva,DEV,198,1.0330736610479472,0.4656164709461323,2.218722329450121,0.01325281046820491,0.1729590886288078,0.7127045429977459
expansiva,LB,63,-0.8070561467987724,0.7760196188431122,-1.0399945145741667,0.8508287754173931,-0.08669354838709678,0.7314298773869086
