moderador,ln,canal,n,b_x_R_gn,p_x_R_gn,b_x_R_gn_x_m,p_x_R_gn_x_m,b_x_R_carbon,p_x_R_carbon,b_x_R_carbon_x_m,p_x_R_carbon_x_m
ley_sn_escoria_pct_prev,False,f_metal,298,-0.01148940549993594,0.007597104369410104,0.0045940024646597966,0.41841993644787556,0.00450413612859347,0.5331974925878478,-0.006895625867692176,0.1802666882053373
ley_sn_escoria_pct_prev,False,f_dross,298,0.010129460532485276,0.003485534070014657,-0.0029417415921917534,0.5171992233888122,-0.004023444671116615,0.5094201657973054,0.002480791292924442,0.5542475019638738
ley_sn_escoria_pct_prev,False,f_polvo,298,0.0013599449674504547,0.6161193037010899,-0.0016522608724680885,0.596710157625387,-0.0004806914574768392,0.9123843666379889,0.004414834574767815,0.20458824450218993
ley_sn_escoria_pct_prev,False,sn_perdido_escoria_frac,298,-0.0011573727647332258,0.28700974681345315,4.926506133545382e-05,0.9778978906158108,-0.00320968015191289,0.12672321919992366,-0.0005395298964337762,0.689997884065255
ley_sn_escoria_pct_prev,True,f_metal,298,-0.011689072008883179,0.00586420874049422,0.005691228557464548,0.2854026119718106,0.004414627238228894,0.5265232297349114,-0.008717178123804495,0.06912405264263027
ley_sn_escoria_pct_prev,True,f_dross,298,0.010172795585263674,0.002353578377482802,-0.0031162011822008107,0.42948415333993784,-0.0039599252867076225,0.493147321390484,0.003299587291292829,0.39520287222211503
ley_sn_escoria_pct_prev,True,f_polvo,298,0.001516276423619484,0.5728550066762148,-0.002575027375263962,0.39901814511426814,-0.0004547019515212547,0.9154330507872882,0.00541759083251183,0.11336047517683331
ley_sn_escoria_pct_prev,True,sn_perdido_escoria_frac,298,-0.001117110892152161,0.29212065692770506,0.0002838221628012459,0.852730067543005,-0.0034276861961574792,0.09888946167273246,-0.0011481870950560702,0.3591633974065801
m6_sn_inv_kg_prev,False,f_metal,298,-0.011611147682509974,0.00710868203609587,0.006454128288375326,0.3391955123154661,0.004466102217325115,0.5312008134344713,-0.007543702589769213,0.1577634637925739
m6_sn_inv_kg_prev,False,f_dross,298,0.010177345298729074,0.003990584038032612,-0.004453433449486552,0.426633734012851,-0.003891280721346772,0.5213399150254755,0.003053283688857316,0.4936048530507636
m6_sn_inv_kg_prev,False,f_polvo,298,0.0014338023837807937,0.5929711696775607,-0.0020006948388886,0.5673326462822967,-0.000574821495978332,0.8945905199879205,0.004490418900911774,0.2103144463571649
m6_sn_inv_kg_prev,False,sn_perdido_escoria_frac,298,-0.0011743039723903638,0.268288869178576,9.184993688341237e-05,0.9593550172025302,-0.00318129572744352,0.13868372384970645,-0.0005101383613435981,0.7215745480125351
m6_sn_inv_kg_prev,True,f_metal,298,-0.012034011331956517,0.003920045944408899,0.007942541198579515,0.18411206253029644,0.00428230740963419,0.5373400518128957,-0.009166428752343598,0.054330505383439795
m6_sn_inv_kg_prev,True,f_dross,298,0.010394827047600008,0.0020041369571501245,-0.0047317191982399354,0.3014803865421406,-0.003911279055101439,0.499638187182215,0.00363227876358397,0.35116687875790764
m6_sn_inv_kg_prev,True,f_polvo,298,0.0016391842843565588,0.5372065958945089,-0.0032108220003395486,0.31516013427962075,-0.00037102835453272157,0.9310901359743797,0.005534149988759682,0.09898440399517291
m6_sn_inv_kg_prev,True,sn_perdido_escoria_frac,298,-0.0010779748491632725,0.27792082016744657,-7.003770689206856e-05,0.9547055281236523,-0.0034826816074485707,0.10393584313447855,-0.001158138940285673,0.37085391007605883
ratio_sn_feo_prev,False,f_metal,298,-0.011897792874931446,0.007422365983031827,0.004925088017323122,0.48281947008679016,0.004789625039152517,0.5089509050338008,-0.006468763844067412,0.23764242436420258
ratio_sn_feo_prev,False,f_dross,298,0.010390035116377962,0.003800700829049556,-0.0030360154838208865,0.5964383482912509,-0.004149875477064496,0.49887043293463085,0.0021948290140341078,0.627404975758975
ratio_sn_feo_prev,False,f_polvo,298,0.0015077577585534438,0.5813118726621522,-0.0018890725335022542,0.494266227616464,-0.0006397495620881885,0.8830871426443325,0.004273934830033273,0.20170429086334507
ratio_sn_feo_prev,False,sn_perdido_escoria_frac,298,-0.001152737294987987,0.2626278003864373,-0.00025692259228454127,0.8651878605166287,-0.0030734280284311524,0.136603867880244,-0.00029259850411649896,0.8236579397483362
ratio_sn_feo_prev,True,f_metal,298,-0.012067667918699225,0.0042487134545212985,0.007392542495703311,0.23286597906927797,0.004449984742543119,0.5232501305669766,-0.008950545007322761,0.06933389034922013
ratio_sn_feo_prev,True,f_dross,298,0.01040632814008528,0.0020772421936171765,-0.00423689312436587,0.35763810340126967,-0.003974901023695512,0.4916001927007969,0.003466122259860029,0.37686031087128335
ratio_sn_feo_prev,True,f_polvo,298,0.0016613397786140144,0.5348515493522803,-0.003155649371337542,0.29766299916843,-0.0004750837188476957,0.9121572652435873,0.005484422747462785,0.10758824701441681
ratio_sn_feo_prev,True,sn_perdido_escoria_frac,298,-0.0010802135198023815,0.2730309445491046,-0.0002174975384050728,0.849756743869627,-0.0033723279564550415,0.10519726045626618,-0.000947493185227039,0.4418029044324986
m6_avance_prev,False,f_metal,298,-0.011597176900099164,0.0064272869349545105,-0.005487924166645269,0.36908629354400957,0.004619338672265132,0.5266301683748535,0.0068765940778612285,0.19594220458110057
