conjunto,canal,expo,n,beta,t,p,sd_canal
DEV,canal_dross_frac,x_R_gn,298,0.009814609335814767,3.4876935256441275,0.0004872061914129061,0.03633451969006258
DEV,canal_escoria_frac,x_R_carbon,298,-0.003287630626199215,-2.3903573338007975,0.016831987213382683,0.006771774993745456
total,canal_dross_frac,x_R_gn,361,0.007238248454846814,2.568562969172351,0.010212115672725354,0.036618101710517055
total,canal_escoria_frac,x_R_carbon,361,-0.002062507892749827,-1.777795291550561,0.07543748209258117,0.007508651338981108
