termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot,proxy,muestra,n,r2_oof_proxy
__ap,0.30432322940334033,0.08497340059494973,3.5813940276909118,0.0003417657613423316,0.10098058613017251,0.49473180524631716,tiro_horno_pct,TOTAL,1431,0.5851320835600446
__ap_x_zT,0.14965260595884108,0.06350865597271534,2.356412738810518,0.01845240242795879,-0.014019997360851381,0.2953472369197147,tiro_horno_pct,TOTAL,1431,0.5851320835600446
__ap,0.1481912578892017,0.10600944424208997,1.3979061860826536,0.16214124078890013,-0.11922715872296956,0.3708102881931981,temperatura_gas_pre_bhf_celsius,TOTAL,1432,0.47081186855257995
__ap_x_zT,0.1439245056608113,0.10789204504367857,1.3339677230378337,0.18221443484312938,-0.10184399797334694,0.3511647504344144,temperatura_gas_pre_bhf_celsius,TOTAL,1432,0.47081186855257995
__ap,0.08575186367826314,0.1093204316014732,0.7844083893747411,0.43280051731792957,-0.18030353581794548,0.32145673438646627,temperatura_gas_pre_cuchilla_celsius,TOTAL,1432,0.5263802497178295
__ap_x_zT,0.12104816480931009,0.112274297949289,1.0781467087327856,0.2809682897504695,-0.13941096458721727,0.3512489294652138,temperatura_gas_pre_cuchilla_celsius,TOTAL,1432,0.5263802497178295
__ap,-0.03875879255274135,0.03475370391968981,-1.1152420657753965,0.26474670424476887,-0.09389541330007095,0.018748721571887932,delta_T_gas_pre,TOTAL,1432,0.3525605930532384
__ap_x_zT,-0.016089419421048926,0.034044880354493885,-0.4725943887455942,0.6365025865391861,-0.06931543977835426,0.035657450541410424,delta_T_gas_pre,TOTAL,1432,0.3525605930532384
__ap,-0.19460527780104594,0.35362958880675116,-0.550308243316688,0.5821079711978558,-1.0426586608476338,0.6898485729289057,presion_punta_lanza_kpa,TOTAL,1235,0.218412874472951
__ap_x_zT,-0.6276683812905709,0.346442704403731,-1.8117523426301116,0.070024471898096,-1.3261454231200798,0.025481232136149133,presion_punta_lanza_kpa,TOTAL,1235,0.218412874472951
__ap,0.27917448570538683,0.0742249454753701,3.761194890982098,0.00016910360472186724,0.14366883709680606,0.41036637963699146,d_tiro_horno_pct,TOTAL,1430,0.44035959844538564
__ap_x_zT,0.047649026628302414,0.09003906655102009,0.5292039161834533,0.5966640003144136,-0.0830061996195946,0.18618437567432752,d_tiro_horno_pct,TOTAL,1430,0.44035959844538564
__ap,-0.14904071957626977,0.3320127111418304,-0.4489006431823088,0.6535033320741652,-0.6921829265737848,0.42475130752112794,d_presion_punta_lanza_kpa,TOTAL,1223,0.17650181218773875
__ap_x_zT,-0.3840060654325629,0.27196963688195186,-1.4119446193886722,0.1579662683591494,-0.9229576270363904,0.15380384235342123,d_presion_punta_lanza_kpa,TOTAL,1223,0.17650181218773875
__ap,0.33122884292094784,0.09565739357354168,3.462658039770843,0.0005348676975158296,0.1157971754137664,0.5499979615550334,tiro_horno_pct,DEV,1179,0.5576153564569525
__ap_x_zT,0.1436790905965783,0.05885984374695575,2.441037580974031,0.014645130642284825,0.010819437505555295,0.2780780057998583,tiro_horno_pct,DEV,1179,0.5576153564569525
__ap,0.25063659570123153,0.11232759550678781,2.231300283518362,0.02566124491727321,0.005108721295249596,0.4955077064736138,temperatura_gas_pre_bhf_celsius,DEV,1180,0.510636070847703
__ap_x_zT,0.08653515216984686,0.1146236263416725,0.7549503966302817,0.45027874544695334,-0.1573464268425309,0.3161983274215876,temperatura_gas_pre_bhf_celsius,DEV,1180,0.510636070847703
__ap,0.1781901587833949,0.11535209399755326,1.5447501003941417,0.12240672133938695,-0.09025407940843898,0.4246748384769821,temperatura_gas_pre_cuchilla_celsius,DEV,1180,0.5448985706807714
__ap_x_zT,0.07682627983431028,0.12648111136543289,0.6074130674922801,0.5435768185128043,-0.18154121992147448,0.30227393556747617,temperatura_gas_pre_cuchilla_celsius,DEV,1180,0.5448985706807714
__ap,-0.045718050171422775,0.03114639213052271,-1.4678441721222726,0.1421465557438667,-0.1161616199814877,0.015073199913924227,delta_T_gas_pre,DEV,1180,0.3402695686731655
__ap_x_zT,0.018090388829818855,0.024657529252197167,0.7336659178131916,0.46315237534278086,-0.030866116667558584,0.06737319828062899,delta_T_gas_pre,DEV,1180,0.3402695686731655
__ap,-0.007055268480626625,0.4189775263146198,-0.01683925279402376,0.9865648551291124,-0.9046277837626401,1.0547032113541746,presion_punta_lanza_kpa,DEV,984,0.18078841607632423
__ap_x_zT,-0.5609940245044683,0.3853118018946432,-1.4559482002522788,0.14540693970273938,-1.3765013837552125,0.1551025258803255,presion_punta_lanza_kpa,DEV,984,0.18078841607632423
__ap,0.19985467679952976,0.08780419138895414,2.2761405080791133,0.02283760126031157,0.050155184441194614,0.35373626439410877,d_tiro_horno_pct,DEV,1178,0.4427908045703781
__ap_x_zT,0.06106923760392161,0.10357551318570074,0.5896107653787865,0.5554516326318315,-0.041188978977522446,0.18609578626896123,d_tiro_horno_pct,DEV,1178,0.4427908045703781
__ap,-0.12993928609524502,0.35930973693318563,-0.3616358610382092,0.7176241626725682,-0.8020697477938284,0.4519604097599275,d_presion_punta_lanza_kpa,DEV,973,0.1551758136292457
__ap_x_zT,-0.5209507055039977,0.30716660591210077,-1.6959874396407326,0.08988825876968103,-1.1749819951362857,-0.009655251907281767,d_presion_punta_lanza_kpa,DEV,973,0.1551758136292457
