y,x,n_boot,media,ic_lo,ic_hi
recuperacion_refinada_pct,x_F_carbon,1000,-0.5550430304631844,-1.537551336447018,0.468304640215262
recuperacion_refinada_pct,x_F_gn,1000,-0.23798176033900192,-1.3864585988646176,0.6716196228568978
recuperacion_refinada_pct,x_F_exo2,1000,-1.0212600609902895,-2.3749375928454066,0.18710428880511637
recuperacion_refinada_pct,x_Rt_carbon,1000,0.43045149423894263,-0.45209586339607555,1.510044969052557
recuperacion_refinada_pct,x_Rt_gn,1000,-0.48975383106900083,-1.30776934950693,0.26679856393205104
recuperacion_refinada_pct,x_Rl_carbon,1000,0.585746161373887,-0.13873927159477423,1.3304445035206998
recuperacion_refinada_pct,x_Rl_gn,1000,-0.6416461031840788,-1.3122486380636738,0.030581421854494344
f_metal,x_F_carbon,1000,-0.5225314008605942,-1.5169014813766135,0.5234886099787727
f_metal,x_F_gn,1000,-0.22088133358902798,-1.3562869450169166,0.7203719400285749
f_metal,x_F_exo2,1000,-1.1090912572081422,-2.448029766143501,0.10492360564303473
f_metal,x_Rt_carbon,1000,0.2808637627571401,-0.6157069249322026,1.3611567045028714
f_metal,x_Rt_gn,1000,-0.4879452470980773,-1.3064329289022465,0.27881059821185983
f_metal,x_Rl_carbon,1000,0.5123786608614659,-0.21364949473322928,1.2740390447085121
f_metal,x_Rl_gn,1000,-0.699387926141286,-1.352531205705163,-0.04404355981683276
f_dross,x_F_carbon,1000,-0.5037372126064225,-1.347512161699853,0.3109084917892425
f_dross,x_F_gn,1000,0.07700083047702078,-0.7016348838786893,0.8988723830657209
f_dross,x_F_exo2,1000,1.2785802468587144,0.2262707060448885,2.688672286053842
f_dross,x_Rt_carbon,1000,-0.4001351485165915,-1.2011642808033656,0.2892010020387018
f_dross,x_Rt_gn,1000,0.5902536219979329,0.015462935506835623,1.12748972862013
f_dross,x_Rl_carbon,1000,-0.20656390273282305,-0.7897968017550159,0.3779102360433904
f_dross,x_Rl_gn,1000,0.47085458586355705,-0.023342638559999553,0.9873237469656753
f_polvo,x_F_carbon,1000,1.026268613467016,0.31982057702188665,1.753034851484572
f_polvo,x_F_gn,1000,0.1438805031120071,-0.41037130270495636,0.796285158807171
f_polvo,x_F_exo2,1000,-0.1694889896505743,-1.1090313370302418,0.5736923797501031
f_polvo,x_Rt_carbon,1000,0.11927138575945173,-0.4834115574801752,0.6934887566495814
f_polvo,x_Rt_gn,1000,-0.10230837489985578,-0.6484993543390581,0.4824346978527196
f_polvo,x_Rl_carbon,1000,-0.3058147581286431,-0.8105215282415307,0.20686163748614875
f_polvo,x_Rl_gn,1000,0.22853334027772862,-0.1865054926431496,0.6464598814101783
sn_perdido_escoria_frac,x_F_carbon,1000,0.0646280615387496,-0.10518203941898405,0.22673859647227437
sn_perdido_escoria_frac,x_F_gn,1000,0.024776307233277582,-0.11692997432018497,0.17807194345507463
sn_perdido_escoria_frac,x_F_exo2,1000,-0.10018785468174231,-0.3453008587338457,0.16058405147408886
sn_perdido_escoria_frac,x_Rt_carbon,1000,-0.220045698866546,-0.42255829332851735,-0.028061742266325216
sn_perdido_escoria_frac,x_Rt_gn,1000,0.010302403271902953,-0.0936596499396103,0.1135177584133976
sn_perdido_escoria_frac,x_Rl_carbon,1000,-0.11476320351760408,-0.2536020788492491,0.013475196935143723
sn_perdido_escoria_frac,x_Rl_gn,1000,-0.07213745818942684,-0.21647870965964724,0.07802878091170122
