canal,conjunto,lag,acf,n
M_kg,DEV,1,0.28471216531796983,298
M_kg,DEV,2,0.252237758783411,297
M_kg,DEV,3,0.29599846238689964,296
M_kg,DEV,4,0.1946596407105681,295
M_kg,DEV,5,0.15815120538709446,294
M_kg,DEV,6,0.1662316579702664,293
M_kg,DEV,7,0.10977888069866615,292
M_kg,DEV,8,0.1578823707399979,291
M_kg,total,1,0.39997108761870304,361
M_kg,total,2,0.3893943879077598,360
M_kg,total,3,0.4453350567789505,359
M_kg,total,4,0.34955480791013044,358
M_kg,total,5,0.29809789052708996,357
M_kg,total,6,0.31523419194807173,356
M_kg,total,7,0.28183094234715955,355
M_kg,total,8,0.2978443700940281,354
D_kg,DEV,1,0.24105011210249574,298
D_kg,DEV,2,0.27067603196162204,297
D_kg,DEV,3,0.34919208387429945,296
D_kg,DEV,4,0.22062916626279774,295
D_kg,DEV,5,0.19908427698177295,294
D_kg,DEV,6,0.21316082728848065,293
D_kg,DEV,7,0.20930689718642959,292
D_kg,DEV,8,0.09983920376478952,291
D_kg,total,1,0.22477404188405756,361
D_kg,total,2,0.23274494809407167,360
D_kg,total,3,0.3612487930017068,359
D_kg,total,4,0.23127116359881683,358
D_kg,total,5,0.13912560845119065,357
D_kg,total,6,0.21459631901839193,356
D_kg,total,7,0.21805701194303867,355
D_kg,total,8,0.07160710890000571,354
P_kg,DEV,1,-0.07766592926224188,298
P_kg,DEV,2,-0.12894159112243503,297
P_kg,DEV,3,0.4480712227274305,296
P_kg,DEV,4,-0.09364458560423525,295
P_kg,DEV,5,-0.18534085744525983,294
P_kg,DEV,6,0.3015659335428267,293
P_kg,DEV,7,-0.034980923895921535,292
P_kg,DEV,8,-0.0852914507112078,291
P_kg,total,1,-0.08722617154690429,361
P_kg,total,2,-0.10885876086984089,360
P_kg,total,3,0.452210257083381,359
P_kg,total,4,-0.08667138442508765,358
P_kg,total,5,-0.16194198264417636,357
P_kg,total,6,0.3344259521547177,356
P_kg,total,7,-0.04348744471245941,355
P_kg,total,8,-0.08260469157705667,354
E_kg,DEV,1,0.02698866782333387,298
E_kg,DEV,2,-0.008007569548327821,297
E_kg,DEV,3,0.15929777821062435,296
E_kg,DEV,4,0.0032293349152690666,295
E_kg,DEV,5,0.04768959533559964,294
E_kg,DEV,6,0.21568125400987737,293
E_kg,DEV,7,0.04227546205376643,292
E_kg,DEV,8,-0.11302159484959158,291
E_kg,total,1,0.0021968926136059063,361
E_kg,total,2,-0.024942458338564413,360
E_kg,total,3,0.1513946541230691,359
E_kg,total,4,0.012963938901327195,358
E_kg,total,5,0.003535564215070357,357
E_kg,total,6,0.1876346148052716,356
E_kg,total,7,0.04667980633667886,355
E_kg,total,8,-0.1251584471573411,354
f_metal,DEV,1,0.11833706061543507,298
f_metal,DEV,2,0.03814158081831304,297
f_metal,DEV,3,0.2788002754380166,296
f_metal,DEV,4,-0.012101625052608062,295
f_metal,DEV,5,-0.08371489018779482,294
f_metal,DEV,6,0.16045656140379513,293
f_metal,DEV,7,0.009800027587994647,292
f_metal,DEV,8,-0.0874199552457196,291
f_metal,total,1,0.1234252194383503,361
f_metal,total,2,0.04838059579916579,360
f_metal,total,3,0.2861254379750224,359
f_metal,total,4,0.03119596472720836,358
