muestra,outcome,n,termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot
DEV,recuperacion_refinada_pct,298,xG,-1.1840879335896535,0.4305586495170928,-2.750119954430613,0.005957345203682166,-1.970537442281991,-0.40086963395267344
DEV,recuperacion_refinada_pct,298,xC,1.2533593248186083,0.7946173060404611,1.5773118900015357,0.11472377788018776,-0.11951992255320772,2.833119512916643
DEV,recuperacion_refinada_pct,298,xG_x_zT,0.05459260426948476,0.6329564563575131,0.08625017364330223,0.9312675464746398,-1.1520322819037692,1.1322157402667012
DEV,recuperacion_refinada_pct,298,xC_x_zT,-1.3565142888396817,1.3530113731806395,-1.0025889772462204,0.31605921634318224,-4.0959782727207665,0.7533218721684117
DEV,recuperacion_refinada_pct,298,xG_x_zidx,-0.0639439819458475,0.6646865979129093,-0.09620170189474132,0.923360379169709,-1.4005288539642657,1.1238269000589964
DEV,recuperacion_refinada_pct,298,xC_x_zidx,-0.5866980632613543,1.2634810520992108,-0.4643505039403517,0.6423966456330416,-2.9905917590500057,1.4676881491626002
DEV,f_dross,298,xG,1.1162947144283144,0.3154465346103016,3.538776280447556,0.0004019863792474479,0.4777335218628593,1.7047783209669463
DEV,f_dross,298,xC,-0.6287299285841361,0.6294935948784055,-0.9987868561324807,0.31789795457664716,-1.8721042758000335,0.5407002447342908
DEV,f_dross,298,xG_x_zT,-0.9529053261323776,0.4733028748318081,-2.013309820843577,0.044082045838108014,-1.7631168367405996,0.03976266696753196
DEV,f_dross,298,xC_x_zT,1.0100151075845942,1.1010224116057934,0.9173429141297234,0.3589629763860286,-0.5875176115564728,3.1559258660251284
DEV,f_dross,298,xG_x_zidx,-0.48548498703927606,0.47420770457720685,-1.0237813142916432,0.3059385780909958,-1.3257418703665647,0.523935913656255
DEV,f_dross,298,xC_x_zidx,0.7318613539904049,1.0072954938865302,0.7265607345929889,0.46749508926047356,-0.9427530085544573,2.684180310386743
DEV,f_polvo,298,xG,0.1688138859281536,0.2804009219996309,0.602044689169659,0.5471443905118833,-0.33134950448943795,0.7002890499461228
DEV,f_polvo,298,xC,-0.31997181025694776,0.48878663305870945,-0.654624714785347,0.5127094076703009,-1.366556349856646,0.5451863794549142
DEV,f_polvo,298,xG_x_zT,0.9045430401897292,0.4867963649058838,1.8581548783023711,0.06314702354655323,0.05948731272344632,1.897943908076383
DEV,f_polvo,298,xC_x_zT,0.6622841639333608,0.8794171915650013,0.753094401935408,0.45139318816119733,-1.0685316604396766,2.5121234544322704
DEV,f_polvo,298,xG_x_zidx,0.5195973057716368,0.48333358288715406,1.0750283534362837,0.2823620343340847,-0.39195768012324067,1.443876189231727
DEV,f_polvo,298,xC_x_zidx,0.3214044884143272,0.7892111757343288,0.40724776624618053,0.6838260222661802,-1.4375202522032526,1.9559803936115117
