termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca
__ap,0.0003132210649949642,0.00022624811449577993,1.384414034534668,0.16623171400834502,-0.00011701198027076054,0.0007564256862402434,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
__ap_x_zT,0.00017547433507109924,0.00018002837117323399,0.9747037865617715,0.3297072141365528,-0.00015931587394714438,0.0005541451738229758,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
__ap,0.011151143578464993,0.004806198247603192,2.320158887333865,0.020332283720610144,0.0030437320882247946,0.020034941636834582,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap_x_zT,-0.0004298005600090579,0.003116152406741373,-0.13792668133921906,0.8902983632762989,-0.00646541282813049,0.005490206299432008,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap,0.0026148908521951195,0.0018513274048576871,1.4124410654398152,0.15782013214436352,-0.00026919787655740976,0.006143281245135204,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap_x_zT,3.934194718383317e-05,0.001398754827601286,0.02812640672082639,0.9775613328842345,-0.0023228782191124665,0.0030614713490458864,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap,0.011408030479611609,0.004798148645925857,2.3775900501328255,0.01742618746566146,0.0034007527648457193,0.019790032244916263,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
__ap_x_zT,0.00024001459218078188,0.003049664416398031,0.07870196828550202,0.9372696798731156,-0.005443326927981245,0.0062393516605953716,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
__ap,-0.0022105606167565264,0.000906585996031632,-2.438335278101292,0.014755081643293103,-0.003974566137105898,-0.0006927635916473398,TOTAL,feo_ret__GN,tasa_gn_nm3_min
__ap_x_zT,0.0005794295499776161,0.0006148640733905419,0.9423701514750579,0.3460031634871148,-0.0007173761199967697,0.0017096848666184202,TOTAL,feo_ret__GN,tasa_gn_nm3_min
__ap,0.0005629900512072664,0.00022905762862741833,2.4578533122030066,0.01397702509539079,9.441467604975808e-05,0.0009923667856883724,DEV,sn_dep__Cx_sn,Cx_sn_v6
__ap_x_zT,7.168479809887009e-05,0.00022224085603134296,0.3225545445557511,0.7470326232089006,-0.0004064207263839516,0.0004262786552246277,DEV,sn_dep__Cx_sn,Cx_sn_v6
__ap,0.007723609984781892,0.00521165383516291,1.4819882956674655,0.13834340929517394,-0.0011734294317184528,0.018250973646651417,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap_x_zT,-0.001955799952656651,0.003285127586898237,-0.5953497698100927,0.5516096940652053,-0.007502378775268906,0.00375870567515733,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min
__ap,0.00519743049764665,0.002000575570631276,2.597967591899873,0.009377734417989976,0.0015921013171532963,0.0086302302437944,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap_x_zT,-0.001220260210761984,0.0016031821419895023,-0.7611488294447172,0.4465681778844206,-0.0038341250385528335,0.0014742151004476442,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
__ap,0.007484394718705586,0.005217151501380209,1.4345749240223469,0.15140826451164824,-0.0018138925352297972,0.01794413360349395,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
__ap_x_zT,-0.0009624464305139957,0.0031772217368558455,-0.302920762296693,0.761950248267931,-0.0067069450444288145,0.0046280380381605885,DEV,sn_dep__C_crudo,tasa_gn_nm3_min
__ap,-0.002486793236986332,0.0010767612800955625,-2.3095121295275676,0.020915179386930834,-0.004588857951397749,-0.0007144999268510838,DEV,feo_ret__GN,tasa_gn_nm3_min
__ap_x_zT,0.000871823059461186,0.0007454072820537657,1.169592892974048,0.24216483875520745,-0.0005160989507085244,0.002354813384146651,DEV,feo_ret__GN,tasa_gn_nm3_min
