nula,p_W100,p_corregida_6W
bloque10,0.00998003992015968,0.011976047904191617
bloque20,0.003992015968063872,0.003992015968063872
bloque40,0.003992015968063872,0.00998003992015968
circular,0.012048192771084338,0.012048192771084338
signo20,0.001996007984031936,0.001996007984031936
