k_sesgo,muestra,n,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,p_perm_bloques,kpi_res_tercio_bajo,kpi_res_tercio_medio,kpi_res_tercio_alto,valor_rec_medio_pp
20,todo,262,0.7431290725879488,0.3933001762941287,1.8894704792407753,0.029414407394228508,0.18859242192678952,0.0021723768544255812,0.08658268346330734,-0.9894468239726777,-0.07956702672513125,1.0803868026982812,1.0857968451908282
20,DEV,199,0.6829468197965614,0.47047797843894656,1.4516020963671665,0.07330613776197661,0.20564032282625247,0.0035700580853166228,0.10277944411117776,-1.2232323659267017,-0.20996384631805162,1.451730035971166,0.768736301311925
20,lockbox,63,0.6403161862519595,0.9296733385937325,0.6887539522436256,0.24548905891008227,0.06638824884792627,0.605184544551754,0.26034793041391724,-0.23096944266664143,-0.32208792691504956,0.5530573695818426,2.087305547284507
40,todo,262,0.5732868350899527,0.40844175089508905,1.403595087509076,0.0802197294006467,0.18120938369813153,0.0032451054225273164,0.16916616676664667,-0.7560865313655988,-0.20300084580540761,0.9677780269576043,0.969496844406826
40,DEV,199,0.5578047985426509,0.4467440263818356,1.248600463805398,0.10590562131656073,0.2020283234353586,0.004215437709157929,0.15296940611877624,-1.304030342169489,-0.20651849260650665,1.5303068702636626,0.8290433763058519
40,lockbox,63,0.41791311517317464,1.3654704325239766,0.3060579747601649,0.3797802523784015,0.02361751152073733,0.8542253323115159,0.38032393521295743,-0.40133994815310947,0.5839072775284884,-0.1825673293752273,1.413151449995617
