bloque_excluido,batches,n,pendiente,t
0,0-19,241,0.7067388552474128,2.324030462710625
1,20-39,241,0.7263481557547646,2.4001144189201735
2,40-59,241,0.688004592875078,2.0921650406121404
3,60-79,241,0.7324532236529269,2.2879092623119073
4,80-99,241,0.6832948607754912,2.2265068338521936
5,100-119,241,1.001620220087636,2.3956433189168163
6,120-139,241,0.755732483649315,1.95698789582746
7,140-159,241,0.8450058565733298,2.296076459035906
8,160-179,241,0.6884125961896675,2.132628344441632
9,180-199,241,0.6666495174353791,1.9826624685847847
10,200-219,241,0.8208030171371518,2.493000482502658
11,220-239,241,0.602464384403876,1.9745332836443672
12,240-259,241,0.6756229042657375,2.1228354409375423
13,260-279,241,0.6421322227569404,1.9614235953902637
14,280-299,241,0.6638325138194964,2.2149641875770434
15,300-319,241,0.6703563988980802,2.065648494496918
16,320-339,241,0.657439946766899,2.088870265025016
17,340-359,241,0.7010122466303566,2.1268104479927086
18,360-360,260,0.6960609900955064,2.328802745066367
