contraccion,muestra,n,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,p_perm_bloques,kpi_res_tercio_bajo,kpi_res_tercio_medio,kpi_res_tercio_alto,valor_rec_medio_pp
ols,todo,262,0.4384154119548229,0.254413014807691,1.723242862737262,0.04242230775451186,0.18134483392501066,0.00322172595443258,0.09818036392721456,-1.234663779025007,0.5633309197436469,0.6855243969720894,1.3351494116636882
ols,DEV,199,0.4717414687311039,0.2970817038753141,1.5879182816626598,0.05615240947738735,0.21348408710217756,0.002465265802529211,0.07238552289542091,-1.511117615543816,0.30517664191652655,1.2288366950751735,1.1266657610165622
ols,lockbox,63,0.17357677129106525,0.6736298454473275,0.2576738136888823,0.39832932872570714,0.012576804915514593,0.9220671829072071,0.4411117776444711,-0.46039868546475776,0.9962107899514918,-0.5358121044865825,1.9936930065649274
