Batch,orden_escalon_fase,T_prev,hist__gn,hab__gn,rec__gn,delta__gn,z_hist__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,hist__carbon,hab__carbon,rec__carbon,delta__carbon,z_hist__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon,efecto_ln_sn_dep,efecto_ln_feo_ret,inicio_bloque
AP0101,0,1066.7800829681821,28.369608504683878,26.941963423651547,26.941963423651547,0.0,0.3863220551133298,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,-0.0,-0.0,65.07613335065943,59.40046928991425,59.40046928991425,0.0,0.5625057027378307,0.0,0.7772153620577759,mantener: beta no distinguible de 0,0.0,0.0,0.0,0.0,100
AP0101,1,1093.1201740483552,25.05501230197483,23.85811493409973,23.85811493409973,0.0,0.4663092798909429,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,-0.0,-0.0,29.245845481676934,35.74127646720503,35.74127646720503,0.0,-0.9895257114609837,0.0,0.7772153620577759,mantener: beta no distinguible de 0,-0.0,0.0,0.0,0.0,100
AP0101,2,1102.391639074316,18.502281765407986,19.913786736490216,19.913786736490216,0.0,-0.4659878610626542,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,0.0,-0.0,5.0050017341734865,8.565221921017589,8.565221921017589,0.0,-0.4886974843603447,0.0,0.7772153620577759,mantener: beta no distinguible de 0,-0.0,0.0,0.0,0.0,100
AP0101,3,1104.22409088649,16.783672417534724,17.964025094583445,17.964025094583445,0.0,-0.6399795487801452,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,0.0,-0.0,4.90337388009736,5.102202542899152,5.102202542899152,0.0,-0.037515788703521145,0.0,0.7772153620577759,mantener: beta no distinguible de 0,-0.0,0.0,0.0,0.0,100
AP0102,0,1111.5749710243092,28.375203540943282,27.75507476930443,27.75507476930443,0.0,0.16780740863211874,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,-0.0,-0.0,56.215215593528725,62.78165438220413,62.78165438220413,0.0,-0.6507889166406814,0.0,0.7772153620577759,mantener: beta no distinguible de 0,-0.0,0.0,0.0,0.0,100
AP0102,1,1084.1451333558998,24.256729939778648,22.503699313542914,22.503699313542914,0.0,0.6829778984291813,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,-0.0,-0.0,18.41134170277077,30.18856293391686,30.18856293391686,0.0,-1.7941631962141062,0.0,0.7772153620577759,mantener: beta no distinguible de 0,-0.0,0.0,0.0,0.0,100
AP0102,2,1097.0008908698062,18.742656055026583,19.540283337958552,19.540283337958552,0.0,-0.2633250602112345,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,0.0,-0.0,15.293655443948413,9.45242256156505,9.45242256156505,0.0,0.8018031653581751,0.0,0.7772153620577759,mantener: beta no distinguible de 0,0.0,0.0,0.0,0.0,100
AP0102,3,1081.7095365417713,15.04294263109749,17.61528138531847,17.61528138531847,0.0,-1.3947053514142822,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,0.0,-0.0,7.0936333773428935,5.262088875406495,5.262088875406495,0.0,0.345583154699576,0.0,0.7772153620577759,mantener: beta no distinguible de 0,0.0,0.0,0.0,0.0,100
AP0103,0,1120.985332163721,28.74289814136646,27.608049394386082,27.608049394386082,0.0,0.30709110128353967,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,-0.0,-0.0,65.48532334194388,61.30666448859591,61.30666448859591,0.0,0.41413998602580265,0.0,0.7772153620577759,mantener: beta no distinguible de 0,0.0,0.0,0.0,0.0,100
AP0103,1,1125.8032060694861,22.507472504077317,21.971836186213853,21.971836186213853,0.0,0.20868304365125204,-0.0,-0.9925588027891087,mantener: beta no distinguible de 0,-0.0,-0.0,26.273926563752003,28.623918139895668,28.623918139895668,0.0,-0.3580019696140022,0.0,0.7772153620577759,mantener: beta no distinguible de 0,-0.0,0.0,0.0,0.0,100
