xcols,controles,paso,start,n,pendiente,t,p_perm
xG+xC,full(+idx),5,100,261,0.6687791275570522,2.100835132957293,0.003992015968063872
xG+xC,full(+idx),5,120,241,0.6909197891210959,2.1550705278821427,0.003992015968063872
xG+xC,full(+idx),5,150,211,0.6526576410572319,2.0064603493928694,0.003992015968063872
xG+xC,full(+idx),10,100,261,0.7004456396081784,2.3198223672862732,0.003992015968063872
xG+xC,full(+idx),10,120,241,0.7067388552474014,2.324030462710588,0.003992015968063872
xG+xC,full(+idx),10,150,211,0.6966824672931183,2.267212046127628,0.005988023952095809
xG+xC,full(+idx),20,100,261,0.6068100137265572,2.1008192969811152,0.007984031936127744
xG+xC,full(+idx),20,120,241,0.6321332509665781,2.1754190895551777,0.007984031936127744
xG+xC,full(+idx),20,150,211,0.6254108898838096,2.062572116968825,0.007984031936127744
xG+xC,sin_idx,5,100,261,0.7949841008151219,2.4374262271468505,0.001996007984031936
xG+xC,sin_idx,5,120,241,0.7879112107878105,2.3821766160329862,0.001996007984031936
xG+xC,sin_idx,5,150,211,0.7104402207829166,2.101383495428935,0.003992015968063872
xG+xC,sin_idx,10,100,261,0.769238808895229,2.431100409218298,0.001996007984031936
xG+xC,sin_idx,10,120,241,0.7601380443468094,2.3668053519010335,0.003992015968063872
xG+xC,sin_idx,10,150,211,0.7095290901066509,2.165677668105489,0.011976047904191617
xG+xC,sin_idx,20,100,261,0.6979814367520725,2.4248172469907314,0.003992015968063872
xG+xC,sin_idx,20,120,241,0.700542307718972,2.4081611811620185,0.005988023952095809
xG+xC,sin_idx,20,150,211,0.6574802257507345,2.0275918381774223,0.011976047904191617
xG+xC,espesor_en_vez_idx,5,100,261,0.7170928536522593,2.152411660590162,0.001996007984031936
xG+xC,espesor_en_vez_idx,5,120,241,0.7360831826357335,2.1944857034590055,0.001996007984031936
xG+xC,espesor_en_vez_idx,5,150,211,0.6928373679045301,2.030846950317472,0.005988023952095809
xG+xC,espesor_en_vez_idx,10,100,261,0.7585790777154234,2.361503409949958,0.003992015968063872
xG+xC,espesor_en_vez_idx,10,120,241,0.7618162547705251,2.355057255991979,0.003992015968063872
xG+xC,espesor_en_vez_idx,10,150,211,0.7487372228346829,2.2828681757274523,0.005988023952095809
xG+xC,espesor_en_vez_idx,20,100,261,0.6510659108379577,2.1968377912297803,0.005988023952095809
