fase,target,n_estado,n_palancas,n_dev,n_lockbox,columna,forma,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,sd_target_lockbox
Fusión,sn_dep,25,4,1469,313,m6_ln_sn_dep,PLM_v6,0.16089265341975356,0.13869689694991785,-0.4664194481539703,0.14880944947012825,0.21987192150133533,0.16544369914881782
Fusión,sn_dep,25,4,1469,313,m6_ln_sn_dep,HGB_estado+palancas_ref,0.14620973428585882,0.14146641031332557,-0.8675632240949778,0.1697912241500308,0.21987192150133533,0.16544369914881782
Fusión,sn_dep,24,4,1407,313,v5_ln_sn_dep,PLM_v5_ref,0.1795328939015537,0.1469084755450294,-0.37976318368328865,0.14762527347326948,0.23793789988959238,0.17591700807229552
Fusión,dT,8,4,1482,314,d_temperatura_horno_celsius,PLM_v6,0.497369675619338,8.937938154550643,0.03669458085246802,6.974173795111473,17.18533679373835,9.183425574197875
Fusión,dT,8,4,1482,314,d_temperatura_horno_celsius,HGB_estado+palancas_ref,0.4783615391874846,9.159517391879394,-0.013869088547430852,7.369611574933609,17.18533679373835,9.183425574197875
Fusión,dT,8,4,1482,314,d_temperatura_horno_celsius,PLM_v5_ref,0.4831550488660167,9.055034538697829,0.059209903661080476,6.925350569022114,17.18533679373835,9.183425574197875
Reducción,sn_dep,38,4,1058,242,m6_ln_sn_dep,PLM_v6,0.7652489876932658,0.24430348256799345,0.7996825168326529,0.23509090711135402,0.6777934373118659,0.7294041717859885
Reducción,sn_dep,38,4,1058,242,m6_ln_sn_dep,HGB_estado+palancas_ref,0.7587415782105952,0.2498299282183852,0.8041414309892162,0.23494923306699783,0.6777934373118659,0.7294041717859885
Reducción,sn_dep,37,4,1015,242,v5_ln_sn_dep,PLM_v5_ref,0.7656281464705066,0.24436240175200716,0.802078997953702,0.22794953758225567,0.6781693340478023,0.7152165295134604
Reducción,feo_ret,38,5,1058,242,m6_ln_feo_ret,PLM_v6,0.3293346891031186,0.04704865425124657,0.48614296954594594,0.04182412600413477,0.07539954807908536,0.0776255391887328
Reducción,feo_ret,38,5,1058,242,m6_ln_feo_ret,HGB_estado+palancas_ref,0.3052284496693173,0.0475219769527248,0.45482194571570156,0.04318401680669101,0.07539954807908536,0.0776255391887328
Reducción,feo_ret,37,5,1015,242,v5_ln_feo_ret,PLM_v5_ref,0.16869395151246358,0.06426269717850894,0.19392129381183698,0.05390610986316793,0.10905280813016531,0.07775480378520355
Reducción,dT,6,4,1182,252,d_temperatura_horno_celsius,PLM_v6,0.46449811631129445,9.124105012791684,0.35064913365975847,7.07362413260144,17.53814689134719,11.29939684249102
Reducción,dT,6,4,1182,252,d_temperatura_horno_celsius,HGB_estado+palancas_ref,0.4535314326945128,9.213596005441033,0.351466385724328,6.966219626599988,17.53814689134719,11.29939684249102
Reducción,dT,6,4,1183,252,d_temperatura_horno_celsius,PLM_v5_ref,0.466266076905406,9.223860690454318,0.4646553945266043,6.399750909681872,17.534419817786862,11.29939684249102
