targets,w,split,n,rho,p,ci_lo,ci_hi
v6,2,dev,298,0.20140826006014215,0.00046850040855895734,0.09173525012372424,0.31743324406548074
v6,2,lockbox,63,0.2936347926267281,0.019505414576720646,0.04056282812281203,0.5068148684419663
v6,2,total,361,0.2319306918065737,8.497297754298895e-06,0.1397197238707466,0.32920664329951865
v6,4,dev,298,0.28490081393495453,5.688169523127944e-07,0.17228210076450978,0.38365517106206787
v6,4,lockbox,63,0.24241551459293398,0.055589209094157724,-0.01627569215819589,0.4641234154749944
v6,4,total,361,0.2861995786208761,3.109807292762597e-08,0.19891846454816414,0.39509478096040557
v6,6,dev,298,0.3215057807996238,1.3612999927507498e-08,0.22096062735111133,0.41242379328191786
v6,6,lockbox,63,0.20338901689708144,0.10986869503027089,-0.04297267841039647,0.4526419662204357
v6,6,total,361,0.3009083117797401,5.438396218239061e-09,0.20651319146870828,0.39366470584707136
v6,8,dev,298,0.3256816781765716,8.602747674110213e-09,0.21369372906184989,0.4239108812487251
v6,8,lockbox,63,0.12504800307219663,0.32881574098695676,-0.12855478579920565,0.3809838112681343
v6,8,total,361,0.28860133759813894,2.355083640055826e-08,0.18915321482444308,0.3747001766185589
v6,10,dev,298,0.32213109977918847,1.2714514987226244e-08,0.22789824955291224,0.41832831797034603
v6,10,lockbox,63,0.07978110599078342,0.5342350284757296,-0.19144193116145047,0.2946481157668411
v6,10,total,361,0.27511057375920167,1.0853748432456723e-07,0.1778211700141511,0.36861295976082803
v6,15,dev,298,0.29913305577151506,1.4161932922078633e-07,0.1878952951754862,0.39880713449984284
v6,15,lockbox,63,-0.007488479262672812,0.9535506798554385,-0.24685751093445588,0.23220504953883456
v6,15,total,361,0.23995755600108148,4.0088784520685496e-06,0.13208934318429483,0.32855785536343096
v5,2,dev,286,0.18534200074636528,0.0016438638221945784,0.07745189282946163,0.2999535097837698
v5,2,lockbox,63,0.31413210445468515,0.01216790128354986,0.061030860390875415,0.5188140695799724
v5,2,total,349,0.22376783773483705,2.4544341164701068e-05,0.1256711267979281,0.3246578309308375
v5,4,dev,286,0.2639109286092598,6.066652135802625e-06,0.15437497374961415,0.3745580387553879
v5,4,lockbox,63,0.2240783410138249,0.07748374340961114,-0.04367540990056004,0.4579372001071247
v5,4,total,349,0.2699148870100357,3.0607278050521276e-07,0.15965371488762511,0.3699496669076483
v5,6,dev,286,0.29894290561813025,2.5809665351356666e-07,0.18599576789187355,0.40621726910260586
v5,6,lockbox,63,0.1485695084485407,0.24520191545228887,-0.10714326782676471,0.41089768643906666
v5,6,total,349,0.28002032549014066,1.042061851790416e-07,0.1828567822591945,0.3804499852277215
v5,8,dev,286,0.31448269317332217,5.523667224939499e-08,0.2055633391092804,0.40892093606295976
v5,8,lockbox,63,0.0944220430107527,0.4616753897799783,-0.17289947576252485,0.32117777208197956
v5,8,total,349,0.2809646138862619,9.40155391536186e-08,0.1805351454552271,0.3808816613412826
v5,10,dev,286,0.3165201935420164,4.482731126560018e-08,0.21153374434588,0.4206959928900666
v5,10,lockbox,63,0.08688556067588325,0.4983392921653725,-0.17812090028294775,0.3229110074437048
v5,10,total,349,0.2755481530622327,1.6877486396734183e-07,0.16611272352581347,0.3669108567499692
v5,15,dev,286,0.3137768521593938,5.9358752935224346e-08,0.20062689695107977,0.4086832434839106
v5,15,lockbox,63,0.0310099846390169,0.8093510612394548,-0.2215185990422471,0.27542909363292517
v5,15,total,349,0.26199980239106807,6.906327108709606e-07,0.16332094578883113,0.3605647978919523
