fase,config,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,sd_target_lockbox
Fusión,a_v5_tal_cual,8,4,1482,314,0.4831550488660167,9.055034538697829,0.059209903661080476,6.925350569022114,17.18533679373835,9.183425574197875
Fusión,b_masa_v6_en_estado,8,4,1482,314,0.497369675619338,8.937938154550643,0.03669458085246802,6.974173795111473,17.18533679373835,9.183425574197875
Fusión,c_b_mas_termicas_e6,8,7,1482,314,0.4960971106484028,8.94710383355095,0.036694580852467906,6.974173795111473,17.18533679373835,9.183425574197875
Fusión,d_HGB_estado_palancas_c,8,7,1482,314,0.48095246818829596,9.054884538143815,0.06281624191502899,7.131379772455915,,
Reducción,a_v5_tal_cual,6,4,1183,252,0.466266076905406,9.223860690454318,0.4646553945266043,6.399750909681872,17.534419817786862,11.29939684249102
Reducción,b_masa_v6_en_estado,6,4,1182,252,0.46449811631129445,9.124105012791684,0.35064913365975847,7.07362413260144,17.53814689134719,11.29939684249102
Reducción,c_b_mas_termicas_e6,6,7,1182,252,0.4639744955821147,9.124217363279499,0.35064913365975847,7.073624132601441,17.53814689134719,11.29939684249102
Reducción,d_HGB_estado_palancas_c,6,7,1182,252,0.4799096509820766,9.022050896373095,0.48857073822764996,6.162784768133849,,
