sistema,pendientes_de,kpi,politica_en,n_batches,b_sn_dep_pp_por_unidad,b_sn_lo,b_sn_hi,b_feo_ret_pp_por_unidad,b_feo_lo,b_feo_hi,w_implicito,d_sn_dep_medio,d_feo_ret_medio,uplift_kpi_pp_medio,uplift_kpi_pp_mediana,uplift_ci_lo,uplift_ci_hi,uplift_kg_sn_medio,uplift_kg_sn_ci_lo,uplift_kg_sn_ci_hi,pct_batches_uplift_pos
v6,DEV,recuperacion_refinada_pct,DEV,299,2.852918726101232,1.6199403675235688,4.016355733473142,17.261757378922585,11.569721379144598,23.44914683102929,6.050560508785442,-0.006070163474322394,0.016183103096370034,0.2620311162412403,0.19516057086935198,0.17538568197072765,0.35872508268900527,134.29094707363566,89.88516200999793,183.8466048781152,98.32775919732441
v6,DEV,recuperacion_refinada_pct,LOCKBOX,63,2.852918726101232,1.6199403675235688,4.016355733473142,17.261757378922585,11.569721379144598,23.44914683102929,6.050560508785442,-0.03277731202158383,0.026833452340131375,0.36968153667659065,0.3344611547750679,0.23291780723182756,0.5206083620637635,189.4617875467527,119.37037620631162,266.8117855576788,100.0
v6,DEV,recuperacion_refinada_pct,TOTAL,362,2.852918726101232,1.6199403675235688,4.016355733473142,17.261757378922585,11.569721379144598,23.44914683102929,6.050560508785442,-0.010718092641387227,0.01803661691503568,0.28076585791921566,0.22068840032074583,0.18472064476940636,0.38832180202214955,143.89250218359803,94.66933044432076,199.01492353635166,98.61878453038673
v6,DEV,rendimiento_proxy_batch,DEV,299,2.3962498748049756,1.1835091617543902,3.619442862144615,18.03318851246566,12.103786708819953,24.441083270175174,7.525587670164545,-0.006070163474322394,0.016183103096370034,0.27728732038811676,0.21631913788085552,0.18415804168833647,0.3765464548732547,142.10975169890983,94.38099636527244,192.98005812254306,97.32441471571906
v6,DEV,rendimiento_proxy_batch,LOCKBOX,63,2.3962498748049756,1.1835091617543902,3.619442862144615,18.03318851246566,12.103786708819953,24.441083270175174,7.525587670164545,-0.03277731202158383,0.026833452340131375,0.40535007466168793,0.37750201898507313,0.25569639259045407,0.5567678052157057,207.74191326411506,131.0444012026077,285.34350017304916,100.0
v6,DEV,rendimiento_proxy_batch,TOTAL,362,2.3962498748049756,1.1835091617543902,3.619442862144615,18.03318851246566,12.103786708819953,24.441083270175174,7.525587670164545,-0.010718092641387227,0.01803661691503568,0.299574484805893,0.24041905173580372,0.19733041146906644,0.4058910891760111,153.53192346302015,101.13183587789655,208.01918320270568,97.79005524861878
v6,DEV,recuperacion_refinada_pct_media2,DEV,299,1.7611917933575543,0.9839411400569958,2.712425846587743,13.839064463000083,9.713453501657762,18.571944620195975,7.8577838683980845,-0.006070163474322394,0.016183103096370034,0.21326828486672578,0.1693937229873332,0.14847587793990133,0.2860363462246996,109.29999599419696,76.09388744419942,146.59362744015854,97.32441471571906
v6,DEV,recuperacion_refinada_pct_media2,LOCKBOX,63,1.7611917933575543,0.9839411400569958,2.712425846587743,13.839064463000083,9.713453501657762,18.571944620195975,7.8577838683980845,-0.03277731202158383,0.026833452340131375,0.31362274375918514,0.29158395350521393,0.21155448941019594,0.4259119763633632,160.7316561765824,108.42167582272542,218.27988788622363,100.0
v6,DEV,recuperacion_refinada_pct_media2,TOTAL,362,1.7611917933575543,0.9839411400569958,2.712425846587743,13.839064463000083,9.713453501657762,18.571944620195975,7.8577838683980845,-0.010718092641387227,0.01803661691503568,0.2307332873811593,0.1851827413681914,0.15916351205172902,0.3104370696472813,118.25080978284414,81.57129992651112,159.09899819423165,97.79005524861878
v6,TOTAL,recuperacion_refinada_pct,DEV,299,3.2183117339528367,2.0912591005936316,4.256031031649407,15.707911646895003,10.201409252373272,21.278522118315266,4.88079246058679,-0.006070163474322394,0.016183103096370034,0.23466707527394975,0.1659633718331751,0.14775780383119758,0.3224466214422611,120.26687607789925,75.72587446348876,165.25389348915883,97.9933110367893
v6,TOTAL,recuperacion_refinada_pct,LOCKBOX,63,3.2183117339528367,2.0912591005936316,4.256031031649407,15.707911646895003,10.201409252373272,21.278522118315266,4.88079246058679,-0.03277731202158383,0.026833452340131375,0.316009890653455,0.2763702855888706,0.18024088078840014,0.4484965105919332,161.95506895989567,92.37345140405507,229.85446167836577,100.0
v6,TOTAL,recuperacion_refinada_pct,TOTAL,362,3.2183117339528367,2.0912591005936316,4.256031031649407,15.707911646895003,10.201409252373272,21.278522118315266,4.88079246058679,-0.010718092641387227,0.01803661691503568,0.24882342159690238,0.18328755164929994,0.15305609200050146,0.3436244999212361,127.52200356841247,78.441247150257,176.10755620963351,98.34254143646409
v6,TOTAL,rendimiento_proxy_batch,DEV,299,2.660808291496069,1.6141366044081806,3.616761459299811,16.32560980452603,10.778030627878328,21.802449628326322,6.135582881601281,-0.006070163474322394,0.016183103096370034,0.24804748527454062,0.18421430583393308,0.1611300221190827,0.3329420199369859,127.12433620320208,82.57913633602989,170.63278521770528,98.32775919732441
v6,TOTAL,rendimiento_proxy_batch,LOCKBOX,63,2.660808291496069,1.6141366044081806,3.616761459299811,16.32560980452603,10.778030627878328,21.802449628326322,6.135582881601281,-0.03277731202158383,0.026833452340131375,0.35085832901334657,0.3192993909880023,0.213689898451474,0.48375410042492495,179.81489361934013,109.51607295638041,247.92397646777403,100.0
v6,TOTAL,rendimiento_proxy_batch,TOTAL,362,2.660808291496069,1.6141366044081806,3.616761459299811,16.32560980452603,10.778030627878328,21.802449628326322,6.135582881601281,-0.010718092641387227,0.01803661691503568,0.2659399801793605,0.20918422655486263,0.17088963304797603,0.3582123203180147,136.29423984192226,87.58093693708771,183.58381416298252,98.61878453038673
v6,TOTAL,recuperacion_refinada_pct_media2,DEV,299,1.9115486147110576,1.1504398525802868,2.80636294523822,13.471331389527759,9.603271724164816,17.825606416183614,7.047339149971885,-0.006070163474322394,0.016183103096370034,0.20640453214168292,0.15852070284657058,0.14638376035715273,0.2722668206474825,105.78232272261249,75.02167718304077,139.53674558183477,97.9933110367893
v6,TOTAL,recuperacion_refinada_pct_media2,LOCKBOX,63,1.9115486147110576,1.1504398525802868,2.80636294523822,13.471331389527759,9.603271724164816,17.825606416183614,7.047339149971885,-0.03277731202158383,0.026833452340131375,0.29882690341019813,0.2809612667953867,0.20675769072308522,0.3966237423367536,153.14878799772654,105.96331649558118,203.26966794758624,100.0
v6,TOTAL,recuperacion_refinada_pct_media2,TOTAL,362,1.9115486147110576,1.1504398525802868,2.80636294523822,13.471331389527759,9.603271724164816,17.825606416183614,7.047339149971885,-0.010718092641387227,0.01803661691503568,0.22248908846741897,0.1781156746984356,0.15749728488233816,0.294457097025673,114.02565783955222,80.71735850219831,150.90926222565741,98.34254143646409
v5,DEV,recuperacion_refinada_pct,DEV,299,2.1235619005899355,0.7364189725609982,3.352963389773377,12.826873525531296,8.967433055914487,18.29123810996914,6.040263541160693,-0.027744502040684942,0.020677267197049955,0.20630752370573852,0.14617370928531692,0.12806028767615446,0.31249942439192757,105.73260589919099,65.63089743402917,160.1559550008629,96.98996655518395
v5,DEV,recuperacion_refinada_pct,LOCKBOX,63,2.1235619005899355,0.7364189725609982,3.352963389773377,12.826873525531296,8.967433055914487,18.29123810996914,6.040263541160693,-0.052117457579030406,0.031398139236035426,0.2920653136472071,0.24343277888425063,0.1705417792338905,0.4541027849935564,149.68347324419364,87.40266185736888,232.72767730919765,98.4126984126984
v5,DEV,recuperacion_refinada_pct,TOTAL,362,2.1235619005899355,0.7364189725609982,3.352963389773377,12.826873525531296,8.967433055914487,18.29123810996914,6.040263541160693,-0.03198620424763457,0.022543054319856818,0.2212322219552206,0.16446361908426368,0.1369795475251945,0.3371697885172607,113.38151375205057,70.20201810666218,172.7995166150961,97.23756906077348
v5,DEV,rendimiento_proxy_batch,DEV,299,1.5691497873178268,0.2747455568119827,2.8088259842344296,13.23684844667164,9.152273032785708,19.285625769173198,8.43568189197387,-0.027744502040684942,0.020677267197049955,0.23016657270230534,0.17312815335209356,0.1522502129367082,0.35030644070781103,117.96036850993148,78.02823413006296,179.53205086275315,97.65886287625418
v5,DEV,rendimiento_proxy_batch,LOCKBOX,63,1.5691497873178268,0.2747455568119827,2.8088259842344296,13.23684844667164,9.152273032785708,19.285625769173198,8.43568189197387,-0.052117457579030406,0.031398139236035426,0.3338323130992141,0.2862507653983746,0.2151727789830891,0.515519685483216,171.0890604633472,110.27604922883316,264.2038388101482,98.4126984126984
v5,DEV,rendimiento_proxy_batch,TOTAL,362,1.5691497873178268,0.2747455568119827,2.8088259842344296,13.23684844667164,9.152273032785708,19.285625769173198,8.43568189197387,-0.03198620424763457,0.022543054319856818,0.2482078479647508,0.18875406801930253,0.16383424032943025,0.3791311321705462,127.20652208193478,83.96504816883301,194.30470523740493,97.79005524861878
v5,DEV,recuperacion_refinada_pct_media2,DEV,299,1.3294472311624972,0.478654851845945,2.231230086913333,8.676493357243638,5.59163368425403,13.451926314400389,6.5263916866085205,-0.027744502040684942,0.020677267197049955,0.14252132006318485,0.10247315277101508,0.07185208309646678,0.2376606622409855,73.04217653238224,36.824192586939226,121.80108939850507,97.32441471571906
v5,DEV,recuperacion_refinada_pct_media2,LOCKBOX,63,1.3294472311624972,0.478654851845945,2.231230086913333,8.676493357243638,5.59163368425403,13.451926314400389,6.5263916866085205,-0.052117457579030406,0.031398139236035426,0.20313833683760135,0.17023802331660248,0.08894492333329121,0.34633266354228154,104.1083976292707,45.58427320831174,177.4954900654193,98.4126984126984
v5,DEV,recuperacion_refinada_pct_media2,TOTAL,362,1.3294472311624972,0.478654851845945,2.231230086913333,8.676493357243638,5.59163368425403,13.451926314400389,6.5263916866085205,-0.03198620424763457,0.022543054319856818,0.15307069038580434,0.11793090105566478,0.07564922834665214,0.2571606135067571,78.44872882272473,38.77022952765922,131.79481442221302,97.51381215469614
v5,TOTAL,recuperacion_refinada_pct,DEV,299,2.586370651532612,1.4921781989969978,3.5430229287419888,11.915366949820847,8.365053938254993,16.571180276962696,4.606983512885181,-0.027744502040684942,0.020677267197049955,0.17461966035292956,0.12310841308350204,0.10554505455963129,0.2649123910377324,89.4925759308764,54.09184046181103,135.76760040683786,96.32107023411372
v5,TOTAL,recuperacion_refinada_pct,LOCKBOX,63,2.586370651532612,1.4921781989969978,3.5430229287419888,11.915366949820847,8.365053938254993,16.571180276962696,4.606983512885181,-0.052117457579030406,0.031398139236035426,0.23932528782402948,0.2116354358598499,0.13482934830577184,0.3773714044987667,122.6542100098151,69.10004100670807,193.40284480561795,96.82539682539682
v5,TOTAL,recuperacion_refinada_pct,TOTAL,362,2.586370651532612,1.4921781989969978,3.5430229287419888,11.915366949820847,8.365053938254993,16.571180276962696,4.606983512885181,-0.03198620424763457,0.022543054319856818,0.18588058447082817,0.13401589596916424,0.11136179788873699,0.2831207768017923,95.26379954129943,57.0729214179777,145.09939811091857,96.40883977900553
v5,TOTAL,rendimiento_proxy_batch,DEV,299,1.9343724005519225,0.837983255694324,2.9458586758852157,12.211251106602816,8.510626184360298,17.46788982868465,6.312771575482909,-0.027744502040684942,0.020677267197049955,0.19882710292694095,0.14238877293554822,0.1273453158277158,0.30043693628457835,101.89889025005724,65.26447436170434,153.9739298458464,96.98996655518395
v5,TOTAL,rendimiento_proxy_batch,LOCKBOX,63,1.9343724005519225,0.837983255694324,2.9458586758852157,12.211251106602816,8.510626184360298,17.46788982868465,6.312771575482909,-0.052117457579030406,0.031398139236035426,0.2825959909634949,0.23593211983024684,0.17419832921863462,0.4329016661608415,144.83044536879115,89.27664372455024,221.86210390743128,98.4126984126984
v5,TOTAL,rendimiento_proxy_batch,TOTAL,362,1.9343724005519225,0.837983255694324,2.9458586758852157,12.211251106602816,8.510626184360298,17.46788982868465,6.312771575482909,-0.03198620424763457,0.022543054319856818,0.21340566631451802,0.16103105510644725,0.13530188011134817,0.32384379048393425,109.37040398619048,69.34221355706593,165.9699426230163,97.23756906077348
v5,TOTAL,recuperacion_refinada_pct_media2,DEV,299,1.4554497897540855,0.7317114442443006,2.4321106965645733,8.705135975409998,5.885124602481676,12.476535910345095,5.981062374457334,-0.027744502040684942,0.020677267197049955,0.13961769288825795,0.09815541031303905,0.07816577373952001,0.21680630970976594,71.5540676052322,40.059959041504,111.11323372625505,96.65551839464884
v5,TOTAL,recuperacion_refinada_pct_media2,LOCKBOX,63,1.4554497897540855,0.7317114442443006,2.4321106965645733,8.705135975409998,5.885124602481676,12.476535910345095,5.981062374457334,-0.052117457579030406,0.031398139236035426,0.19747072874862695,0.16513253424557134,0.09799506651073324,0.3185447893751794,101.20374848367132,50.222471586750785,163.25420455477942,98.4126984126984
v5,TOTAL,recuperacion_refinada_pct_media2,TOTAL,362,1.4554497897540855,0.7317114442443006,2.4321106965645733,8.705135975409998,5.885124602481676,12.476535910345095,5.981062374457334,-0.03198620424763457,0.022543054319856818,0.1496860389081564,0.11123078088122695,0.080672594564362,0.23379923937456196,76.71409494043016,41.344704714235526,119.822110179463,96.96132596685084
