col_sn,col_feo,kpi,n,coef_sn,p_sn,coef_feo,p_feo,w_puntual,r2adj,w_ci_lo,w_ci_med,w_ci_hi,frac_ambos_positivos,targets,variante,muestra
R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,recuperacion_refinada_pct,285,2.8536519919965935,5.252546236159936e-06,17.800787769184122,6.029483460929919e-08,6.237897199486325,0.1165094759030385,4.298371729122977,6.169181348312424,9.830524932669203,1.0,v6,actual,dev
R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,recuperacion_refinada_pct_next,285,0.8771828179624175,0.2665673357649726,10.556087125088029,0.00024099295390696867,12.034078767762981,0.03133238410816375,-85.95144276893075,9.743153072301642,122.41164029379159,0.907,v6,next,dev
R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,recuperacion_refinada_pct_mean_cur_next,285,1.8654174049795036,8.73411780722876e-05,14.17843744713607,4.131368543200093e-10,7.600678223162529,0.1351597795699787,5.210151003961457,7.603161480471743,12.650349329574917,1.0,v6,mean_cur_next,dev
R_sum_ln_sn_dep,R_sum_ln_feo_ret,recuperacion_refinada_pct,285,2.1235619005899453,0.0012689552529685487,12.82687352553134,4.330218900140356e-07,6.040263541160686,0.12209206598099764,3.6393115813555816,6.13484604217572,15.544001079931173,0.999,v5,actual,dev
R_sum_ln_sn_dep,R_sum_ln_feo_ret,recuperacion_refinada_pct_next,285,0.5353325617350831,0.5118407646819453,4.526113188955964,0.08597089413979711,8.454769077162497,0.009881914055870467,-127.95364559431539,4.08001798419871,78.68420972864311,0.761,v5,next,dev
R_sum_ln_sn_dep,R_sum_ln_feo_ret,recuperacion_refinada_pct_mean_cur_next,285,1.3294472311625156,0.006647076516352037,8.676493357243656,2.4862407396914205e-05,6.526391686608443,0.11263237391056236,3.3248125021952286,6.739615099307867,19.61786468547352,1.0,v5,mean_cur_next,dev
R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,recuperacion_refinada_pct,63,4.020687674538193,0.002694011543124932,2.723670327834327,0.727193228462516,0.6774140516017976,0.18465726597274468,-5.866556128087582,0.40423981935483305,4.656126049490503,0.584,v6,actual,lockbox
R_sum_ln_sn_dep,R_sum_ln_feo_ret,recuperacion_refinada_pct,63,4.067310675910539,0.000626680212704296,2.6720831075017344,0.5609621418274306,0.6569655776057829,0.18539522036923728,-2.9403844217831376,0.4749019809077937,3.2658791185922973,0.646,v5,actual,lockbox
