kpi,variable,muestra,escala,coef,ci_lo,ci_hi,p,r2_adj,n,targets
recuperacion_refinada_pct,F_lnirf_F0,dev,por_sd,1.581011552413774,1.1568326891211689,2.005190415706379,2.76785366427912e-13,0.1283449017926266,297,v6
recuperacion_refinada_pct,F_sum_m6_ln_sn_dep,dev,por_sd,-0.3621713059910775,-0.9198857761635996,0.19554316418144457,0.20309937066751915,0.1283449017926266,297,v6
recuperacion_refinada_pct,F_lnirf_F0,total,por_sd,1.667913345013411,1.282622901162764,2.053203788864058,2.1639062466936896e-17,0.15366636436747705,360,v6
recuperacion_refinada_pct,F_sum_m6_ln_sn_dep,total,por_sd,-0.5856529041615917,-1.074931497891432,-0.09637431043175132,0.018974960938006782,0.15366636436747705,360,v6
recuperacion_refinada_pct,F_lnirf_F0,lockbox,por_sd,3.0603264986965204,1.6811830701622654,4.439469927230776,1.3665352776301097e-05,0.35213536955711444,63,v6
recuperacion_refinada_pct,F_sum_m6_ln_sn_dep,lockbox,por_sd,-1.225827730805333,-2.8181522348438675,0.3664967732332016,0.13133722004152792,0.35213536955711444,63,v6
recuperacion_refinada_pct,F_lnirf_F0,dev,natural,7.978925942362522,5.838213098512568,10.119638786212475,2.767853664283875e-13,0.12834490179262692,297,v6
recuperacion_refinada_pct,F_sum_m6_ln_sn_dep,dev,natural,-0.5527226094997422,-1.4038706496956332,0.2984254306961488,0.2030993706674744,0.12834490179262692,297,v6
recuperacion_refinada_pct,F_lnirf_F0,total,natural,8.417495139628208,6.473041341621132,10.361948937635285,2.1639062466936428e-17,0.15366636436747694,360,v6
recuperacion_refinada_pct,F_sum_m6_ln_sn_dep,total,natural,-0.8937858855589007,-1.6404914821235876,-0.14708028899421388,0.018974960938002345,0.15366636436747694,360,v6
recuperacion_refinada_pct,F_lnirf_F0,lockbox,natural,15.444617375039645,8.484463754834668,22.404770995244622,1.3665352775027681e-05,0.35213536955711555,63,v6
recuperacion_refinada_pct,F_sum_m6_ln_sn_dep,lockbox,natural,-1.8707796309641216,-4.3008831219902355,0.5593238600619923,0.13133722003975692,0.35213536955711555,63,v6
recuperacion_refinada_pct,F_lnirf_F0,dev,por_sd,1.6596379229171916,1.238160999390523,2.0811148464438602,1.1845176287214465e-14,0.14566568430784022,285,v5
recuperacion_refinada_pct,F_sum_ln_sn_dep,dev,por_sd,-0.4544078946316141,-0.9687665316896312,0.059950742426403025,0.08335876971004205,0.14566568430784022,285,v5
recuperacion_refinada_pct,F_lnirf_F0,total,por_sd,1.7511511311364016,1.36559963818992,2.1367026240828833,5.483163365022239e-19,0.1655056210615694,348,v5
recuperacion_refinada_pct,F_sum_ln_sn_dep,total,por_sd,-0.5891703823818353,-1.0600099817916737,-0.11833078297199695,0.014185179225448397,0.1655056210615694,348,v5
recuperacion_refinada_pct,F_lnirf_F0,lockbox,por_sd,3.1115317636530744,1.7512382560812207,4.471825271224928,7.352629097821493e-06,0.3452318129288946,63,v5
recuperacion_refinada_pct,F_sum_ln_sn_dep,lockbox,por_sd,-0.9465842435372447,-2.3292724177414446,0.43610393066695496,0.17966553565435706,0.3452318129288946,63,v5
recuperacion_refinada_pct,F_lnirf_F0,dev,natural,8.424769361927883,6.285238911909088,10.564299811946677,1.1845176287249787e-14,0.14566568430784044,285,v5
recuperacion_refinada_pct,F_sum_ln_sn_dep,dev,natural,-0.6485307509614625,-1.3826231756214464,0.08556167369852152,0.08335876971005121,0.14566568430784044,285,v5
recuperacion_refinada_pct,F_lnirf_F0,total,natural,8.889315069259789,6.932151786613497,10.84647835190608,5.48316336501151e-19,0.1655056210615684,348,v5
recuperacion_refinada_pct,F_sum_ln_sn_dep,total,natural,-0.8408637152751952,-1.5128457881993307,-0.16888164235105974,0.014185179225450808,0.1655056210615684,348,v5
recuperacion_refinada_pct,F_lnirf_F0,lockbox,natural,15.794973776576292,8.88975733895563,22.700190214196954,7.352629097904973e-06,0.3452318129288965,63,v5
recuperacion_refinada_pct,F_sum_ln_sn_dep,lockbox,natural,-1.3509646235507478,-3.3243365885997513,0.6224073414982558,0.1796655356547463,0.3452318129288965,63,v5
