variable,kpi,rho_dev,p_dev,ci_lo_dev,ci_hi_dev,n_dev,ols_dev,ols_p_dev,ols_lo_dev,ols_hi_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,ci_lo_lockbox,ci_hi_lockbox,n_lockbox,rho_total,p_total,ci_lo_total,ci_hi_total,n_total,ols_total,ols_p_total,ols_lo_total,ols_hi_total,ols_r2adj_total,quintiles_crecientes,dQ5Q1
R_sum_m6_ln_sn_dep,recuperacion_refinada_pct,0.06929862926361322,0.2329921843313531,-0.03238168001229532,0.1683331996022473,298,0.5555771950263022,0.03841699013463562,0.029629054117417453,1.0815253359351868,0.014743496252378141,0.3704397081413211,0.0028035025410246446,0.1292711815639447,0.5844850487713562,63,0.13312519449248303,0.011345108042342112,0.044240033053710534,0.23387020256604402,361,0.8121082746452373,0.00045737269166701923,0.3579269605575738,1.2662895887329007,0.039843397203852104,2,0.6713947880649584
R_sum_m6_ln_sn_dep,f_dross,-0.045729681270971025,0.4315684544407978,-0.14836087198459152,0.0685201804505937,298,-0.003133297315400219,0.20624064947877663,-0.007991915733697282,0.0017253211028968448,0.07085659003267608,-0.20204493087557607,0.11228775092037556,-0.4338489251831393,0.060023125957768805,63,-0.08932931339689729,0.09012090918447933,-0.18695470075385082,0.016692539482342623,361,-0.004649624260430448,0.02661831852722371,-0.008760047791236139,-0.0005392007296247557,0.04179853274402079,1,-0.003394064698395788
R_sum_m6_ln_sn_dep,f_polvo,0.01909263449969607,0.7427342039066968,-0.08630274160587834,0.13565009019248628,298,0.00014569324040024446,0.9328618884214479,-0.0032438795642270282,0.0035352660450275173,0.031846594155553576,-0.17132296466973887,0.1794165799895776,-0.4099490528546967,0.09869547866166829,63,-0.009861342801610013,0.8518799820531254,-0.11264244868818067,0.08543313098177036,361,-0.0004882818975699399,0.7509085636926112,-0.0035030569115612692,0.0025264931164213893,0.018955414928264913,3,0.004889729454901487
R_sum_m6_ln_sn_dep,recuperacion_refinada_pct_next,-0.017794383420295296,0.7596717148399453,-0.12387064588365314,0.10312665792362763,298,-0.17494441560656784,0.5587563844238175,-0.7613832683259893,0.4114944371128537,0.0019473282172894901,-0.13489964997104076,0.295851227131659,-0.36303852713180884,0.09704493607520343,62,-0.014153401389414013,0.7889907678334925,-0.11650870834834062,0.09018922951923222,360,-0.1749666653112193,0.5031222101598017,-0.6871170675211078,0.3371837368986692,0.01393948092553754,1,-0.3744322177918491
R_sum_m6_ln_feo_ret,recuperacion_refinada_pct,0.23405861719255355,4.497440151790058e-05,0.12417345820537562,0.3296078300552859,298,0.9588311102280613,0.0003519235663933945,0.43297403312299976,1.484688187333123,0.045106604664353234,-0.14324116743471582,0.2627302126894801,-0.3776163841751451,0.1095086726849204,63,0.15870484585992456,0.0024935514667712676,0.04912073685540302,0.25311683870096097,361,0.6822095798049868,0.006722057379998504,0.18886868763616627,1.1755504719738072,0.03073084880673349,4,2.735938628311075
R_sum_m6_ln_feo_ret,f_dross,-0.16619178247424524,0.00401615015607399,-0.2797211061476429,-0.05177852433354082,298,-0.005902598182789466,0.00868461485422193,-0.010311090454077878,-0.001494105911501055,0.08948543977666934,0.06706029185867896,0.6015281315436566,-0.21073457760256234,0.33608811338920486,63,-0.10604469883636101,0.04405760754620294,-0.20612115702118736,0.006179083351812397,361,-0.003916272869213038,0.05971666267553295,-0.007992876101374145,0.00016033036294806936,0.03751506740349375,1,-0.018758563044521143
R_sum_m6_ln_feo_ret,f_polvo,-0.13990117783523096,0.015656925099799397,-0.25064650577804065,-0.03262006796921577,298,-0.0055420063790829095,0.002941560754283288,-0.009194641610831847,-0.0018893711473339713,0.059685039645431814,-0.004224270353302612,0.973787969320837,-0.27223548941036074,0.28278439008811707,63,-0.11682353601363103,0.026449040368855443,-0.22189535673155109,-0.01875582811628213,361,-0.004880851511243734,0.003964008232707812,-0.008201314564596588,-0.0015603884578908813,0.04119741686669631,1,-0.013744149344945528
R_sum_m6_ln_feo_ret,recuperacion_refinada_pct_next,0.19432206738888966,0.0007445494089786311,0.08996703495744554,0.2989956894819263,298,0.8390736456012035,0.00039055547918893756,0.3753467167115803,1.3028005744908266,0.035257222033456714,0.32885094810002263,0.00906220641892428,0.11314547202794334,0.5248654475765826,62,0.19759411723855894,0.00016109323492934625,0.0904589763404285,0.2866440192177142,360,0.893905793418998,3.887061063756731e-05,0.46804679782929226,1.3197647890087039,0.0521786168729762,3,2.6053348013994366
F_sum_m6_ln_sn_dep,recuperacion_refinada_pct,-0.08214374219626627,0.15722903113936157,-0.1962553547675839,0.03436780453636205,298,-0.4836681889714786,0.1002224157021713,-1.0603721010726381,0.09303572312968084,0.010597682872303782,-0.2522081413210445,0.046139269847137364,-0.465091891891892,-0.03138133349901641,63,-0.1338899006749208,0.010879014956520413,-0.23802310599869156,-0.03184100631592517,361,-0.6829872976799307,0.00920688538845802,-1.19700003133936,-0.16897456402050148,0.028107448154175763,2,-0.4274278096265931
F_sum_m6_ln_sn_dep,f_dross,0.23132653100555056,5.5458416680828035e-05,0.12268738440790623,0.33719385108072764,298,0.008426593695291014,0.0009016957066749344,0.0034512426176198496,0.013401944772962178,0.11085234698958302,0.3040514592933948,0.015407071505240672,0.06702125445719405,0.5047062853672809,63,0.25932977252669326,5.856113598138899e-07,0.16440199945748352,0.3575747603556696,361,0.010978122418322129,2.8558156768883567e-06,0.006381441532548237,0.01557480330409602,0.10228837662976753,4,0.02418462169095889
F_sum_m6_ln_sn_dep,f_polvo,-0.097193115868342,0.0939874076944102,-0.20692582733651468,0.007326521420621043,298,-0.0024424600206010595,0.23688593884852527,-0.006489727805548328,0.0016048077643462094,0.036395805705080164,0.011280721966205836,0.9300771919715484,-0.22915562991939364,0.2719331163077723,63,-0.0665643827510037,0.2070435073517131,-0.17801286741128308,0.037999856896165043,361,-0.0030977822406436624,0.09732380534040476,-0.006759818808463414,0.0005642543271760893,0.025290737813718156,1,-0.01646637973419937
F_sum_m6_ln_sn_dep,recuperacion_refinada_pct_next,-0.04191700398295087,0.47098613526089067,-0.15340862788953216,0.07051066273036981,298,-0.05540848205011359,0.8522923522918342,-0.638662633362134,0.5278456692619068,-0.0001927281576628026,-0.2647377300999723,0.037582123138579365,-0.5245471725420475,0.009027964583470452,62,-0.10904096482225943,0.03865118969589598,-0.20283241064230478,-0.00476118383296787,360,-0.2928659771363178,0.2700714308196439,-0.8133191188359611,0.2275871645633255,0.016485936390005063,1,0.2927636835819811
R_sum_ln_sn_dep,recuperacion_refinada_pct,-0.0007727830577638022,0.9896184468123503,-0.12351599628915436,0.11042093375789185,286,0.3909849898846991,0.16711469169191162,-0.163700053502141,0.9456700332715392,0.012675753322656025,0.3541186635944701,0.004408639251244759,0.1207577500394392,0.5640048671319464,63,0.07794006803393226,0.14621595710503693,-0.012081073166650599,0.19628581834795672,349,0.6890597279289671,0.004652795944291068,0.21186308784594654,1.1662563680119877,0.034265855849888616,2,-0.20215159989594156
R_sum_ln_sn_dep,f_dross,0.03454388999960245,0.5606977438650734,-0.07529333727990178,0.1457398983066776,286,-0.002105444536295964,0.4172259362671733,-0.007192198677532195,0.002981309604940267,0.061830898328457895,-0.19263632872503839,0.13038341408646126,-0.43378860508518446,0.0588801164293992,63,-0.028448064138213332,0.5963516556186791,-0.14480511150129394,0.07843781502213251,349,-0.0036520337764796716,0.08758890517762544,-0.007842187875362316,0.0005381203224029732,0.030067824128291787,2,0.004922982618119853
R_sum_ln_sn_dep,f_polvo,0.02868479402497374,0.6290397709035361,-0.08068609098213744,0.15347184761835822,286,0.000923818609168495,0.602087235652059,-0.002548844674088485,0.0043964818924254745,0.031052311760216167,-0.15466589861751154,0.22614907631647913,-0.38831736363275077,0.10376793058347826,63,-0.0007520431352068542,0.988830839412647,-0.11181496151538507,0.09894543692233791,349,-0.00010082288217963965,0.9493509184986832,-0.0032117060418335053,0.003010060277474226,0.021506340880767638,4,0.005050819076559965
R_sum_ln_sn_dep,recuperacion_refinada_pct_next,0.02095285972051055,0.7242144547313729,-0.0788114958562777,0.12733454972129069,286,0.03984829592577378,0.9099116180623639,-0.6503965995464956,0.7300931913980432,-0.0005194635730738639,-0.13832439374480623,0.2836454863848826,-0.36485453631592774,0.09972662123199953,62,0.020273708302451,0.7062634298116491,-0.08742112090491963,0.12065681955291985,348,-0.022052610456229305,0.9426705413894028,-0.6230825619021305,0.5789773409896719,0.010699901333927841,1,-0.06460833760220908
R_sum_ln_feo_ret,recuperacion_refinada_pct,0.28576789064593944,8.902202254450862e-07,0.1725035388522595,0.39464811986721776,286,1.2664013780855183,2.147414090180101e-05,0.6822380638119603,1.8505646923590764,0.08547100066046842,-0.08822964669738864,0.4916918580250823,-0.3083543341255028,0.14640739592191174,63,0.21249707115333039,6.298966182581227e-05,0.11484104755358915,0.3152072004947795,349,1.0507853984276692,3.22674343242121e-05,0.5553370245899953,1.546233772265343,0.06642154409443923,3,3.5614273607403106
R_sum_ln_feo_ret,f_dross,-0.184230916708452,0.0017551749813624438,-0.3047444949763545,-0.07184046917095759,286,-0.007364677394629259,0.00017000369534024914,-0.011203776583133523,-0.003525578206124996,0.0996023729336557,0.011664746543778803,0.9277030996942577,-0.24784195384836094,0.2822886522515087,63,-0.13480288509040608,0.011708605409881629,-0.22902171077329175,-0.036050629078858094,349,-0.005903337795042702,0.0013004132012871083,-0.009501201731787973,-0.0023054738582974307,0.04604925005268856,1,-0.01897708758060848
R_sum_ln_feo_ret,f_polvo,-0.1888650502257691,0.001332264026017506,-0.2927874134458969,-0.07174635857323342,286,-0.006699531830850917,0.000772091100146217,-0.01060448590991588,-0.002794577751785952,0.07145231515626849,0.016561059907834103,0.8974954421498984,-0.26627079616794497,0.2810069142409105,63,-0.1537219642327833,0.003994585339031224,-0.2526050222165375,-0.04873239842138763,349,-0.005985172622436842,0.00041822586956906805,-0.009309917554651015,-0.0026604276902226693,0.0555471585297973,0,-0.020323300847891856
R_sum_ln_feo_ret,recuperacion_refinada_pct_next,0.1220738183510969,0.03909965301083335,-0.007259645835295385,0.22996647813436943,286,0.48109526113828616,0.15155958372744943,-0.17643623787253004,1.1386267601491022,0.01093530238798135,0.37538717232001206,0.002643354819439555,0.16887099972650882,0.5568625544888027,62,0.15366742530652874,0.004060794609326906,0.04495680981319826,0.2518757172631769,348,0.6161014065018828,0.04772159999094638,0.006184920756933443,1.226017892246832,0.029709344705613816,3,1.6064111517072206
F_sum_ln_sn_dep,recuperacion_refinada_pct,-0.11465325431949308,0.05276214969007902,-0.22776963153942517,0.006760767296305445,286,-0.4266810142648633,0.14549595418548492,-1.001196205515942,0.14783417698621543,0.013241511892284064,-0.1648905529953917,0.19655448763050684,-0.37941811232483996,0.07316299709914585,63,-0.13724250850424152,0.010262389724813144,-0.242148257694331,-0.02134565926067264,349,-0.5387800127004245,0.03647801488148027,-1.0436615857119782,-0.03389843968887096,0.025414259076123713,0,-1.3517508290596965
