orden_R,n_nofeed,senal_sd_dlnM,ruido_sd_dlnM_cierre,snr_dlnM_cierre,ruido_sd_dlnM_cierre_allR,senal_sd_ln_feo,ruido_sd_ln_feo,snr_ln_feo,ruido_sd_dlnM_CaO,snr_dlnM_CaO
0,0,,,,0.013059725570278033,0.06577875643361718,0.05095653138776397,1.29087978797184,0.02788800717930551,
1,155,0.03838236277752437,0.01296068459615807,2.9614456314215096,0.01273589886374998,0.07283752029347507,0.049524309646651776,1.470742768817161,0.02797736835683588,1.371907546413177
2,264,0.015353811142628468,0.012658664960319442,1.2129091962507406,0.012560687192111031,0.06215567775914536,0.049156659818061534,1.2644406269505648,0.02803096843895291,0.5477445838543424
3,219,0.015506704977546418,0.01281003048042731,1.2105127307260828,0.012722184726989851,0.052904236515358215,0.04912646278786774,1.0768989565522604,0.027990815353808905,0.5539926144179402
