fase,grupo,estado,parametrizacion,targets,con_signos,index,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota,theta_1sd_rel,ancho_ic_1sd_rel
Reducción,Sn,CURADO,cinetica,v6,True,0,m6_ln_sn_dep,Cx_sn_v6,1.572386292854367e-05,7.987651126894956e-17,3.070101416415253e-05,8865.370323909838,0.1393978677839371,7.081348525811952e-13,0.2721758598848134,False,1,True,False,0.20474222462292568,0.3997614305528908
Reducción,Sn,CURADO,cinetica,v6,True,1,m6_ln_sn_dep,tasa_gn_nm3_min,0.010527145162319755,0.002773667402923954,0.01858302534230212,4.950636298158929,0.05211606695656835,0.013731418523935533,0.09199779978920813,True,1,True,False,0.07654607388847524,0.11495464936576665
Reducción,Sn,CURADO,cinetica,v6,True,2,m6_ln_sn_dep,exceso_o2_combustion_pct,-8.200808749324013e-22,-0.0011186140965173562,-1.2893823264836667e-33,11.409823530874114,-9.356978064023543e-21,-0.012763189440411217,-1.471162480900655e-32,False,-1,,True,-1.374316935425071e-20,0.01874608156391574
Reducción,Sn,CURADO,cinetica,v6,True,3,m6_ln_sn_dep,tasa_aire_nm3_min,0.0010553280031245994,-0.0006259372808233797,0.0027842654022477505,9.90781911837341,0.01045599896551274,-0.006201673357844547,0.027585997983015895,False,0,,False,0.015357368967596017,0.04962603162537882
Reducción,Sn,CURADO,cinetica,v5,True,0,v5_ln_sn_dep,Cx_sn_v4,0.0006405977380006636,3.121450010223721e-05,0.0011297609479246546,289.6439308863054,0.18554524695138777,0.009041090510262967,0.32722840191873553,True,1,True,False,0.2739673738266016,0.46982039973443945
Reducción,Sn,CURADO,cinetica,v5,True,1,v5_ln_sn_dep,tasa_gn_nm3_min,0.005676542828096776,1.1072670929128973e-19,0.013594864787996564,4.950636298158929,0.02810249897282964,5.481676661931504e-19,0.06730323108801849,False,1,True,False,0.04149482656145894,0.0993767815354507
Reducción,Sn,CURADO,cinetica,v5,True,2,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.00023714925294629832,-0.001975275878916406,-2.671730230230821e-23,11.409823530874114,-0.002705831126595892,-0.02253754920322846,-3.0483970449035333e-22,False,-1,True,False,-0.003995302816708486,0.03327788380003088
Reducción,Sn,CURADO,cinetica,v5,True,3,v5_ln_sn_dep,tasa_aire_nm3_min,0.0011184607218144215,-0.0006871148017390015,0.002695795186465337,9.90781911837341,0.011081506522742651,-0.006807809169187035,0.02670945108768028,False,0,,False,0.01636243067370825,0.04949000807788131
Reducción,Sn,CURADO,cinetica,v6,False,0,m6_ln_sn_dep,Cx_sn_v6,1.5777872140293854e-05,-2.1925620515229887e-06,3.067513020930355e-05,8865.370323909838,0.13987667944700494,-0.019437874544902776,0.27194638903962987,False,1,True,,0.2054454847705189,0.4279739948309645
Reducción,Sn,CURADO,cinetica,v6,False,1,m6_ln_sn_dep,tasa_gn_nm3_min,0.011953495450504899,0.0034339560657501763,0.0222190395937471,4.950636298158929,0.05917740846714717,0.017000267545385854,0.1099983839230348,True,1,True,,0.08691750060168006,0.13659205506940797
Reducción,Sn,CURADO,cinetica,v6,False,2,m6_ln_sn_dep,exceso_o2_combustion_pct,0.00047922543168948343,-0.001127301880712265,0.001996070872933798,11.409823530874114,0.005467877607083973,-0.012862315524949446,0.022774816415292484,False,-1,False,,0.008031008243077686,0.05234244819250115
Reducción,Sn,CURADO,cinetica,v6,False,3,m6_ln_sn_dep,tasa_aire_nm3_min,0.0009030764462048795,-0.0008340140043905139,0.0027574696803630535,9.90781911837341,0.008947518079061422,-0.0082632598976915,0.02732051081743608,False,0,,,0.013141770283031382,0.05226407327822018
Reducción,Sn,CURADO,cinetica,v5,False,0,v5_ln_sn_dep,Cx_sn_v4,0.0006405977380006636,3.121450010223721e-05,0.001130429205996911,289.6439308863054,0.18554524695138777,0.009041090510262967,0.32742195881363034,True,1,True,,0.2739673738266016,0.4701061967303294
Reducción,Sn,CURADO,cinetica,v5,False,1,v5_ln_sn_dep,tasa_gn_nm3_min,0.005676542828096776,-0.003994774297612622,0.015268242293710984,4.950636298158929,0.02810249897282964,-0.019776674640713383,0.07558751450833094,False,1,True,,0.04149482656145894,0.14081027074281277
Reducción,Sn,CURADO,cinetica,v5,False,2,v5_ln_sn_dep,exceso_o2_combustion_pct,-0.00023714925294629832,-0.0021454049795736584,0.0013282895499986383,11.409823530874114,-0.002705831126595892,-0.024478692219194024,0.015155549363388652,False,-1,True,,-0.003995302816708486,0.05852205463842548
Reducción,Sn,CURADO,cinetica,v5,False,3,v5_ln_sn_dep,tasa_aire_nm3_min,0.0011184607218144215,-0.0007389636199827793,0.002744843761672426,9.90781911837341,0.011081506522742651,-0.0073215178818478045,0.027195415498846052,False,0,,,0.01636243067370825,0.05096607833524311
Reducción,FeO,CURADO,cinetica,v6,True,0,m6_ln_feo_ret,tasa_feed_Carbon_kg_min,-0.0005178225946662706,-0.0010615460458719317,-1.215492830820349e-23,22.041557447169478,-0.011413616467778958,-0.02339812815290179,-2.6791355057149373e-22,False,-1,True,False,-0.1507268439302631,0.3089928613177773
Reducción,FeO,CURADO,cinetica,v6,True,1,m6_ln_feo_ret,Cx_av_v6,-3.0182695826556598e-06,-5.959622975066397e-05,-3.382613219669308e-24,547.8182706921207,-0.0016534632232530523,-0.03264790352177905,-1.853057324419547e-21,False,-1,True,False,-0.02183543611258124,0.43114428040134306
Reducción,FeO,CURADO,cinetica,v6,True,2,m6_ln_feo_ret,tasa_gn_nm3_min,-0.002381348704917767,-0.003703779821765578,-0.0006644415728074449,4.950636298158929,-0.011789191337139654,-0.018336066826021277,-0.0032894085683463454,True,-1,True,False,-0.1556866404047695,0.19870435608897802
Reducción,FeO,CURADO,cinetica,v6,True,3,m6_ln_feo_ret,exceso_o2_combustion_pct,9.602619295166704e-27,1.7188427971187937e-43,0.000332260524743143,11.409823530874114,1.0956419159201885e-25,1.9611692992439492e-42,0.0037910339535948937,False,1,,True,1.4468915135755632e-24,0.05006393763720185
