dist,metric,n,cerca,medio,lejos,d_cerca_lejos,ols_coef_por_sd,ols_p,subset,sistema
dist_total,recuperacion_refinada_pct,297,68.33272798007957,68.19991270343607,67.83063203165263,0.5020959484269412,-0.051160135098372306,0.8339309790486563,DEV,v6
dist_total,f_dross,297,0.12825032354760457,0.130508815637639,0.12399030686574575,0.004260016681858825,-0.003710040473550545,0.08932284238766339,DEV,v6
dist_total,f_polvo,297,0.1784599043838589,0.1776110358664459,0.1869273595972394,-0.00846745521338052,0.0035187490876206224,0.0901444006081778,DEV,v6
dist_R,recuperacion_refinada_pct,297,68.37999507212565,67.98750310643746,67.99577453660517,0.38422053552048396,0.20850443454820536,0.3532204819644701,DEV,v6
dist_R,f_dross,297,0.12922340431471033,0.12746880425220375,0.12605723748407524,0.0031661668306350865,-0.003087495457955697,0.14644890315823442,DEV,v6
dist_R,f_polvo,297,0.17735605018140468,0.18260058796433964,0.18304166170179986,-0.0056856115203951785,0.00012363038598718317,0.9394082032408577,DEV,v6
dist_F,recuperacion_refinada_pct,297,68.70659616864893,68.2425732771987,67.41410326932063,1.2924928993282947,-0.3984272946890411,0.15430571171563587,DEV,v6
dist_F,f_dross,297,0.126736716533871,0.13156396224421665,0.12444876727290162,0.0022879492609693824,-0.0021479595384171855,0.3100301642466824,DEV,v6
dist_F,f_polvo,297,0.17518231502812093,0.1767888116156254,0.1910271732037979,-0.015844858175676962,0.006156953266143556,0.007763652040997603,DEV,v6
dist_total,recuperacion_refinada_pct,63,68.7193377681317,69.25399182732242,69.98484163566934,-1.265503867537646,-0.6541763085631074,0.18930227098341434,LOCKBOX,v6
dist_total,f_dross,63,0.11847743004420411,0.12028522253117509,0.10762564720284255,0.010851782841361554,0.003827291753647914,0.45315344591477413,LOCKBOX,v6
dist_total,f_polvo,63,0.18193543829283274,0.17780008243765497,0.18326864216088573,-0.0013332038680529956,0.0036498747990418995,0.4422169716318838,LOCKBOX,v6
dist_R,recuperacion_refinada_pct,63,68.99344756791886,69.0283959407088,69.93632772249579,-0.9428801545769261,-0.3712676465299625,0.5512542193702523,LOCKBOX,v6
dist_R,f_dross,63,0.11345466808813474,0.11566642612199511,0.11726720556809186,-0.0038125374799571204,0.0023150370052362097,0.6148203249591662,LOCKBOX,v6
dist_R,f_polvo,63,0.18381426074716206,0.1851930101680288,0.17399689197618254,0.009817368770979523,0.0024659242229194936,0.6507434077745307,LOCKBOX,v6
dist_F,recuperacion_refinada_pct,63,68.77140276576185,69.04687047340286,70.13989799195876,-1.368495226196913,-0.6187035858508279,0.26209186336435586,LOCKBOX,v6
dist_F,f_dross,63,0.12333608592701728,0.11814925388867191,0.10490295996253254,0.018433125964484737,0.0034438436906695626,0.5712773075935123,LOCKBOX,v6
dist_F,f_polvo,63,0.1789365022931455,0.17950342882669826,0.18456423177152967,-0.005627729478384164,0.0029663860120789746,0.5170519091098091,LOCKBOX,v6
dist_total,recuperacion_refinada_pct,360,68.45539387563686,68.02622031857447,68.5107657612491,-0.05537188561224582,0.04524295133092138,0.8437777126649856,TOTAL,v6
dist_total,f_dross,360,0.12780250425060177,0.13035236044474466,0.11823138075790854,0.009571123492693234,-0.004725172532103474,0.028092731843499964,TOTAL,v6
dist_total,f_polvo,360,0.17766366595480834,0.17954347099024007,0.18579218893516594,-0.0081285229803576,0.003888157827836747,0.03703631766969629,TOTAL,v6
dist_R,recuperacion_refinada_pct,360,68.46323655556031,68.08265262182454,68.44649077807557,0.016745777484743485,0.158804191377173,0.4572494616328645,TOTAL,v6
dist_R,f_dross,360,0.1285974000498258,0.12327082629744097,0.1245180191059882,0.004079380943837613,-0.002443226797776261,0.2193805009374088,TOTAL,v6
dist_R,f_polvo,360,0.17717030962495792,0.18524920440330697,0.18057981185194946,-0.0034095022269915454,0.00028453484942625776,0.8523560618251345,TOTAL,v6
dist_F,recuperacion_refinada_pct,360,68.90718931091469,67.38840649529942,68.69678414924631,0.2104051616683762,-0.14073217432806007,0.5586180780222729,TOTAL,v6
dist_F,f_dross,360,0.12510864796275806,0.13474304671189008,0.11653455077860686,0.008574097184151197,-0.004691540225413482,0.022117346358511945,TOTAL,v6
dist_F,f_polvo,360,0.17499320182212952,0.18192580044945952,0.1860803236086253,-0.01108712178649579,0.006226757993095765,0.001745239838114959,TOTAL,v6
