fase,config,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota
Fusión,a_v5_tal_cual,tasa_gn_nm3_min,0.12344116281466647,2.706662797605476e-23,0.9501084730059723,1.4912350039331133,0.18407978291543722,4.0362703076328135e-23,1.4168350124799454,False,1,True,False
Fusión,a_v5_tal_cual,tasa_o2_nm3_min,-0.37645908007910966,-0.7961163153739087,-0.0771283041269839,3.333177422863195,-1.254804906351536,-2.6535969283773477,-0.257082321979789,True,0,,False
Fusión,a_v5_tal_cual,tasa_aire_nm3_min,-2.7290407392834845e-20,-0.14086313027941508,-5e-324,5.436636278274587,-1.4836801888077892e-19,-0.7658216043483875,-2.5e-323,False,-1,,True
Fusión,a_v5_tal_cual,tasa_feed_Carbon_kg_min,-0.005578894637418032,-0.1548203518318512,0.14022765174823723,7.185600688580564,-0.04008770914814942,-1.112477226729235,1.007619910960169,False,0,,False
Fusión,b_masa_v6_en_estado,tasa_gn_nm3_min,3.551488650886487e-20,3.7628034090318086e-24,0.8099231094339767,1.4912350039331133,5.296104192273118e-20,5.611224156467081e-24,1.2077856912822955,False,1,,True
Fusión,b_masa_v6_en_estado,tasa_o2_nm3_min,-0.34657474988439796,-0.7201985338062997,-0.06398017111326004,3.333177422863195,-1.155195131649134,-2.400549492862334,-0.21325726186564237,True,0,,False
Fusión,b_masa_v6_en_estado,tasa_aire_nm3_min,-1.3847719171104808e-29,-0.16653356528271002,-5e-324,5.436636278274587,-7.528501241698689e-29,-0.9053824225663906,-2.5e-323,False,-1,,True
Fusión,b_masa_v6_en_estado,tasa_feed_Carbon_kg_min,0.02238078671724334,-0.14262062386341437,0.17846234327410007,7.185600688580564,0.1608193964463985,-1.02481485303874,1.2823591367160745,False,0,,False
Fusión,c_b_mas_termicas_e6,tasa_gn_nm3_min,1.229179396688224e-25,1.3381874847377882e-42,0.7545906520139292,1.4912350039331133,1.8329953424548656e-25,1.9955520190661986e-42,1.1252719939238822,False,1,,True
Fusión,c_b_mas_termicas_e6,tasa_o2_nm3_min,-0.34657474988439774,-0.7389373575216679,-0.08950017649096857,3.333177422863195,-1.1551951316491333,-2.4630093170014127,-0.2983199676219678,True,0,,False
Fusión,c_b_mas_termicas_e6,tasa_aire_nm3_min,-5e-324,-0.17622669744590513,-5e-324,5.436636278274587,-2.5e-323,-0.9580804565349275,-2.5e-323,False,-1,,True
Fusión,c_b_mas_termicas_e6,tasa_feed_Carbon_kg_min,0.022380786717243254,-0.14146273402002615,0.22288376125320722,7.185600688580564,0.16081939644639787,-1.016494718982789,1.6015537083344717,False,0,,False
Fusión,c_b_mas_termicas_e6,e6_q_neto_por_min_MJ,1.3184146027297262e-29,2.901127698542686e-33,0.01753326146200139,77.11803492481269,1.0167354337869407e-27,2.237292671775563e-31,1.3521306697724955,False,1,,True
Fusión,c_b_mas_termicas_e6,e6_dT_teorico_sin_reaccion,4.2665126058010436e-30,1.7627582239982795e-36,0.0009986955613163514,132.82349215258188,5.666931036155066e-28,2.3413570313213465e-34,0.13265023205132076,False,1,,True
Fusión,c_b_mas_termicas_e6,e6_margen_termico_MJ,2.0491253658794697e-26,5.39311537127749e-28,7.969935786315423e-05,16203.743795092076,3.3203502432735237e-22,8.738865973355332e-24,1.291427975447908,False,1,,True
Reducción,a_v5_tal_cual,tasa_gn_nm3_min,0.45585976684752655,0.0845577858651473,0.8698182697735466,5.000946414336985,2.279730266456632,0.422868956026583,4.349914557348818,True,1,True,False
Reducción,a_v5_tal_cual,tasa_o2_nm3_min,-0.4186467188917882,-0.7322142711664102,-0.11069141594165662,8.78522632200191,-3.677906174427872,-6.432668088396591,-0.9724491409503034,True,0,,False
Reducción,a_v5_tal_cual,tasa_aire_nm3_min,-0.04074432718594212,-0.12300507861497195,-1.5668422374638464e-19,10.132722009522976,-0.412850940840201,-1.2463762673650303,-1.587637682500014e-18,False,-1,True,False
Reducción,a_v5_tal_cual,tasa_feed_Carbon_kg_min,0.08558716510699724,-0.02556361083787783,0.22375179516284105,21.999766137066832,1.8828976166884657,-0.5623934600522994,4.9224871663313845,False,0,,False
Reducción,b_masa_v6_en_estado,tasa_gn_nm3_min,0.571478139561187,0.14232609816881842,0.9906847739373676,4.999451783261157,2.8570774039239444,0.7115524652947017,4.952880759710848,True,1,True,False
Reducción,b_masa_v6_en_estado,tasa_o2_nm3_min,-0.47406273766310797,-0.7646778947408316,-0.19048121780914537,8.783388147350285,-4.16387703109057,-6.716462757207389,-1.6730704707976956,True,0,,False
Reducción,b_masa_v6_en_estado,tasa_aire_nm3_min,-0.05617557616763891,-0.143492804665192,-1.1618667475997337e-16,10.136961655688944,-0.5694496615975893,-1.4545810587583148,-1.1777798669438525e-15,False,-1,True,False
Reducción,b_masa_v6_en_estado,tasa_feed_Carbon_kg_min,0.04474628101196276,-0.079165863427915,0.17598561734394327,22.00904900625131,0.9848230916397809,-1.7423653678071795,3.873276076518238,False,0,,False
Reducción,c_b_mas_termicas_e6,tasa_gn_nm3_min,0.5714781395611868,0.13196809609090102,0.9906847739373676,4.999451783261157,2.8570774039239435,0.6597681333352348,4.952880759710848,True,1,True,False
Reducción,c_b_mas_termicas_e6,tasa_o2_nm3_min,-0.47406273766310814,-0.7646778947408321,-0.19069293738373475,8.783388147350285,-4.163877031090571,-6.7164627572073945,-1.6749300859997058,True,0,,False
Reducción,c_b_mas_termicas_e6,tasa_aire_nm3_min,-0.05617557616763876,-0.14428918113636105,-1.0462404448818233e-22,10.136961655688944,-0.5694496615975878,-1.4626538965100484,-1.0605699272397986e-21,False,-1,True,False
Reducción,c_b_mas_termicas_e6,tasa_feed_Carbon_kg_min,0.04474628101196289,-0.06899256419180878,0.17598561734394336,22.00904900625131,0.9848230916397837,-1.5184607263644587,3.87327607651824,False,0,,False
Reducción,c_b_mas_termicas_e6,e6_q_neto_por_min_MJ,7.311574862114628e-36,4.6256758144906207e-38,5.732624716957536e-18,95.12045734017804,6.954803447612926e-34,4.399963989817484e-36,5.452898848366095e-16,False,1,,True
Reducción,c_b_mas_termicas_e6,e6_dT_teorico_sin_reaccion,1.2084081926453116e-35,3.104845741731179e-38,4.914160093477326e-18,34.49936333375631,4.168931329355839e-34,1.0711520133925004e-36,1.6953539454512013e-16,False,1,,True
Reducción,c_b_mas_termicas_e6,e6_margen_termico_MJ,1.0230539864584997e-28,2.3393269550900676e-29,0.00027405539617621644,15389.108011531489,1.5743888299237725e-24,3.6000155186168125e-25,4.217468092898849,False,1,,True
