targets,palanca,w_anchor,theta_ln_sn_dep,sig_ln_sn_dep,theta_ln_feo_ret,sig_ln_feo_ret,sd_palanca_aprox,theta_J_wanchor_por_unidad,theta_J_wanchor_por_sd,signo_neto_wanchor
v6,Cx_av_v6,6.237897199486325,,n/a,-3.0182695826556598e-06,-,547.8182706921207,-1.88276553769425e-05,-0.010314133609783846,-
v6,Cx_sn_v6,6.237897199486325,1.572386292854367e-05,+,,n/a,8865.370323909838,1.572386292854367e-05,0.1393978677839371,+
v6,exceso_o2_combustion_pct,6.237897199486325,-8.200808749324013e-22,-,9.602619295166704e-27,+,11.409823530874114,-8.200209747803922e-22,-9.356294613859647e-21,-
v6,tasa_aire_nm3_min,6.237897199486325,0.0010553280031245994,+,0.0002379160603926126,+,9.90781911837341,0.002539423929960497,0.025160152962917553,+
v6,tasa_feed_Carbon_kg_min,6.237897199486325,,n/a,-0.0005178225946662706,-,22.041557447169478,-0.003230124113099471,-0.07119696620036935,-
v6,tasa_gn_nm3_min,6.237897199486325,0.010527145162319755,+,-0.002381348704917767,-,4.950636298158929,-0.00432746325508717,-0.021423696669583537,-
v5,Cx_av_v4,6.040263541160686,,n/a,-2.5047863748051108e-31,-,17.23194068245163,-1.5129569818131356e-30,-2.6071184965705003e-29,-
v5,Cx_sn_v4,6.040263541160686,0.0006405977380006636,+,,n/a,289.6439308863054,0.0006405977380006636,0.18554524695138777,+
v5,exceso_o2_combustion_pct,6.040263541160686,-0.00023714925294629832,-,3.7647532080399286e-05,+,11.409823530874114,-9.74823750638518e-06,-0.00011122566968490323,-
v5,tasa_aire_nm3_min,6.040263541160686,0.0011184607218144215,+,0.00030894744538698826,+,9.90781911837341,0.0029845847123201787,0.029570725473130874,+
v5,tasa_feed_Carbon_kg_min,6.040263541160686,,n/a,-2.7381267222589024e-59,-,22.041557447169478,-1.653900701153826e-58,-3.645454731639594e-57,-
v5,tasa_gn_nm3_min,6.040263541160686,0.005676542828096776,+,-0.002498523407605702,-,4.950636298158929,-0.009415197017600508,-0.046611216109650765,-
