Batch,residuo_medio,residuo_abs_medio,frac_flag,polvo_sn_t,kpi_recuperacion_pct
AP0001,-0.13990346658247077,0.13990346658247077,0.0,4.99101946,78.4385053607697
AP0002,-0.05729363702112744,0.05729363702112744,0.0,6.383471948,72.14314023686171
AP0003,-0.08002007344884159,0.08002007344884159,0.0,6.198930052000001,78.14326293566891
AP0004,-0.1439083645248059,0.1439083645248059,0.0,7.538656284,71.85093529025706
AP0005,-0.07175159676880494,0.07175159676880494,0.0,7.310974724,70.15845553393244
AP0006,-0.09513915824102082,0.09513915824102082,0.0,7.916128344,72.57614671931469
AP0007,-0.11432687025552779,0.11432687025552779,0.0,7.941293148,71.86118676988926
AP0008,-0.08505990366104133,0.08505990366104133,0.0,8.179759624,58.92715260043539
AP0009,-0.0805899639991523,0.0805899639991523,0.0,6.218103236000001,76.67768621035799
AP0010,-0.09504295210911717,0.09504295210911717,0.0,9.195938376,68.16148386572002
AP0011,-0.047996827364745975,0.047996827364745975,0.0,7.916128344,64.46025013766302
AP0012,-0.16640099592194582,0.16640099592194582,0.0,7.594977511999999,73.31810988860353
AP0013,-0.15116446145018392,0.15116446145018392,0.0,9.349323848000001,63.40204397910659
AP0014,-0.05375099584932386,0.05375099584932386,0.0,7.31576802,71.39812729827501
AP0015,-0.11872872747557706,0.11872872747557706,0.0,5.8490194440000005,75.14929565234326
AP0016,-0.08838213398334756,0.08838213398334756,0.0,7.4379970680000005,72.3987505014677
AP0017,-0.11152154783620594,0.11152154783620594,0.0,10.877186948,69.0339560550024
AP0018,-0.11316455507607559,0.11316455507607559,0.0,7.13601942,69.61398865040907
AP0019,-0.11084459970185323,0.11084459970185323,0.0,9.735184176,68.38198798518673
AP0020,-0.11846002642571163,0.11846002642571163,0.0,8.881977487999999,70.29318056956637
AP0021,-0.1506103579316318,0.1506103579316318,0.0,7.569812708,69.79018382328715
AP0022,-0.08317058472278571,0.08317058472278571,0.0,13.38527908,57.322123227247275
AP0023,-0.04704137139198927,0.04704137139198927,0.0,8.166578059999999,73.02108529158157
AP0024,-0.08152970991504294,0.08152970991504294,0.0,8.709418832,68.24465926788112
AP0025,-0.13903615533954783,0.13903615533954783,0.0,9.092882512,70.25938653818
AP0026,-0.11673787728325695,0.11673787728325695,0.0,7.7591479,73.63430377036208
AP0027,-0.16242788530415053,0.16242788530415053,0.0,8.34632666,68.35179128931844
AP0028,-0.04369300377905224,0.04369300377905224,0.0,11.049745604,65.6207391190057
AP0029,-0.1177987052128285,0.1177987052128285,0.0,8.96346352,65.88376038277886
AP0030,-0.08048868211895455,0.08048868211895455,0.0,8.367896492,69.92471280949019
AP0031,-0.1239975135359952,0.1239975135359952,0.0,9.435603176,64.14580284784356
AP0032,-0.0206581374909085,0.03338465806816634,0.3333333333333333,6.409835076,71.61495281608187
AP0033,-0.12626007076270396,0.12626007076270396,0.0,8.494918836,68.51324204215862
AP0034,-0.11162041808691026,0.11162041808691026,0.0,5.8154663719999995,72.29393444746285
AP0035,-0.20307194261054118,0.20307194261054118,0.25,10.043153444000001,71.32074589797088
AP0036,-0.07857953628323126,0.07857953628323126,0.0,8.818466316,63.69161356988688
AP0037,-0.09515849418619116,0.09515849418619116,0.0,8.40025124,68.65731407847392
AP0038,-0.15375402765604296,0.15375402765604296,0.0,9.57460876,69.38813084594135
AP0039,-0.1213673642800881,0.1213673642800881,0.0,8.19653616,66.93700757800468
AP0040,-0.09313020684860707,0.09313020684860707,0.0,8.276823868000001,68.44628321164319
AP0041,-0.1778584795357272,0.1778584795357272,0.0,8.8376395,71.75709033455325
AP0042,-0.08751871598897543,0.08751871598897543,0.0,8.655494252,73.19159819358674
AP0043,-0.11849550860352309,0.11849550860352309,0.0,8.4481842,72.39589576208347
AP0044,-0.13167211197983075,0.13167211197983075,0.0,12.721407584000001,67.51492679822287
AP0045,-0.1648732317889121,0.1648732317889121,0.0,9.352918820000001,68.17813473003088
AP0046,-0.12924479691643054,0.12924479691643054,0.0,9.530270772,70.73450083007361
AP0047,-0.15359759339717627,0.15359759339717627,0.0,10.681860136000001,67.82223857401883
AP0048,-0.1986087192223165,0.1986087192223165,0.0,10.32955288,64.70774231269817
AP0049,-0.10274908452941212,0.10274908452941212,0.0,9.736382500000001,68.07164741269094
AP0050,-0.11294488185681928,0.11294488185681928,0.0,13.043756740000001,65.97494431801756
AP0051,-0.19719533065167427,0.19719533065167427,0.25,8.349921632000001,64.71543628585202
AP0052,-0.10801543511213296,0.10801543511213296,0.0,9.741175796,76.28575459062732
AP0053,-0.14097536759361828,0.14097536759361828,0.0,10.7549579,64.70549611337013
AP0054,-0.14202800684397543,0.14202800684397543,0.0,9.499114348,69.65793107695757
AP0055,-0.021252279590638246,0.021252279590638246,0.0,9.00540486,64.68115613791976
AP0056,-0.08711697372134175,0.08711697372134175,0.0,10.994622700000003,64.37798291679474
AP0057,-0.07885451040570264,0.07885451040570264,0.0,9.457173008000002,68.02036704137622
AP0058,-0.12931587804326128,0.12931587804326128,0.0,9.091684188,68.7934018512708
AP0059,-0.12060615984214618,0.12060615984214618,0.0,9.107262400000002,70.75881842336166
AP0060,-0.168052751954479,0.168052751954479,0.0,9.392463512,72.7689305612895
AP0061,-0.14292695154354673,0.14292695154354673,0.0,9.079700948000001,73.02430015068636
AP0062,-0.13088887569326157,0.13088887569326157,0.0,10.945491416000003,60.002474201557796
AP0063,-0.14956164999685262,0.14956164999685262,0.0,8.7477652,70.78033703805492
AP0064,-0.13932721272525997,0.13932721272525997,0.0,11.170776327999999,67.70432849591536
AP0065,-0.03164827517643568,0.03164827517643568,0.0,12.165385248000002,61.97328559546493
AP0066,-0.05324036207423314,0.05324036207423314,0.0,6.707019428,73.2697746662867
AP0067,-0.07339843965226933,0.07339843965226933,0.0,9.901751212,66.36748236091319
AP0068,-0.02900301378093406,0.02900301378093406,0.0,12.903552832000003,63.990883052261786
AP0069,-0.0651298723431933,0.0651298723431933,0.0,7.663281980000001,60.28684839936101
AP0070,-0.11812749763374637,0.11812749763374637,0.0,10.304388076,67.40859081593221
AP0071,-0.15209027073716674,0.15209027073716674,0.0,13.06772322,56.07833320146904
AP0072,-0.12786043832612393,0.12786043832612393,0.0,9.737580824000002,67.68196281350318
AP0073,-0.06834933319790881,0.06834933319790881,0.0,9.592583620000001,66.31578096407327
AP0074,-0.1098634508594083,0.1098634508594083,0.0,12.01918972,61.491653799322684
AP0075,-0.06231475544482438,0.06231475544482438,0.0,9.398455132,66.45102232304394
AP0076,-0.14871949975268706,0.14871949975268706,0.0,7.563821088000001,71.62262648540546
AP0077,-0.11590596651098428,0.11590596651098428,0.0,12.770538868000001,57.40152233921551
AP0078,-0.10698913485952784,0.10698913485952784,0.0,9.354117144,68.55464212762764
AP0079,-0.1305871270103358,0.1305871270103358,0.0,9.537460716000002,68.38656988346229
AP0080,-0.1475825624547733,0.1475825624547733,0.0,11.205527724000001,65.40929594366527
AP0081,-0.1334145356549632,0.1334145356549632,0.0,9.118047316,68.3821075429745
AP0082,-0.1275769975768175,0.1275769975768175,0.0,9.537460716,66.59204997348402
AP0083,-0.13238519195709886,0.13238519195709886,0.0,12.093485808,66.40535933623725
AP0084,-0.12559282293227567,0.12559282293227567,0.0,10.457773548,63.07716960270198
AP0085,-0.16659286930318062,0.16659286930318062,0.0,9.7663406,67.05066332556247
AP0086,-0.11711018680982536,0.11711018680982536,0.0,13.650108684000001,68.30270535545422
AP0087,-0.0838658408828022,0.0838658408828022,0.0,9.195938376,62.566958876857086
AP0088,-0.17843470565827557,0.17843470565827557,0.0,9.441594796,67.49483932967502
AP0089,-0.10783622159754724,0.10783622159754724,0.0,10.529672988,70.05299225191753
AP0090,-0.10885197088194376,0.10885197088194376,0.0,7.968854600000001,69.9548462049045
AP0091,-0.16065577097654105,0.16065577097654105,0.0,7.736379744,68.58277332677757
AP0092,-0.1266428578959431,0.1266428578959431,0.0,11.059332196,63.853680311481114
AP0093,-0.12623135908485184,0.12623135908485184,0.0,9.230689772,71.14027124610894
AP0094,-0.15086226878425446,0.15086226878425446,0.0,8.171371356000002,69.36246750256105
AP0095,-0.15821618429076123,0.15821618429076123,0.0,13.985639404,61.74139192309872
AP0096,-0.11673992247341003,0.11673992247341003,0.0,8.224097612000001,67.17186007645331
AP0097,-0.1512901657907637,0.1512901657907637,0.0,13.765147788000002,57.27013630574783
AP0098,-0.15638787513110586,0.15638787513110586,0.0,8.757351792000001,62.19428718295218
AP0099,-0.11538919843616391,0.11538919843616391,0.0,9.678862948,67.741977420962
AP0100,-0.11550392290135969,0.11550392290135969,0.0,7.5146898040000005,68.00737328574324
AP0101,-0.11610178682896777,0.11610178682896777,0.0,7.9592680080000004,65.65090617396629
AP0102,-0.17099598474420485,0.17099598474420485,0.0,9.378083624,68.34069887713703
AP0103,-0.11043019385022657,0.11043019385022657,0.0,8.415829452,69.24932266662927
AP0104,-0.10919758990201611,0.10919758990201611,0.0,8.318765208,62.10984481094542
AP0105,-0.1321818290734663,0.1321818290734663,0.0,8.401449564,68.07043434810971
AP0106,-0.11554426655878973,0.11554426655878973,0.0,10.032368528000001,67.17760387452252
AP0107,-0.062417280463385204,0.062417280463385204,0.0,8.7777233,67.5915418532535
AP0108,-0.13360061657785582,0.13360061657785582,0.0,9.163583628000001,71.2406149621665
AP0109,-0.10854146323251657,0.10854146323251657,0.0,8.413432804000001,73.70356116512347
AP0110,-0.07952370420528905,0.07952370420528905,0.0,9.493122728000001,66.69683017951613
AP0111,-0.13841938143593469,0.13841938143593469,0.0,11.097678564,59.00811082640783
AP0112,-0.08412644719372464,0.08412644719372464,0.0,8.24446912,69.61273870075898
AP0113,-0.0672448284070577,0.0672448284070577,0.0,6.83643842,74.27826584080685
AP0114,-0.1049554315550143,0.1049554315550143,0.0,10.886773540000002,63.9268449257049
AP0115,-0.12113231840981342,0.12113231840981342,0.0,8.352318280000002,64.39843472786895
AP0116,-0.047773519073863735,0.047773519073863735,0.0,7.4032456720000015,70.22104856749674
AP0117,-0.038597551512464356,0.038597551512464356,0.0,10.880781920000002,60.67227998596772
AP0118,-0.06389105238248627,0.06389105238248627,0.0,10.343932768,64.61636722010667
AP0119,-0.08656829528757903,0.08656829528757903,0.0,7.380477516,66.71193248568531
AP0120,-0.11185733947268162,0.11185733947268162,0.0,8.742971904,67.99647941835006
AP0121,-0.04162268992440291,0.04162268992440291,0.0,9.225896476,66.75667092196463
AP0122,-0.051541401924485676,0.051541401924485676,0.0,7.816667452000001,69.55998775272788
AP0123,-0.045739847461191495,0.045739847461191495,0.0,9.296597592000001,70.14900140914891
AP0124,-0.11192983760182473,0.11192983760182473,0.0,8.303786158,69.49960314497643
AP0125,-0.1509760061508955,0.1509760061508955,0.0,8.662684196,64.00234748194958
AP0126,-0.05677966916976551,0.05677966916976551,0.0,14.031175716,64.54368986571316
AP0127,-0.10640675725786064,0.10640675725786064,0.0,9.483536136,68.14158472233768
AP0128,-0.10635396840710125,0.10635396840710125,0.0,11.056935548000002,62.774861258594825
AP0129,-0.06702746042201883,0.06702746042201883,0.0,7.925714936,68.21774553302862
AP0130,-0.07265928061610838,0.07265928061610838,0.0,4.402642376,75.35219497500168
AP0131,-0.07773991421761473,0.07773991421761473,0.0,9.061726088,63.4774572506526
AP0132,-0.10062515710169428,0.10062515710169428,0.0,9.863404844,65.09369702857832
AP0133,-0.09687036401125582,0.09687036401125582,0.0,7.48353338,67.71870050873771
AP0134,-0.0949946428310066,0.0949946428310066,0.0,6.254052955999999,60.995141181853725
AP0135,-0.12084203560982187,0.12084203560982187,0.0,9.753159036,61.91634357671901
AP0136,-0.02226012052030857,0.02226012052030857,0.0,7.687248460000001,67.21324609494278
AP0137,-0.0659303140089218,0.0659303140089218,0.0,6.550038984,69.94308087499658
AP0138,-0.15682489560978352,0.15682489560978352,0.0,14.893968995999998,58.21917483019654
AP0139,-0.12857593528132405,0.12857593528132405,0.0,7.65129874,69.44627772115354
AP0140,-0.07985026413935437,0.07985026413935437,0.0,7.101268024000001,68.84378136709238
AP0141,-0.14103166269108947,0.14103166269108947,0.25,11.010200912,61.34493885522402
AP0142,-0.1037900535035412,0.1037900535035412,0.0,6.72259764,72.7087098384054
AP0143,-0.10283005810752203,0.10283005810752203,0.0,7.149200984,71.78918788350337
AP0144,-0.10046256448919877,0.10046256448919877,0.0,8.93949704,69.36942509591199
AP0145,-0.04438177547324118,0.04438177547324118,0.0,7.615349020000001,64.20639493664603
AP0146,-0.0495282510005457,0.0495282510005457,0.0,6.209714968000001,72.30912519264164
AP0147,-0.14013823814742446,0.14013823814742446,0.0,7.054533388000001,72.32712376780174
AP0148,-0.07082012900252987,0.07082012900252987,0.0,9.082097596,76.62172674882521
AP0149,-0.14491518230693323,0.14491518230693323,0.0,7.775924436,74.04355972815453
AP0150,-0.01015155413089038,0.011806364513779736,0.0,7.2151088040000015,67.61072369018586
AP0151,-0.04383922521431094,0.04383922521431094,0.0,12.418231612,56.22324531862023
AP0152,-0.09733299797839834,0.09733299797839834,0.0,10.288809864,70.23974689959972
AP0153,-0.13493322850542988,0.13493322850542988,0.0,8.71181548,67.16119932511415
AP0154,-0.08367787048480284,0.08367787048480284,0.0,10.246868524000002,63.36942100327135
AP0155,-0.06317137778019477,0.06317137778019477,0.0,7.961664656,66.37590073602613
AP0156,-0.11391134467042008,0.11391134467042008,0.0,6.909536184000001,67.9602757978706
AP0157,-0.08586088354130883,0.08586088354130883,0.0,12.029974635999999,70.20792602921432
AP0158,-0.10557598279111069,0.10557598279111069,0.0,7.0233769640000006,71.286399896656
AP0159,-0.07802181782034445,0.07802181782034445,0.0,6.54284904,77.36984939134257
AP0160,-0.1525134076176832,0.1525134076176832,0.0,10.931111528,64.73236719558052
AP0161,-0.06428887143006623,0.06428887143006623,0.0,8.146206552,72.35892775745542
AP0162,-0.07317579162067878,0.07317579162067878,0.0,5.315765264,79.92966748153054
AP0163,-0.1151758542620378,0.1151758542620378,0.0,11.846631064,67.56753752221942
AP0164,-0.011822742877394413,0.011822742877394413,0.0,8.881977488,69.82753416358047
AP0165,-0.09321736081853915,0.09321736081853915,0.0,8.276823868000001,71.64698373868731
AP0166,-0.0819665005750112,0.0819665005750112,0.0,11.068918788000001,66.2838230796189
AP0167,-0.06186567184739955,0.06186567184739955,0.0,9.05932944,69.98344633646374
AP0168,-0.09697869043193785,0.09697869043193785,0.0,8.569214924,72.54929498186115
AP0169,-0.0606349154306991,0.0606349154306991,0.0,11.85741598,70.60652534331085
AP0170,-0.09420328908878739,0.09420328908878739,0.0,7.942491472,69.56579232283426
AP0171,-0.10580038441639683,0.10580038441639683,0.0,7.4296088,67.75530084635038
AP0172,-0.1036760386560438,0.1036760386560438,0.0,11.363706492,68.97613503041453
AP0173,-0.16231168716508648,0.16231168716508648,0.0,8.925117152000002,72.80351613390985
AP0174,-0.03889489689522859,0.03889489689522859,0.0,7.030566908000002,75.53968544582273
AP0175,-0.09420914363886901,0.09420914363886901,0.0,10.287611540000002,67.44666048640316
AP0176,-0.10721651532662202,0.10721651532662202,0.0,8.985033351999999,66.12018177517912
AP0177,-0.08289233266294938,0.08289233266294938,0.0,8.748963524,73.1548127993984
AP0178,-0.12270933511026483,0.12270933511026483,0.0,8.488927216,72.96918734475213
AP0179,-0.11208836122791555,0.11208836122791555,0.0,11.862209276000002,68.8241809147443
AP0180,-0.043452085784171736,0.043452085784171736,0.0,8.775326652,69.40097316818414
AP0181,-0.12819224692795705,0.12819224692795705,0.0,11.502112914000001,60.880923793292574
AP0182,-0.1321988602712505,0.1321988602712505,0.0,7.76513952,68.50290935570159
AP0183,-0.13664167410434525,0.13664167410434525,0.0,10.829253988,60.067392287869666
AP0184,-0.12279424110343307,0.12279424110343307,0.0,10.847228848,63.853562342251784
AP0185,-0.11551361243445823,0.11551361243445823,0.0,6.649499876000001,65.39070870804228
AP0186,-0.093988687343177,0.093988687343177,0.0,7.1515976320000005,72.17341000720207
AP0187,-0.14868495956942462,0.14868495956942462,0.0,12.82805842,62.86507158225252
AP0188,-0.10407809888995434,0.10407809888995434,0.0,9.137220500000002,70.89124963941455
AP0189,0.019320427458175082,0.019320427458175082,0.75,7.942491472,71.80665930929668
AP0190,-0.09929882223523201,0.09929882223523201,0.0,13.778329352000004,66.81005936546053
AP0191,-0.13112136075493508,0.13112136075493508,0.0,6.615946804,69.79776534234806
AP0192,-0.06640268535376359,0.06640268535376359,0.0,7.793899296000001,69.72912579126411
AP0193,-0.04258700568772037,0.04258700568772037,0.0,12.553642224,63.61816949636374
AP0194,-0.05707672986477208,0.05707672986477208,0.0,8.603966320000001,62.81111960119818
AP0195,-0.11939226329586239,0.11939226329586239,0.0,8.337938392000002,67.37687240762436
AP0196,-0.05419415205218906,0.05419415205218906,0.0,14.72740196,59.9917793044094
AP0197,-0.03430836096341183,0.03430836096341183,0.0,8.117446776000001,68.26552873092122
AP0198,-0.06205566844495299,0.06205566844495299,0.0,9.046147876,70.07696314412189
AP0199,-0.104085316832359,0.104085316832359,0.0,5.669270844,69.60470453679486
AP0200,-0.17599870160629028,0.17599870160629028,0.0,6.7849104879999995,71.8065918254643
AP0201,-0.057409909774711686,0.057409909774711686,0.0,10.267240032000002,66.75306615048929
AP0202,-0.05046929049284484,0.05046929049284484,0.0,7.996416052000001,66.4514440756962
AP0203,-0.07496151953461183,0.07496151953461183,0.0,8.047943984000002,66.19553935976042
AP0204,-0.04928487896158451,0.04928487896158451,0.0,12.21092156,60.410093576370244
AP0205,-0.047870261795146085,0.047870261795146085,0.0,7.579399300000001,63.66233755856593
AP0206,-0.15178229838601487,0.15178229838601487,0.0,8.499712132,63.96967014025942
AP0207,-0.08089467987340049,0.08089467987340049,0.0,9.124038936,69.79008827869758
AP0208,-0.04027956681951631,0.04027956681951631,0.0,7.372089248000001,73.79294245621271
AP0209,-0.12823677747378737,0.12823677747378737,0.0,7.946086444000001,71.55359338258206
AP0210,-0.0984557162164501,0.0984557162164501,0.0,12.182161784000002,67.08815572778333
AP0211,-0.24873896796428832,0.24873896796428832,0.3333333333333333,8.161784764,74.60280343253305
AP0212,-0.07623854657244822,0.07623854657244822,0.0,7.139614392000001,70.93343629838353
AP0213,-0.04602972837322339,0.04602972837322339,0.0,10.472153436000001,70.13314182765484
AP0214,-0.0754290918449551,0.0754290918449551,0.0,6.204921672,75.15219181323657
AP0215,-0.08895969203808818,0.08895969203808818,0.0,9.539857364000001,69.04243746866473
AP0216,-0.20136442004842836,0.20136442004842836,0.5,7.9592680080000004,73.48446419256281
