n_escalones,uplift_fisico_fusion_kg,uplift_fisico_reduccion_kg,uplift_fisico_total_kg,uplift_J_total_kg,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,R_sdi_pred_hist,R_sdi_pred_rec,R_d_sn_dep_pred,R_d_feo_ret_pred,F_d_sn_dep_pred,Batch,es_lockbox,fold,dist_Fusión_tasa_feed_Carbon_kg_min,dir_Fusión_tasa_feed_Carbon_kg_min,dist_Fusión_tasa_gn_nm3_min,dir_Fusión_tasa_gn_nm3_min,dist_Fusión_tasa_o2_nm3_min,dir_Fusión_tasa_o2_nm3_min,dist_Fusión_tasa_aire_nm3_min,dir_Fusión_tasa_aire_nm3_min,dist_F,dist_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_gn_nm3_min,dist_Reducción_tasa_o2_nm3_min,dir_Reducción_tasa_o2_nm3_min,dist_Reducción_tasa_aire_nm3_min,dir_Reducción_tasa_aire_nm3_min,dist_R,dist_total,rendimiento_proxy_batch,recuperacion_refinada_pct,recuperacion_real_pct,f_metal,f_dross,f_polvo,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,feed_dross_Fe_total_t,fecha_inicio_batch,idx_cronologico,recuperacion_refinada_pct_next,recuperacion_refinada_pct_media2,rendimiento_proxy_batch_next,rendimiento_proxy_batch_media2,recuperacion_real_pct_next,recuperacion_real_pct_media2
10,46.12094831981082,43.01422184082658,89.1351701606374,84.58418325044505,60.0,0.23590902917364726,0.2535160386891408,1.527768514328183,1.5500402255018737,-0.04311347601721549,0.010736483939393499,0.005737126963946293,AP0001,False,0,0.4731046928111229,-0.4731046928111229,0.7650174622496709,0.7650174622496709,0.7829063062811533,0.7829063062811533,0.029597497901402318,-0.01588038787573637,0.5126564898108373,0.09221172939473074,-0.05856778419329873,0.2043907236510324,-0.1879341042264453,0.13178779037816774,-0.13178779037816774,0.2228688380164314,0.2228688380164314,0.16281477036009057,0.3377356300854639,79.91765201995008,78.4385053607697,67.62373749669,0.7991765201995008,0.08263694984335675,0.11818652995714247,41.43282990669513,299.99971591319826,49907.386443483614,1199.8433943567873,7.04913158954446e-05,0.008429022004681047,2026-04-21 18:36:00,1,72.14314023686171,75.2908227988157,73.05531072136027,76.48648137065518,67.26438959007012,67.44406354338005
10,0.0,9.669136869120893,9.669136869120893,9.669136869120962,10.0,0.17597065122772865,0.17690885419555677,1.3285824759353686,1.3344410888326683,-0.013339029482076326,0.0031523222297826017,0.0,AP0002,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005992235917581554,-0.005992235917581554,0.06207520483610226,-0.06207520483610226,0.05537652961775659,-0.05537652961775659,0.04304062236747821,0.04304062236747821,0.04162114818472965,0.020810574092364826,73.05531072136027,72.14314023686171,67.26438959007012,0.7305531072136027,0.12935509971758247,0.14009179306881472,41.43282990669513,299.99971591319826,49489.247137855884,1309.4844819802286,3.2638419299333144e-05,0.0025644468226412665,2026-04-22 03:22:00,2,78.14326293566891,75.14320158626532,79.15175258246624,76.10353165191326,74.59717483983012,70.93078221495011
10,0.0,216.46542789125664,216.46542789125664,201.7349663287947,40.0,0.2714605849132924,0.2773699636610011,0.4446627807799474,0.5758926792834846,-0.016479588918518084,0.024254431432192997,0.0,AP0003,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2680956632058588,-0.19302246075411006,0.1087373649690257,-0.09358124133349913,0.10651050292892686,0.10651050292892686,0.09535201405773493,0.08469367495037368,0.14467388629038658,0.07233694314519329,79.15175258246624,78.14326293566891,74.59717483983012,0.7915175258246625,0.07712140760278896,0.13136106657254842,41.432829906695126,299.99971591319826,50071.225995084955,1267.0349252921192,3.2441315410357124e-05,0.034214071363375904,2026-04-22 12:29:00,3,71.85093529025706,74.99709911296299,72.52505027310832,75.83840142778729,71.4049721091537,73.0010734744919
10,0.0,89.42977936019125,89.42977936019125,84.79490431392895,30.0,0.2955400804438977,0.2961833231395395,0.9870170966371064,1.0362557977957423,-0.019887739339985055,0.011350811247721013,0.0,AP0004,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13207515761382327,-0.13207515761382327,0.11979191461797703,-0.04007890698719399,0.07003034545228716,0.05838383884184521,0.03719397472153768,0.03267631578567588,0.08977284810140627,0.04488642405070314,72.52505027310832,71.85093529025706,71.4049721091537,0.7252505027310832,0.12284919932885231,0.1519002979400646,41.43282990669514,299.99971591319826,50407.47014784682,1216.3569351554343,2.62387222673284e-05,0.0022026860074982227,2026-04-22 21:08:00,4,70.15845553393244,71.00469541209475,71.60074551166002,72.06289789238417,66.48723551500777,68.94610381208074
10,16.068947887667633,211.7167527092097,227.78570059687732,227.78570059687758,30.0,0.20692759261316834,0.24230934331258175,1.4929195611167572,1.6426586741190847,0.16325962548195,-0.0022201169917278017,-0.01757854626035127,AP0005,False,3,0.08334204077891226,-0.08334204077891226,0.030066483875024516,-0.030066483875024516,0.01646745736279945,0.01646745736279945,0.0011588710176631929,-0.0011588710176631929,0.03275871325859985,0.17490630994103093,0.021006393789482852,0.40054952948070194,0.33406108140965224,0.11208298841109082,0.11208298841109082,1.0307557113056425,1.0271938481445537,0.4295736347846165,0.2311661740216082,71.60074551166002,70.15845553393244,66.48723551500777,0.7160074551166002,0.12240181182456374,0.16159073305883612,41.43282990669513,299.99971591319826,48723.45759162705,1249.450937337607,0.014676235221650857,3.483878779855645e-21,2026-04-23 05:45:00,5,72.57614671931469,71.36730112662357,73.67015516465584,72.63545033815794,66.61048864864914,66.54886208182845
9,15.501793939777855,80.1085896910859,95.61038363086375,95.61038363086374,44.44444444444444,0.276338672984544,0.2819471124684126,1.3246155233125825,1.3706103735809638,-0.01825492695951586,0.010550045521822203,-0.020186373296437743,AP0006,False,4,0.08081747317416153,-0.08081747317416153,0.1382201976576635,-0.1382201976576635,0.10257554370604653,-0.10257554370604653,0.0030621797283537674,0.0025160784160816667,0.08116884856655633,0.13663314628880444,-0.13663314628880444,0.2050730407511494,-0.0987890305767725,0.19729136061021557,-0.07083137778716075,0.05328830691930277,0.05328830691930277,0.14807146364236803,0.11462015610446219,73.67015516465584,72.57614671931469,66.61048864864914,0.7367015516465584,0.08747735129382754,0.175821097059614,41.43282990669514,299.99971591319826,49795.58125591482,1230.02669141176,1.1348174603105027e-05,0.0010495267869860942,2026-04-23 14:40:00,6,71.86118676988926,72.21866674460198,74.14683229482415,73.90849372974,70.55223508172128,68.58136186518522
8,0.0,111.17091678619916,111.17091678619916,111.17091678619909,12.5,0.18533752143155652,0.19246566008506552,1.5410713364167183,1.5970896244699728,-0.02568072659940429,0.013415273341980099,0.0,AP0007,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095517592702203,-0.5095517592702203,0.047236617468868036,0.047236617468868036,0.10641901555434748,-0.10641901555434748,0.2416793609065895,0.2416793609065895,0.22622168830000636,0.11311084415000318,74.14683229482415,71.86118676988926,70.55223508172128,0.7414683229482415,0.08838031171581676,0.1701513653359418,41.43282990669513,299.99971591319826,49049.84223379435,1210.4768121249883,8.27745483211954e-05,0.007755194640619015,2026-04-23 22:38:00,7,58.92715260043539,65.39416968516232,59.56529046993668,66.85606138238042,56.917572411043004,63.734903746382145
4,0.0,33.437599900654156,33.437599900654156,33.43759990065445,100.0,0.32713282632700513,0.33493277513001246,1.4419465544934267,1.4700934190935584,0.06814889768605448,-0.006568478339231992,,AP0008,False,0,,,,,,,,,,0.20706525303120357,0.006703053390283056,0.1452143779942129,0.1452143779942129,0.10476312890152649,0.08556140132537575,0.14166453655845196,0.1286794909614551,0.14967682412134875,0.14967682412134875,59.56529046993668,58.92715260043539,56.917572411043004,0.5956529046993667,0.21681947670288612,0.18752761859774708,41.80029722790323,299.99971591319826,45648.046639036,1195.196995634653,,0.0017468299636686964,2026-04-24 07:23:00,8,76.67768621035799,67.80241940539669,77.74576970038642,68.65553008516154,65.78759067589957,61.35258154347129
10,17.367574207801212,192.91840733157892,210.28598153938015,181.52205343730088,40.0,0.27159757733242,0.2740897620258161,0.6731663600478242,0.7900263795071545,-0.08669058941100494,0.033423745298905586,0.007592510177131695,AP0009,False,2,0.1723229246719291,-0.1723229246719291,0.23864965029084292,0.19317334364979874,0.26248995398884406,0.25483852011274605,0.08033505122502142,-0.08033505122502142,0.18844939504415936,0.17091389686503197,-0.17091389686503197,0.33247505882647743,-0.33247505882647743,0.12270220985496459,-0.07611514638686027,0.13214109749021266,-0.12202142199436296,0.18955806575917167,0.18900373040166552,77.74576970038642,76.67768621035799,65.78759067589957,0.7774576970038642,0.07465371759361254,0.1478885854025233,42.415478561836736,299.99971591319826,49688.51977121447,1245.9461460727223,0.5889689319920993,26.167411716411905,2026-04-24 15:46:00,9,68.16148386572002,72.419585038039,68.50557650116588,73.12567310077614,68.30094269633042,67.044266686115
10,0.0,0.0,0.0,0.0,0.0,0.12802764088230792,0.12802764088230792,2.1601116117315016,2.1601116117315016,0.0,0.0,0.0,AP0010,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.50557650116588,68.16148386572002,68.30094269633042,0.6850557650116589,0.12254939092734289,0.19239484406099827,42.415478561836736,299.99971591319826,47940.42176779384,1227.4300561958028,0.599878308490001,25.135725653255392,2026-04-24 23:48:00,10,64.46025013766302,66.31086700169152,65.4900480917299,66.99781229644789,62.541515006437095,65.42122885138376
10,77.37980172563064,16.51858825613567,93.89838998176631,93.89838998176612,60.0,0.226809398440673,0.24015059945143752,1.2111130996709758,1.2243551555535372,0.09907003470213943,-0.014093264173986507,-0.0327433148750883,AP0011,False,0,0.550417897566802,-0.550417897566802,0.4510120273443674,0.4510120273443674,0.49572644277261374,0.49572644277261374,0.09724594508806489,-0.04114014011606435,0.398600578192962,0.07623100467769504,-0.010476232368498928,0.2255311328299065,0.2255311328299065,0.060159160069736775,0.060159160069736775,0.11897047747059818,0.11897047747059818,0.12022294376198413,0.2594117609774731,65.4900480917299,64.46025013766302,62.541515006437095,0.654900480917299,0.16972232057438782,0.1753771985083131,42.415478561836736,299.99971591319826,47265.75618924079,1217.5851416267694,0.5845469354728394,25.43614016061114,2026-04-25 08:29:00,11,73.31810988860353,68.88918001313328,74.17638638591971,69.8332172388248,67.11446843772983,64.82799172208345
10,98.74231158584941,230.7734290801393,329.5157406659887,306.04110132879896,90.0,0.30794997702618965,0.3226864599933344,1.2022976216760184,1.350802297035418,0.054791092648440065,0.015388108819533591,-0.06556928786203342,AP0012,False,3,0.852294858777288,-0.852294858777288,0.6309759674621581,0.6309759674621581,0.5401742939653844,0.5212014856803321,0.11500974003332598,-0.055554192948344246,0.5346137150595391,0.3413267035560086,-0.18857922180434342,0.12135505779636575,0.049964296812065254,0.2336058911989255,0.2336058911989255,0.09633287453761996,0.08357603386643951,0.19815513177222993,0.3663844234158845,74.17638638591971,73.31810988860353,67.11446843772983,0.7417638638591971,0.08719618006526553,0.17103995607553726,42.415478561836736,299.99971591319826,49077.048163706095,1185.7754967705264,0.5954572472179075,25.934385787613834,2026-04-25 15:58:00,12,63.40204397910659,68.36007693385505,64.58338515029256,69.37988576810613,66.82905218109707,66.97176030941344
10,127.09395097602584,83.19225007755016,210.28620105357598,206.66758129056132,60.0,0.27074448599601103,0.28367074859661223,0.644840815297206,0.6939815301314585,-0.04317988460207128,0.0151593759337149,-0.030507465241963128,AP0013,False,4,1.0176214569843902,-1.0176214569843902,0.7416841614089628,0.7416841614089628,0.8611901256113287,0.8611901256113287,0.16463725566767382,-0.10473543881321311,0.6962832499180888,0.08799911920899434,-0.08799911920899434,0.19182472620112034,-0.19182472620112034,0.18345907740075723,-0.18345907740075723,0.015073043153780882,0.015073043153780882,0.1195889914911632,0.40793612070462604,64.58338515029256,63.40204397910659,66.82905218109707,0.6458338515029256,0.1667433657228333,0.18742278277424107,42.41547856183673,299.99971591319826,48207.3573521556,1184.6326861353325,0.5966909974090269,24.735687578591122,2026-04-25 23:58:00,13,71.39812729827501,67.4000856386908,72.27735907223597,68.43037211126426,65.23930703730998,66.03417960920353
10,56.89239189201602,62.69572102396012,119.58811291597614,86.58672808499261,60.0,0.30134029716935956,0.308245859273817,1.0071069125428287,1.043821800986337,-0.01307721056922262,0.0081760425308261,-0.04047449830913441,AP0014,False,3,0.5596854615595204,-0.5596854615595204,0.5928601330073794,0.5928601330073794,0.6119512390276461,0.6119512390276461,0.15340752197391389,-0.15340752197391389,0.4794760888921149,0.07694995807577401,-0.07694995807577401,0.03324422403552479,-0.03324422403552479,0.016556127234495184,0.016556127234495184,0.001780931580544301,-0.001780931580544301,0.03213281023158457,0.2558044495618497,72.27735907223597,71.39812729827501,65.23930703730998,0.7227735907223597,0.11257718678359688,0.16464922249404343,42.415478561836736,299.99971591319826,49225.84475281727,1181.1546700934723,0.5985012946595948,24.610046892420687,2026-04-26 08:14:00,14,75.14929565234326,73.27371147530914,76.89084849130701,74.58410378177149,72.91202180378602,69.07566442054801
10,144.42665637160292,146.95895430303824,291.38561067464116,284.84735551924473,70.0,0.3046486450005245,0.31314107787711365,0.9058843360723942,0.9948644378739757,0.024476385629129682,0.0105917432138673,-0.04870244876163804,AP0015,False,4,1.0062890752376417,-1.0062890752376417,0.7315955950286029,0.7315955950286029,1.11830217262462,1.11830217262462,0.07182294276162975,-0.04250001705352813,0.7320024464131236,0.2273344539873784,-0.2273344539873784,0.2702929864831257,0.12039723949677772,0.09142735681770034,0.07613014416176575,0.24876895900185586,0.24876895900185586,0.20945593907251508,0.4707291927428193,76.89084849130701,75.14929565234326,72.91202180378602,0.7689084849130702,0.10379917208483966,0.1272923430020902,42.415478561836736,299.99971591319826,48456.97475661744,1220.8147506373807,0.5948458038544704,25.530496880455836,2026-04-26 16:09:00,15,72.3987505014677,73.77402307690548,73.18325133927344,75.03704991529023,66.78697420687666,69.84949800533134
10,17.230169270162165,204.28570304809477,221.51587231825692,187.2801224320703,60.0,0.27770668793798947,0.27965378556926135,1.1501969423509293,1.2866737895370113,-0.007583404775819619,0.023655213786847512,-0.01224187091020662,AP0016,False,2,0.08889492191930094,-0.08889492191930094,0.0616906137260095,-0.0616906137260095,0.21053160354349787,0.19937000551579853,0.00846651120953581,-0.00846651120953581,0.09239591259958602,0.25776960081865957,-0.06167390660050713,0.21123227290035634,-0.21123227290035634,0.13823898192451436,0.12672421736764797,0.05779478019321667,-0.02779795843572812,0.16625890895918674,0.1293274107793864,73.18325133927344,72.3987505014677,66.78697420687666,0.7318325133927344,0.08946414597431734,0.17870334063294818,35.28891372434783,299.99971591319826,45608.23478190104,1213.967825541538,0.5970903544691247,27.16582313106195,2026-04-27 00:15:00,16,69.0339560550024,70.71635327823506,70.17902842181307,71.68113988054326,76.05963970331315,71.42330695509492
10,59.80046892236051,313.5365150498924,373.33698397225294,348.2300741362957,70.0,0.25223791435050047,0.2565273760324167,1.419685456779214,1.5953232455261968,-0.07119244790768775,0.04053041652786049,-0.028130237521475143,AP0017,False,4,0.5217351826261075,-0.5217351826261075,0.43960979580901904,0.43960979580901904,0.5428212343999008,0.5428212343999008,0.13159389833570584,-0.11431469061906652,0.40894002779268335,0.5303918655777053,-0.4968524492479348,0.212489043620597,-0.1965326603383205,0.1781876740893294,-0.14461847691248808,0.06271957868288408,0.059186987850538095,0.24594704049262894,0.32744353414265615,70.17902842181307,69.0339560550024,76.05963970331315,0.7017902842181307,0.0684778123402213,0.22973190344164787,35.28891372434783,299.99971591319826,43686.61241311744,1178.4788045030607,0.6203817618078514,26.949812532220683,2026-04-27 08:28:00,17,69.61398865040907,69.32397235270574,70.14778707534529,70.16340774857917,71.01005050924203,73.5348451062776
10,35.20722871644068,110.7995288086862,146.0067575251269,125.73872599792787,80.0,0.37404180327764786,0.3768666722426336,0.7856006817149433,0.8524108218288367,-0.04828001010309163,0.018898218426434313,-0.0316175856906763,AP0018,False,4,0.2463222363741878,-0.2463222363741878,0.19445269466299486,0.19445269466299486,0.2910115083868234,0.2910115083868234,0.13551824389797965,-0.11823903618133963,0.21682617083049643,0.08310496140586951,-0.08310496140586951,0.22903300239031485,-0.21451620747446842,0.21951469407105498,-0.10476407621881596,0.13697160834253366,0.1359865402390172,0.16715606655244325,0.19199111869146984,70.14778707534529,69.61398865040907,71.01005050924203,0.701477870753453,0.1386899097774707,0.15983221946907644,35.28891372434783,299.99971591319826,44104.79893395347,1162.8325151548602,0.6366461095576702,27.173553958104428,2026-04-27 16:47:00,18,68.38198798518673,68.9979883177979,68.85542078251675,69.50160392893102,70.74325481605581,70.87665266264892
