split,trazador,con_carbon,n,r2,cal,cal_ic,cal_p,carga,carga_ic,carga_p,carbon,carbon_ic,carbon_p
full_dev,G,False,287,0.988029030372106,0.7032481880328203,"(-0.011097949283288666, 1.4175943253489294)",0.053667040712774075,0.30127827594660544,"(0.22969764221547928, 0.3728589096777316)",1.5924218583957618e-16,,,
full_dev,G,True,287,0.9881838918573954,1.0396932689942853,"(0.48058166296007887, 1.5988048750284918)",0.00026776478538908757,0.34137086695821106,"(0.22955255674415254, 0.4531891771722696)",2.1827615424547754e-09,-0.5648045138059945,"(-1.3300604643270872, 0.20045143671509824)",0.14801731844956936
full_dev,CaO,False,287,0.9853293815889113,0.2559002986377795,"(0.013206793209235124, 0.4985938040663239)",0.03876992936164709,0.0793932902045327,"(0.055235380057422956, 0.10355120035164245)",1.184660107782825e-10,,,
full_dev,CaO,True,287,0.9855648312385422,0.37315422108735624,"(0.18642123203942088, 0.5598872101352916)",8.978581937177894e-05,0.09336589323336346,"(0.05591686615781125, 0.13081492030891567)",1.0265661074690695e-06,-0.19683909323841592,"(-0.45147661852186227, 0.057798432045030435)",0.12975084151885996
tercio1,G,False,87,0.9909559996796191,0.9063609390357479,"(0.418895416529993, 1.3938264615415028)",0.00026819711147875827,0.2817965501216846,"(0.23161940311388635, 0.3319736971294828)",3.527047735579392e-28,,,
tercio1,CaO,False,87,0.9891854677309132,0.3655407819642562,"(0.19341167198055614, 0.5376698919479563)",3.151079846685e-05,0.06905334103267588,"(0.05146585974481993, 0.08664082232053183)",1.4109249088741157e-14,,,
tercio2,G,False,100,0.9862248800048092,0.0015835945777116223,"(-3.704358002899104, 3.7075251920545274)",0.9993317583559858,0.36949582872834086,"(0.0034916968412105343, 0.7354999606154712)",0.04785405892767011,,,
tercio2,CaO,False,100,0.9871219760194354,0.01338639514891482,"(-1.186854886517414, 1.2136276768152436)",0.9825599130139943,0.10409369763216397,"(-0.014593210186272867, 0.2227806054506008)",0.08561881524739856,,,
tercio3,G,False,100,0.9877066111132421,0.47367530214680453,"(-1.319993228795536, 2.267343833089145)",0.6047437231863175,0.32259005799597096,"(0.15054389206925173, 0.4946362239226902)",0.00023787521410729314,,,
tercio3,CaO,False,100,0.9816008116071963,-0.14437991883398976,"(-0.8603541340365903, 0.5715942963686109)",0.692668050557005,0.11627551967489094,"(0.048710706237870716, 0.18384033311191117)",0.0007435509122548805,,,
kfold0,G,False,230,0.9876422612426966,0.6637157760697422,"(-0.2058823051646268, 1.5333138573041112)",0.1346715500955851,0.30385318451001214,"(0.21672799812326776, 0.3909783708967565)",8.17385637105518e-12,,,
kfold1,G,False,228,0.9892321002084499,0.9631290055164006,"(0.44523872290686395, 1.4810192881259372)",0.0002674157269276448,0.2761982546614499,"(0.22505679781605323, 0.3273397115068466)",3.493201538430846e-26,,,
kfold2,G,False,232,0.9875806776677314,0.7419361600148244,"(-0.21695557678249122, 1.70082789681214)",0.12939064268076547,0.29701367305061904,"(0.20163359834915123, 0.39239374775208685)",1.0388084036194208e-09,,,
kfold3,G,False,228,0.9878131651373578,0.4659493507718185,"(-0.3858063405608347, 1.3177050421044716)",0.2836346950161318,0.32575337155624984,"(0.24026420471484466, 0.411242538397655)",8.119321293990035e-14,,,
kfold4,G,False,230,0.9879867889634134,0.6650947032260435,"(-0.12088233853670372, 1.4510717449887907)",0.0972117788983601,0.3051244926693686,"(0.22579540706432455, 0.3844535782744126)",4.7491639460603945e-14,,,
kfold0,G,True,230,0.9878100462474885,1.0128998467961996,"(0.3759702747121759, 1.6498294188802234)",0.0018276215708227421,0.34299908670713986,"(0.20867011660162862, 0.4773280568126511)",5.597145661835666e-07,-0.5662594700902522,"(-1.4422737290957461, 0.30975478891524166)",0.20518055650425815
kfold1,G,True,228,0.989325778844257,1.1972520056987388,"(0.607900792032906, 1.7866032193645716)",6.844801304420395e-05,0.31043716511548036,"(0.24052675306263108, 0.3803475771683297)",3.2259903924671953e-18,-0.44142154377550147,"(-1.0077275283503457, 0.1248844407993428)",0.12657621728040258
kfold2,G,True,232,0.987639217012866,0.932854738083859,"(0.22727468872481882, 1.638434787442899)",0.009561720812172525,0.32405444156842006,"(0.16019693374418784, 0.48791194939265226)",0.0001061255878380405,-0.3535485074494672,"(-1.4036260672966012, 0.6965290523976669)",0.5093203513114901
kfold3,G,True,228,0.9879793825150534,0.870464984242769,"(0.18694246256665747, 1.5539875059188804)",0.012559855845205253,0.3641910391828783,"(0.23834314680486227, 0.4900389315608944)",1.4119188268562643e-08,-0.6046679698795026,"(-1.4914374914061028, 0.2821015516470977)",0.1814006428022219
kfold4,G,True,230,0.988308053900918,1.1659348060648886,"(0.5948838069600355, 1.7369858051697418)",6.288181479998579e-05,0.36040553505697875,"(0.23708267891307333, 0.4837283912008842)",1.0167719224577965e-08,-0.8079372624646746,"(-1.6778912897924079, 0.06201676486305874)",0.06872197111254566
kfold0,CaO,False,230,0.9845247664031381,0.21835862217412655,"(-0.07103802747916299, 0.5077552718274161)",0.13917967028697623,0.08275018850579326,"(0.053904112172057636, 0.11159626483952888)",1.882012886068961e-08,,,
kfold1,CaO,False,228,0.9875932964738245,0.3631726706383649,"(0.19384299599865576, 0.532502345278074)",2.6262666932354073e-05,0.06882061063680082,"(0.05236202620052078, 0.08527919507308088)",2.4960537953501454e-16,,,
kfold2,CaO,False,232,0.9843056766866225,0.23465511851062998,"(-0.0906520136595152, 0.5599622506807751)",0.15742392207083744,0.08133662002083983,"(0.04916593916870242, 0.11350730087297724)",7.220179140474365e-07,,,
kfold3,CaO,False,228,0.9859001374788194,0.19121315533196143,"(-0.09929463523707366, 0.4817209459009965)",0.1970317178203589,0.08612550422136811,"(0.05710469410406043, 0.11514631433867578)",6.005114791912291e-09,,,
kfold4,CaO,False,230,0.9845052264014347,0.26254545731031226,"(-0.011069623043430565, 0.536160537664055)",0.06001683922079383,0.07881796307713462,"(0.051438969795562964, 0.10619695635870628)",1.6779784125256843e-08,,,
kfold0,CaO,True,230,0.9848213574308254,0.34964047160760026,"(0.1419753133816688, 0.5573056298335317)",0.0009670521984406193,0.09746777406887255,"(0.05345708820710514, 0.14147845993063995)",1.4208619323309484e-05,-0.2128951367627081,"(-0.5019221471339435, 0.07613187360852719)",0.14882483642593416
kfold1,CaO,True,228,0.987711103728525,0.43725711127950584,"(0.24799564242691471, 0.6265185801320969)",5.949658188983194e-06,0.07965496064587094,"(0.057704961981031574, 0.1016049593107103)",1.139035353106818e-12,-0.13968071540210786,"(-0.31620980585586356, 0.036848375051647814)",0.12093895003125991
