fase,feature_base,unidad,version,columna,n,media,sd,p5,mediana,p95
Fusión,capacidad_termica_bano_MJ_K,MJ/K,b6,b6_capacidad_termica_bano_MJ_K,2155,33.83082541788993,23.197738781119533,5.614869501620376,31.279654224163586,67.64199972732371
Fusión,capacidad_termica_bano_MJ_K,MJ/K,e6,e6_capacidad_termica_bano_MJ_K,2157,39.49419710840254,22.862330168965965,7.585788162921223,36.3217988508096,76.4769946177943
Fusión,capacidad_termica_bano_MJ_K,MJ/K,b6_vs_e6_corr,b6_capacidad_termica_bano_MJ_K~e6_capacidad_termica_bano_MJ_K,2155,,,0.9376655067677065,0.8463583483373301,
Fusión,dT_teorico_sin_reaccion,K,b6,b6_dT_teorico_sin_reaccion,2080,-159.6676814852815,195.2223647219499,-451.6929224876896,-130.0678417982192,24.76452881600144
Fusión,dT_teorico_sin_reaccion,K,e6,e6_dT_teorico_sin_reaccion,2156,-150.0549485602703,221.28201270532415,-426.7267599608971,-116.95739971168223,21.6735657991485
Fusión,dT_teorico_sin_reaccion,K,b6_vs_e6_corr,b6_dT_teorico_sin_reaccion~e6_dT_teorico_sin_reaccion,2080,,,0.9890271162976592,0.9887245836325864,
Fusión,margen_termico_MJ,MJ,b6,b6_margen_termico_MJ,2172,-45528.14983546833,17946.051273343055,-76757.59405665605,-44916.78660466071,-21325.273886279636
Fusión,margen_termico_MJ,MJ,e6,e6_margen_termico_MJ,2172,-48495.52765015192,19099.135750364094,-82108.52092947389,-47615.36668113239,-21897.640636032243
Fusión,margen_termico_MJ,MJ,b6_vs_e6_corr,b6_margen_termico_MJ~e6_margen_termico_MJ,2172,,,0.9759877530600308,0.9720666600632226,
Reducción,capacidad_termica_bano_MJ_K,MJ/K,b6,b6_capacidad_termica_bano_MJ_K,1436,67.12581751862017,16.225583143075028,54.10128058614055,67.06202517737557,86.16402323817648
Reducción,capacidad_termica_bano_MJ_K,MJ/K,e6,e6_capacidad_termica_bano_MJ_K,1436,76.00755529214983,10.794241453430892,62.641174429281556,72.92394380940871,97.69813550450198
Reducción,capacidad_termica_bano_MJ_K,MJ/K,b6_vs_e6_corr,b6_capacidad_termica_bano_MJ_K~e6_capacidad_termica_bano_MJ_K,1435,,,0.6895494505213363,0.5617554661658236,
Reducción,dT_teorico_sin_reaccion,K,b6,b6_dT_teorico_sin_reaccion,1388,72.89237127657688,42.381346370840255,17.048567401710105,66.48262877705622,151.030718112504
Reducción,dT_teorico_sin_reaccion,K,e6,e6_dT_teorico_sin_reaccion,1436,64.65926638236094,36.551352081943165,15.530252931115239,59.30476600379877,131.0571806449943
Reducción,dT_teorico_sin_reaccion,K,b6_vs_e6_corr,b6_dT_teorico_sin_reaccion~e6_dT_teorico_sin_reaccion,1387,,,0.9869295305727472,0.9820484775931034,
Reducción,margen_termico_MJ,MJ,b6,b6_margen_termico_MJ,1448,-6305.358625337425,13473.067664385264,-36011.52694117961,-334.1630597136807,4832.967127064565
Reducción,margen_termico_MJ,MJ,e6,e6_margen_termico_MJ,1448,-8270.399256136101,15819.2266257959,-43776.706377864466,-726.5800200141941,4229.128861509144
Reducción,margen_termico_MJ,MJ,b6_vs_e6_corr,b6_margen_termico_MJ~e6_margen_termico_MJ,1448,,,0.9478722003964534,0.9694690950654364,
