Batch,fase,orden_escalon_fase,m6_avance_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,real_d_lnirf,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_sn_dep_hist,pred_sn_dep_rec,pred_dT_hist,pred_dT_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,hist_derivada__m6_dosis_C_sn,rec_derivada__m6_dosis_C_sn,hist_derivada__m6_exceso_C_pos,rec_derivada__m6_exceso_C_pos,pred_feo_ret_hist,pred_feo_ret_rec,fold,es_lockbox
AP0300,Fusión,1,0.9023685639977931,7.7087,0.43598823158400113,,-0.0017746491139085663,1017.4705948569814,1036.87310522421,1037.662084626137,0.3087973477288354,0.31177762057264174,-295.7136934568088,-293.6940110004757,2.0196824563331006,0.5904023034931615,0.5782139208001219,7.3225601059781855,8.111539507905356,0.0,0.0,-175.49708471334225,-171.87408795783622,-89.43675375648782,-91.04006805566075,-0.0,-0.0,-30.779854986978755,-30.779854986978755,-0.0,-0.0,35.0,35.0,171.58806287977433,171.58806287977433,46.99937891077113,46.99937891077113,57.02610654477714,57.02610654477714,69.3266402633102,69.3266402633102,100.82389486365848,100.82389486365848,42.31676714861834,42.31676714861834,22.427045299388748,24.328760902215688,31.370890192909844,30.446229679388786,49.28568508572049,47.131986609785876,119.78614873976936,119.8991252971955,18.646260694725935,18.751654447298023,0.12734517609687623,0.1381434914832894,0.119125066592597,0.12922635255348613,0.0,0.0,,,-1,True
AP0300,Fusión,2,0.5950006752520258,24.1352,0.39908153760170423,,0.023496245891436507,1031.2028669224906,1025.564298145075,1025.970875032151,0.43548296959092503,0.43721380595117754,-298.53867520563136,-295.0105113051458,3.528163900485538,0.4501758845327162,0.44412256956914425,8.09370328809376,8.500280175169754,0.0,0.0,-133.81478167734986,-132.0154338044281,-133.94403854130275,-132.21522251373895,-0.0,-0.0,-30.779854986978748,-30.77985498697875,-0.0,-0.0,40.0,40.0,171.6481322249746,171.6481322249746,46.98757234899009,46.98757234899009,59.04759610804125,59.04759610804125,73.57425834841844,73.57425834841844,91.75033218373271,91.75033218373271,40.714751849911075,40.714751849911075,38.18617226205221,37.853731012400914,31.422736443413623,30.93432419611263,49.66102571275499,48.46642863400488,119.54199110243056,120.48370935789306,18.966156844587182,19.23326194472432,0.21799697644648486,0.21609913796262897,0.13556194501965393,0.13438176958603817,0.0,0.0,,,-1,True
AP0300,Fusión,3,0.5686829414909885,25.1584,0.4247115312330586,,0.03496182705655393,1025.5924629240774,1035.963123570472,1036.5428398335348,0.35002978322413175,0.3525655826230487,-314.54391734068315,-305.3253854459239,9.218531894759224,0.4167956537590822,0.403449661086219,4.760256647981311,5.339972911044209,0.0,0.0,-123.89250807988716,-119.92541175787859,-159.87155427381725,-154.62011870106656,-0.0,-0.0,-30.77985498697875,-30.77985498697875,-0.0,-0.0,45.0,45.0,171.4318745046422,171.4318745046422,47.01585083007812,47.01585083007812,58.41604817708333,58.41604817708333,68.31639227383378,68.31639227383378,96.67908422497734,96.67908422497734,39.150152676347375,39.150152676347375,41.71717122395833,40.117568024210186,31.866102008584104,31.23415495508179,51.085958462938855,49.30995879385162,119.92204843026622,120.14754767818944,19.671977157339835,19.326013323346857,0.23876528940623898,0.22961007322744714,0.12172532430689914,0.11705788851154318,0.0,0.0,,,-1,True
AP0300,Fusión,4,0.6027716794398459,23.688,0.45530579254767206,,0.09114198786706162,1026.178331510656,1021.3308317177665,1021.3308317177665,0.40432821877840003,0.40432821877840003,-324.93801238822704,-324.93801238822704,0.0,0.3707656174359987,0.3707656174359987,-4.261631206310857,-4.261631206310857,0.0,0.0,-110.2100797828506,-110.2100797828506,-183.94807761839766,-183.94807761839766,-0.0,-0.0,-30.779854986978755,-30.779854986978755,-0.0,-0.0,50.0,50.0,171.5265660105188,171.5265660105188,47.00796887765524,47.00796887765524,58.160406494140595,58.160406494140595,61.71154641544119,61.71154641544119,93.75269480187907,93.75269480187907,39.18221228107129,39.18221228107129,44.62038997076696,44.62038997076696,31.422423556857645,31.422423556857645,50.52693471238765,50.52693471238765,119.68884176974827,119.68884176974827,20.39426454030209,20.39426454030209,0.2606277797450876,0.2606277797450876,0.11965358766385785,0.11965358766385785,0.0,0.0,,,-1,True
AP0300,Fusión,5,0.6516598153109021,21.3141,0.25339955633218064,,0.011570295127613761,1026.8515239043306,1024.8226296955108,1024.8425373748269,0.43598000142935456,0.4367520381894077,-392.3490944834839,-351.4223055854696,40.92678889801431,0.45048450432581516,0.4133704204055756,-1.3557018151451539,-1.335794135829314,0.0,0.0,-133.90651891084855,-122.87435746555734,-227.6627205856566,-197.76809313293347,-0.0,-0.0,-30.77985498697875,-30.779854986978755,-0.0,-0.0,55.0,55.0,171.34261358351938,171.34261358351938,46.97340356735956,46.97340356735956,58.37967899867473,58.37967899867473,68.27450772240049,68.27450772240049,91.97047544206893,91.97047544206893,39.12431110200428,39.12431110200428,53.274930463518416,43.19293470253659,32.10600744998817,31.027546724626976,51.23954457909171,50.53103746422419,120.70286275844381,121.04892762647046,19.272297992307873,22.39335732834369,0.30804972874269987,0.24975296453608564,0.13731986999919857,0.1113328187691919,0.0,0.0,,,-1,True
AP0300,Fusión,6,0.6189377104434768,22.591,0.34403339698360813,,0.005159420824601302,1017.8071635685875,1030.1220161380345,1030.927402689461,0.2781839643211808,0.3000836457216474,-492.60889402907696,-456.10227451909793,36.50661950997903,0.8755416272691492,0.8369036274700135,3.2704922337037785,4.075878785130377,0.0,0.0,-260.25474870575454,-248.76960326546146,-201.57429033634367,-176.5528162666577,-0.0,-0.0,-30.779854986978744,-30.779854986978744,-0.0,-0.0,47.0,47.0,171.60603931583958,171.60603931583958,39.591935019521735,39.591935019521735,57.528110637635955,57.528110637635955,64.90307779876201,64.90307779876201,110.22383064767715,110.22383064767715,33.45759132892584,33.45759132892584,56.270447616312396,47.05122805458944,32.10701983534973,30.699725116885233,51.20817121311999,48.288974305455994,119.65717284499229,120.74724152332338,18.877706342776907,19.945528412643252,0.32351438577343256,0.27051053952436527,0.10691517183952547,0.08939843818229781,0.0,0.0,,,-1,True
AP0300,Reducción,0,0.654281680244932,21.1968,0.9646196026320748,-0.0990012932777466,-0.0019831220173041064,989.2195439261479,1008.6483831174708,1009.4318434306139,0.2921081705395872,0.29460894119848957,123.66025088109495,129.0556318226088,5.395380941513849,1.7016450381812551,1.740772903961887,-9.158780451116746,-8.375320137973677,2522.965286422415,2580.978705720391,-1639.0031407631914,-1686.0418530836155,-128.6332033849833,-134.2125294210215,-0.0,-0.0,-631.6686913931453,-631.6686913931454,-0.0,-0.0,30.0,30.0,,,,,,,17.315701307082787,17.315701307082787,41.65549201438194,41.65549201438194,,,62.9648419123824,66.2093830330141,27.554672828956882,28.394883252419948,31.28911656782835,31.14353314774124,121.10991988570602,119.52379285047857,2.9266435060298033,-0.9618579052470692,2.9620795939262887,3.1147138061816193,0.10052882129778208,0.10570901209319719,0.0,0.0,-0.18151820564593815,-0.18672770308004497,-1,True
AP0300,Reducción,1,0.8640942470652935,10.2621,1.4884489221277748,-0.20174300632343356,-0.1311398332788829,971.3269080382461,978.2153184514734,978.2153184514734,0.14019389527464782,0.14019389527464782,196.94702121844,196.94702121844,0.0,1.3726264028360289,1.3726264028360289,-11.004225474674532,-11.004225474674532,2035.1416939948735,2035.1416939948735,-1144.50893305453,-1144.50893305453,-62.01704832875831,-62.01704832875831,-0.0,-0.0,-631.6686913931453,-631.6686913931453,-0.0,-0.0,25.0,25.0,,,,,,,0.007091059865669229,0.007091059865669229,0.036841786333469136,0.036841786333469136,,,32.39840025290465,32.39840025290465,20.380081386990017,20.380081386990017,24.935947889539936,24.935947889539936,125.1510576171875,125.1510576171875,25.656195911575242,25.656195911575242,,,0.11161313626267279,0.11161313626267279,0.0,0.0,-0.12675339217292061,-0.12675339217292061,-1,True
AP0300,Reducción,2,0.9693215704655291,2.6968,0.2904330330718982,-0.02250758008627621,0.0004994228708818937,952.8401781003836,965.1534295514844,965.1534295514844,0.23540271636109458,0.23540271636109458,-262.32444340927486,-262.32444340927486,0.0,0.18442402712426284,0.18442402712426284,-6.1734784867617165,-6.1734784867617165,273.43858911612733,273.43858911612733,117.8642499860316,117.8642499860316,-21.958591118288517,-21.958591118288517,-0.0,-0.0,-631.6686913931453,-631.6686913931453,-0.0,-0.0,20.0,20.0,,,,,,,1.0419830983097304e-25,1.0419830983097304e-25,2.3451857290018502e-22,2.3451857290018502e-22,,,10.781295376732235,10.781295376732235,13.150246344672308,13.150246344672308,16.435739673764477,16.435739673764477,124.0097675238715,124.0097675238715,61.509487124501476,61.509487124501476,,,0.13163695574071707,0.13163695574071707,0.0,0.0,0.013053365570310334,0.013053365570310334,-1,True
AP0300,Reducción,3,0.9770543871979211,2.059,0.11277385377725752,-0.07385332956769536,-0.06558119185980527,953.2547334986461,954.3690499796653,954.5851098095301,0.38787013220441185,0.4269536986160687,-583.5312135121906,-541.9886441959856,41.542569316205004,0.2650407567015438,0.23548681923384956,1.5288718792816711,1.744931709146507,392.9659909330027,349.14747612230747,-332.60906355285715,-250.2301583041914,-12.219449499190802,-9.237270620956352,-0.0,-0.0,-631.6686913931453,-631.6686913931453,-0.0,-0.0,13.0,13.0,,,,,,,1.0419830987949414e-25,1.0419830987949414e-25,3.369192531880002e-22,3.369192531880002e-22,,,5.774434502718522,3.294660545117927,17.33236644280408,14.996338153541869,13.126493536385931,9.593610667295152,120.50164135928132,120.72947225501485,10.867256207218162,16.517777483546734,,,0.0612721563687194,0.034959432998552135,0.0,0.0,-0.0368361712654055,-0.027712777482980126,-1,True
