dist,kpi,n_pares,dif_media_pp,ci_lo,ci_hi,p_pareado,smd_medio_post,dist_media_cerca,dist_media_lejos,subset,sistema
dist_total,recuperacion_refinada_pct,99,-1.2035304946420478,-2.319173123679885,-0.12405775716108476,0.03454337802628442,0.05370310216293875,0.13276521689308787,0.406138007474544,DEV,v6
dist_total,rendimiento_proxy_batch,99,-1.4280450153280861,-2.533991244656395,-0.23713854936863418,0.015563039179401095,0.05370310216293875,0.13276521689308787,0.406138007474544,DEV,v6
dist_total,recuperacion_refinada_pct_next,99,0.04613197962700919,-1.0862712847737896,1.1145744141710838,0.9381633891811101,0.05370310216293875,0.13276521689308787,0.406138007474544,DEV,v6
dist_total,recuperacion_refinada_pct_media2,99,-0.5786992575075199,-1.3560271805235284,0.23104329455394199,0.17644011695657108,0.05370310216293875,0.13276521689308787,0.406138007474544,DEV,v6
dist_R,recuperacion_refinada_pct,99,0.7233149006584934,-0.3670189147203647,1.8773911195844484,0.21740016192502398,0.034885625071571905,0.098274415695654,0.4433957257037073,DEV,v6
dist_R,rendimiento_proxy_batch,99,0.620477974566564,-0.6029522420092515,1.743216365796603,0.3029029266046185,0.034885625071571905,0.098274415695654,0.4433957257037073,DEV,v6
dist_R,recuperacion_refinada_pct_next,99,1.5345881278951274,0.4228577077247258,2.722455917002235,0.012155762924315175,0.034885625071571905,0.098274415695654,0.4433957257037073,DEV,v6
dist_R,recuperacion_refinada_pct_media2,99,1.1289515142768092,0.3152949532510593,1.9616099043238857,0.0097956458960232,0.034885625071571905,0.098274415695654,0.4433957257037073,DEV,v6
dist_F,recuperacion_refinada_pct,99,0.2734751403950622,-0.9595468018245552,1.4500478426081411,0.6469315485746199,0.03737770799215598,0.10772250322600183,0.4693573069661002,DEV,v6
dist_F,rendimiento_proxy_batch,99,0.2622630810771164,-0.9009768989537031,1.4430753869165,0.6691525798746322,0.03737770799215598,0.10772250322600183,0.4693573069661002,DEV,v6
dist_F,recuperacion_refinada_pct_next,99,0.9207272940814482,-0.2611794888493066,2.1798541083867806,0.14992572953846625,0.03737770799215598,0.10772250322600183,0.4693573069661002,DEV,v6
dist_F,recuperacion_refinada_pct_media2,99,0.5971012172382546,-0.2577655375059664,1.4140635219226874,0.1529828572589155,0.03737770799215598,0.10772250322600183,0.4693573069661002,DEV,v6
dist_total,recuperacion_refinada_pct,21,-0.9841517448265927,-3.2558396286966897,1.0462007830325875,0.38609717995021187,0.11874055524151805,0.25118923831691786,0.4956727749358799,LOCKBOX,v6
dist_total,rendimiento_proxy_batch,21,-0.5637913494630176,-2.2478102721361606,1.3187567664976108,0.560825685964087,0.11874055524151805,0.25118923831691786,0.4956727749358799,LOCKBOX,v6
dist_total,recuperacion_refinada_pct_next,21,2.8024112810757327,0.15369494127157945,5.215762293210262,0.04654627048286017,0.1199376893070739,0.25206120007026334,0.4956727749358799,LOCKBOX,v6
dist_total,recuperacion_refinada_pct_media2,21,1.5399451101002923,0.20077842949409755,2.978004032467205,0.04258561394408397,0.1199376893070739,0.25206120007026334,0.4956727749358799,LOCKBOX,v6
dist_R,recuperacion_refinada_pct,21,-2.8209223655307154,-5.6947257709605354,-0.2848151991962945,0.054232683841116285,0.12887962812773604,0.14764077425487143,0.4657112234237467,LOCKBOX,v6
dist_R,rendimiento_proxy_batch,21,-2.199991881090111,-4.697050125701374,0.3032536229877132,0.10778800369089107,0.12887962812773604,0.14764077425487143,0.4657112234237467,LOCKBOX,v6
dist_R,recuperacion_refinada_pct_next,21,3.50326078393228,1.3935583419510353,6.055225619889781,0.011695150175019434,0.1111267216154982,0.1491216884496389,0.4657112234237467,LOCKBOX,v6
dist_R,recuperacion_refinada_pct_media2,21,0.515579008185625,-1.0066220997898119,2.058831529525303,0.5442714217808982,0.1111267216154982,0.1491216884496389,0.4657112234237467,LOCKBOX,v6
dist_F,recuperacion_refinada_pct,21,-0.05076613878518273,-1.6373401341357163,1.5544188512180175,0.9525008479194059,0.11997684749015447,0.2666033027031536,0.62524674546371,LOCKBOX,v6
dist_F,rendimiento_proxy_batch,21,-0.07288851946440407,-1.7045646822601344,1.536506818639649,0.9329184828028241,0.11997684749015447,0.2666033027031536,0.62524674546371,LOCKBOX,v6
