target,orden,carbon,pd_media,n
m6_ln_sn_dep,0,4.8951940594297465,1.5664431412901179,296
m6_ln_sn_dep,0,9.19997548462775,1.6167139861957396,296
m6_ln_sn_dep,0,13.504756909825751,1.6306141283002185,296
m6_ln_sn_dep,0,17.809538335023753,1.642038049275744,296
m6_ln_sn_dep,0,22.114319760221754,1.642038049275744,296
m6_ln_sn_dep,0,26.419101185419755,1.6446146913459063,296
m6_ln_sn_dep,0,30.723882610617764,1.646050289688918,296
m6_ln_sn_dep,0,35.028664035815765,1.646050289688918,296
m6_ln_sn_dep,0,39.33344546101377,1.648844820566011,296
m6_ln_sn_dep,0,43.63822688621177,1.6494055889989812,296
m6_ln_sn_dep,0,47.94300831140977,1.6494055889989812,296
m6_ln_sn_dep,0,52.24778973660777,1.6494055889989812,296
m6_ln_sn_dep,0,56.55257116180578,1.6494055889989812,296
m6_ln_sn_dep,0,60.85735258700378,1.6912736123050933,296
m6_ln_sn_dep,0,65.16213401220178,1.7301246899214118,296
m6_ln_sn_dep,1,4.8951940594297465,0.5101234846411546,294
m6_ln_sn_dep,1,9.19997548462775,0.5609283774641427,294
m6_ln_sn_dep,1,13.504756909825751,0.5792645008578928,294
m6_ln_sn_dep,1,17.809538335023753,0.5844929643235487,294
m6_ln_sn_dep,1,22.114319760221754,0.5828874525684034,294
m6_ln_sn_dep,1,26.419101185419755,0.5872925263797566,294
m6_ln_sn_dep,1,30.723882610617764,0.5942044031832547,294
m6_ln_sn_dep,1,35.028664035815765,0.5942044031832547,294
m6_ln_sn_dep,1,39.33344546101377,0.595432381388588,294
m6_ln_sn_dep,1,43.63822688621177,0.5969464481004174,294
m6_ln_sn_dep,1,47.94300831140977,0.5969464481004174,294
m6_ln_sn_dep,1,52.24778973660777,0.5969464481004174,294
m6_ln_sn_dep,1,56.55257116180578,0.5969464481004174,294
m6_ln_sn_dep,1,60.85735258700378,0.5866528710895687,294
m6_ln_sn_dep,1,65.16213401220178,0.6077112927028713,294
m6_ln_sn_dep,2,4.8951940594297465,0.3293063050286258,290
m6_ln_sn_dep,2,9.19997548462775,0.36821287696653315,290
m6_ln_sn_dep,2,13.504756909825751,0.41606690143832903,290
m6_ln_sn_dep,2,17.809538335023753,0.4238728070609138,290
m6_ln_sn_dep,2,22.114319760221754,0.4139149302215769,290
m6_ln_sn_dep,2,26.419101185419755,0.41359502867536535,290
m6_ln_sn_dep,2,30.723882610617764,0.41527396849914106,290
