Batch,fold,orden_escalon_fase,d_sn_dep_opt,d_feo_ret_opt,d_sn_dep_cruzado,d_feo_ret_cruzado,d_sn_dep_hgb,d_feo_ret_hgb
AP0033,0,0,0.008990462921747877,-0.0013719794647333028,-0.046351078689234715,-0.0014176444161037027,0.0024521645923447632,0.006052705084580667
AP0033,0,1,0.026430231873175503,-0.004033355756400486,0.026590352288094588,-0.005678518546455846,-0.005470291856621068,-0.005718326351353678
AP0033,0,2,0.0414551431918046,-0.006326215419803702,0.056756056608662474,-0.01220770298563323,0.014935289895378782,-0.0225128217366213
AP0033,0,3,0.022775368404067964,-0.0034756094345854,0.03258011173761696,-0.007283610779605182,0.11224947163859944,0.016919548824571855
AP0059,0,0,0.006331851389439924,-0.0009662650472692103,-0.007380108270709451,-0.0013413403840014382,-0.0025087663934055815,-0.006737284587686715
AP0059,0,3,0.010775702538915966,-0.001644413945104506,0.015180370524287445,-0.0032591267819702813,-0.029418125402716933,0.0194799524446514
AP0061,0,2,0.03634132227468023,-0.005545826540422898,0.043523260426571564,-0.00927334146542471,0.026495078272356032,0.005370105215868171
AP0061,0,3,0.0323271076167479,-0.004933241835313601,0.043410216726796846,-0.00928411520335054,-0.04031368322529316,0.00119978604369253
AP0072,0,1,0.013215115936587751,-0.0020166778782002015,0.013788006248566909,-0.0032241045858900502,-0.03662180638733803,0.00372807900304091
AP0089,0,3,0.01077570253891591,-0.001644413945104603,0.01352161130614199,-0.0027509483832577203,0.002688234822712604,-0.010052532357812491
AP0097,0,1,0.013215115936587862,-0.0020166778782002848,0.014037983210904326,-0.003289627852181648,0.01639678660325461,-0.004349193494058684
AP0097,0,2,0.027636762127869807,-0.004217476946535799,0.03342659963940192,-0.006913899149785303,-0.08195475259610224,0.008779169115718657
AP0127,0,0,0.003254005830122253,-0.0004965738934588904,-0.022115022986216593,-0.00037459722322460975,0.0460131098876404,-0.00560646392592562
AP0134,0,0,0.014935990284312028,-0.002279289969147502,0.012530509730005912,-0.003561115618403582,-0.05149282215918882,0.0010825442209135838
AP0134,0,2,0.01381838106393482,-0.002108738473267896,0.016145040711964154,-0.0031611644525989455,0.0630791174011377,-0.011089655433625743
AP0143,0,2,0.013818381063934904,-0.002108738473267896,0.015539882024965368,-0.003211642556561818,-0.09015418834007338,-0.004634831016239634
AP0148,0,2,0.041455143191804544,-0.006326215419803702,0.06468373356595908,-0.01523105164777333,0.10141224170482299,-0.00865664986687048
AP0149,0,3,0.0129644383708295,-0.0019784235107128956,0.01853352397785807,-0.0042642661461354744,0.04852855888443863,0.022897595774255194
AP0150,0,0,0.0053592942804723265,-0.0008178490654228987,0.004561416776186045,-0.001308383651789452,0.00034427110083457,-0.0025150787840735878
AP0150,0,1,0.013215115936587862,-0.0020166778782002015,0.012181879286161434,-0.0031973667116229204,-0.0010266805027057124,0.0005467183717389329
AP0150,0,3,0.02155140507783193,-0.003288827890209012,0.030760896784560288,-0.006654619272484785,0.012057647458677934,0.002502521616019368
AP0152,0,1,0.013215115936587751,-0.0020166778782002015,0.011578779235484782,-0.0029404323826908024,-0.0014075723878212987,0.0
AP0152,0,3,0.0323271076167479,-0.00493324183531349,0.04766616627284087,-0.01070730401600882,0.045114974994519386,0.01796307587327775
AP0157,0,0,0.014790295530471953,-0.0022570563853901993,0.012219705498176081,-0.0035256029383231025,-0.027058970570655427,-0.006790426108796571
AP0157,0,1,0.02643023187317539,-0.0040333557564005,0.035925842178327116,-0.007148818909532038,0.01348528280439587,-0.0032006914904063183
AP0157,0,3,0.0018351548578751098,-0.0002800517394404012,0.0009753598798770691,1.883021470622248e-05,0.04180713170136463,-0.004759012766421489
AP0159,0,0,0.035580031694600445,-0.005429650649186074,0.00720715904745628,-0.007907992278271908,-0.03993345628827849,-0.006459791491160383
AP0159,0,1,0.03964534780976314,-0.006050033634600702,0.04878632347067957,-0.01327514942766983,0.06419613547388514,-0.0005648228109004227
AP0178,0,2,0.013818381063934904,-0.002108738473267896,0.02085803968607397,-0.004473499429531222,0.03208312719937617,0.00016857277516112157
AP0178,0,3,0.010775702538916021,-0.001644413945104492,0.01423784990270105,-0.0028954312087019485,0.05761843368110431,0.02006043127687132
AP0180,0,0,0.0063312880450787645,-0.0009661790787375835,-0.0519480746185359,-0.0009001157951075422,0.09998011792780392,-0.001071064884001216
