fase,Batch,orden,avance_prev,q_avance,caja,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,sn_dep_sd_rep,pred_feo_ret,feo_ret_lo,feo_ret_hi,feo_ret_sd_rep,pred_dT,dT_lo,dT_hi,dT_sd_rep,pred_temperatura,mae_dT,support_score,derivada__exceso_o2_combustion_pct,derivada__m8_dosis,derivada__m8_exceso_C_pos,derivada__Cx_sn_v6,derivada__Cx_sn_F6,sn_disp,feo_inv_prev,J_costo,J_soporte,admisible_T,J_sn,J_feo,J_incertidumbre,J,hist
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,48.902713588937004,1.8651248001428165,1.8028321154359253,1.9380858240751295,0.03299536892060394,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-15.319831388437265,-17.302160113785856,-13.555001753539484,0.8706406138121014,1116.1512898013157,9.424418909990605,0.38873754693562473,-5.880405961177203,0.10368459972627767,0.0,672.980649592938,672.980649592938,14149.463001652455,13519.841896415783,-104.8204775523237,-179.12416978959556,True,2658.292435463551,-2041.5290751321609,-23.548284842819413,309.27042814665157,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,49.622797765276694,1.8704921424466614,1.8118251263898821,1.9391880538759299,0.031051300127073293,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-15.21676860791247,-17.102091486927126,-13.539166451351807,0.8246129261993285,1116.2543525818405,9.424418909990605,0.3945842097448,-5.880405961177203,0.10521133789914457,0.0,682.8901756946615,682.8901756946615,14149.463001652455,13519.841896415783,-105.90060381683323,-167.43084417124498,True,2665.9423071738847,-2041.5290751321609,-22.165053028694153,328.91673102495145,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,50.34288194161638,1.8758594847505066,1.8208181373438392,1.9402902836767306,0.02910740505466413,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-15.113705827387676,-16.902022860068396,-13.523399565761054,0.7786863495173477,1116.3574153623651,9.424418909990605,0.4001555147611671,-5.880405961177203,0.10673807607201147,0.0,692.799701796385,692.799701796385,14149.463001652455,13519.841896415783,-106.98073008134277,-156.28823413851077,True,2673.592178884219,-2041.5290751321609,-20.78223418740641,348.0119053447979,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,51.06296611795607,1.8812268270543515,1.8298111482977961,1.941392513477531,0.027163720998988183,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-15.010643046862883,-16.701954233209662,-13.50822688850331,0.7328798926345393,1116.46047814289,9.424418909990605,0.40542843898197567,-5.880405961177203,0.10826481424487837,0.0,702.7092278981085,702.7092278981085,14149.463001652455,13519.841896415783,-108.06085634585229,-145.74238569689368,True,2681.242050594553,-2041.5290751321609,-19.399916628807926,366.5098167908382,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,51.78305029429576,1.8865941693581965,1.8388041592517532,1.9424947432783317,0.025220296748161706,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-14.907580266338089,-16.50188560635093,-13.509930591651914,0.6872175757102712,1116.5635409234148,9.424418909990605,0.4103804006435419,-5.880405961177203,0.10979155241774527,0.0,712.6187539998319,712.6187539998319,14149.463001652455,13519.841896415783,-109.14098261036183,-135.8384623737612,True,2688.8919223048865,-2041.5290751321609,-18.01821572515735,384.3651864634453,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,52.50313447063545,1.8919615116620414,1.8478472476032637,1.9435969730791323,0.02327719737596599,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-14.804517485813296,-16.301816979492198,-13.526596190385128,0.6417301683230406,1116.6666037039397,9.424418909990605,0.4149893878198746,-5.880405961177203,0.11131829059061217,0.0,722.5282801015555,722.5282801015555,14149.463001652455,13519.841896415783,-110.22110887487136,-126.62048802109582,True,2696.5417940152206,-2041.5290751321609,-16.63728511389495,401.5338368731977,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,53.22321864697514,1.8973288539658864,1.8568969699140985,1.9446992028799328,0.0213345116502324,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-14.701454705288501,-16.101748352633468,-13.543261789118342,0.596457688977568,1116.7696664844643,9.424418909990605,0.41923408934842465,-5.880405961177203,0.11284502876347907,0.0,732.4378062032789,732.4378062032789,14149.463001652455,13519.841896415783,-111.30123513938089,-118.13108496399572,True,2704.1916657255542,-2041.5290751321609,-15.257333952328286,417.9729365376885,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,53.94330282331482,1.9026961962697313,1.8659466922249333,1.9458014326807334,0.019392363886024937,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-14.598391924763709,-15.901679725774736,-13.559927387851555,0.5514530748656065,1116.8727292649892,9.424418909990605,0.4233735759744347,-5.880405961177203,0.11437176693634594,0.0,742.3473323050024,742.3473323050024,14149.463001652455,13519.841896415783,-112.38136140389042,-109.85211171197562,True,2711.841537435888,-2041.5290751321609,-13.878654402852687,434.20033478500824,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,54.66338699965451,1.9080635385735762,1.8749964145357678,1.9469036624815337,0.017450933696567243,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-14.495329144238916,-15.701611098916004,-13.571939330323362,0.5067876932707915,1116.975792045514,9.424418909990605,0.4274682652896814,-5.880405961177203,0.11589850510921285,0.0,752.2568584067259,752.2568584067259,14149.463001652455,13519.841896415783,-113.46148766839995,-101.66273308148222,True,2719.491409146222,-2041.5290751321609,-12.50166717137718,450.3364460928017,66.13052374726982
Reducción,AP0063,0,0.7188807101543035,0.25,False,tasa_feed_Carbon_kg_min,55.3834711759942,1.9134308808774212,1.8840461368466026,1.9480058922823345,0.015510490538208235,-0.2415494302831569,-0.24212172782990446,-0.24095265658120468,0.0003026329504380067,-14.392266363714121,-15.501542472057272,-13.551142833814946,0.46255982484047964,1117.0788548260389,9.424418909990605,0.4319817009078474,-5.880405961177203,0.11742524328207976,0.0,762.1663845084494,762.1663845084494,14149.463001652455,13519.841896415783,-114.5416139329095,-92.63586184515027,True,2727.1412808565556,-2041.5290751321609,-11.12700055823994,467.30772938809497,66.13052374726982
