clave,palanca,quintil_residuo,x_medio,y_res_medio,ic_lo,ic_hi,n
sn_dep,Cx_sn_v6,0,-59.72920856714582,-0.05360784618167558,-0.08402901118058657,-0.022643221354820723,217
sn_dep,Cx_sn_v6,1,-6.831801749679239,-0.01250284376856067,-0.047495362534488966,0.02701922409862233,216
sn_dep,Cx_sn_v6,2,-0.9316153026271984,-0.010924946298444422,-0.03985510176179064,0.017757076179209054,217
sn_dep,Cx_sn_v6,3,8.254697479654725,0.048320023911853686,0.016599800138553375,0.07753118771267753,216
sn_dep,Cx_sn_v6,4,59.99504637973871,0.015426878327416287,-0.021206320075236675,0.04675670640390564,217
sn_dep,tasa_gn_nm3_min,0,-4.035069028986605,-0.046500784425373476,-0.07606544886053054,-0.016976427286333355,217
sn_dep,tasa_gn_nm3_min,1,-0.927106693544976,-0.04797918007277597,-0.08148402128833322,-0.017381773649506473,216
sn_dep,tasa_gn_nm3_min,2,0.2111518503118713,-0.0020144309571086187,-0.03095869680375711,0.030939221967056493,217
sn_dep,tasa_gn_nm3_min,3,1.3188874305197498,0.04921460770982881,0.019985396319159646,0.08499996287540644,216
sn_dep,tasa_gn_nm3_min,4,3.537702600789606,0.034610828027406566,0.0084720821646353,0.06603162996533544,217
sn_dep,exceso_o2_combustion_pct,0,-9.954000082599963,0.001543155001578493,-0.02551216592154929,0.03428161268341985,217
sn_dep,exceso_o2_combustion_pct,1,-3.7092317927714538,0.02054761873593748,-0.01009055148395087,0.0495769057149339,216
sn_dep,exceso_o2_combustion_pct,2,-1.3312509601410858,-0.010986648581296563,-0.04152382865217153,0.01938690091500181,217
sn_dep,exceso_o2_combustion_pct,3,0.42561413280155236,0.0012842700018658624,-0.03126186786829234,0.03225833812500225,216
sn_dep,exceso_o2_combustion_pct,4,14.165775522237302,-0.02601435187289456,-0.05479059227222191,0.002721920995114981,217
sn_dep,tasa_aire_nm3_min,0,-10.717317621032612,-0.012134718606251564,-0.041849006106058635,0.020803129443759245,217
sn_dep,tasa_aire_nm3_min,1,-0.9065205562133679,-0.0017296218380411941,-0.04053143719391416,0.04067682751283945,216
sn_dep,tasa_aire_nm3_min,2,0.7817830919448677,-0.015975072354294975,-0.048735043512418516,0.015985256248879497,217
sn_dep,tasa_aire_nm3_min,3,2.978514159459317,0.0184185313716192,-0.015081446924977301,0.04744565231382293,216
sn_dep,tasa_aire_nm3_min,4,7.458951540608874,-0.0026139490041591734,-0.03210655773174994,0.025398911269502878,217
feo_ret,m8_exceso_C_pos,0,-165.7289146280404,-0.001050807508164647,-0.008056634681883494,0.005587093957389245,217
feo_ret,m8_exceso_C_pos,1,-41.58576096259679,-0.003302196022978823,-0.010007290545565612,0.0035606816562145805,216
feo_ret,m8_exceso_C_pos,2,-9.167522010571087,0.0009468617897776122,-0.004702750612078584,0.007113542976549296,217
feo_ret,m8_exceso_C_pos,3,17.420958655936833,0.002110853767833192,-0.0046892208052325595,0.007367989058637022,216
feo_ret,m8_exceso_C_pos,4,203.70797082482184,0.0034310756893662846,-0.002139283147507301,0.008761986739578552,217
feo_ret,Cx_av_v6,0,-8.791994876986152,0.0057171357718435395,-0.0008330230790475333,0.011688043374195779,217
feo_ret,Cx_av_v6,1,-2.5198660708855463,-3.142523863819053e-06,-0.0053205434389769,0.004789874603972053,216
feo_ret,Cx_av_v6,2,-0.026573379218053347,-0.0052773088502316165,-0.010987918190176842,0.0011370026134436683,217
feo_ret,Cx_av_v6,3,2.5889604627349394,-0.003031502072981227,-0.00928609937993028,0.003627181111358059,216
feo_ret,Cx_av_v6,4,8.792889147669719,0.0046457496995665455,-0.001209348523098002,0.010201400261340894,217
feo_ret,tasa_gn_nm3_min,0,-4.035069028986605,0.01401995175116389,0.00839407421971812,0.018917281597390864,217
feo_ret,tasa_gn_nm3_min,1,-0.927106693544976,0.00462968934321595,-0.0014063049221443758,0.010654473183966728,216
feo_ret,tasa_gn_nm3_min,2,0.2111518503118713,-0.005235355941691807,-0.010724418473581023,-0.00024077913865932384,217
feo_ret,tasa_gn_nm3_min,3,1.3188874305197498,-0.0012393830540330456,-0.007849714706703611,0.004518710278916691,216
feo_ret,tasa_gn_nm3_min,4,3.537702600789606,-0.010336687863243954,-0.016828136596685476,-0.0036786997249405083,217
feo_ret,exceso_o2_combustion_pct,0,-9.954000082599963,-0.004427789430569239,-0.010063987527080109,0.0010278262989671955,217
feo_ret,exceso_o2_combustion_pct,1,-3.7092317927714538,0.0019684766391762244,-0.004692505125979044,0.007258123433450886,216
feo_ret,exceso_o2_combustion_pct,2,-1.3312509601410858,-0.0011558869768382976,-0.007175123070801445,0.004809709954954708,217
feo_ret,exceso_o2_combustion_pct,3,0.42561413280155236,-0.0033328719192639955,-0.007939049690958815,0.002083778829289117,216
feo_ret,exceso_o2_combustion_pct,4,14.165775522237302,0.008932029607330133,0.004079122916387411,0.014934384511954633,217
feo_ret,tasa_aire_nm3_min,0,-10.717317621032612,-0.004281896190473516,-0.009711660769288184,0.0016616646808141023,217
feo_ret,tasa_aire_nm3_min,1,-0.9065205562133679,0.0021445754731170157,-0.004824813037835039,0.008223315045138598,216
feo_ret,tasa_aire_nm3_min,2,0.7817830919448677,-0.0029442131836777234,-0.010232601712221281,0.0033320561999069013,217
feo_ret,tasa_aire_nm3_min,3,2.978514159459317,0.001209112506916922,-0.004161626382150974,0.008447992056432166,216
feo_ret,tasa_aire_nm3_min,4,7.458951540608874,0.00584569498537299,0.00018081452704526104,0.012147991299078283,217
