target,sum_col,n_batches_dev_hgb,var_total_dev,sigma_ensayo,var_ruido_a_ensayo,lambda_a_ensayo,var_ruido_b_hgb_oof,lambda_b_hgb,lambda_lo,lambda_hi
m6_ln_feo_ret,R_sum_m6_ln_feo_ret,298,0.008631590328301878,0.028,0.0015680000000000002,0.8183417029352367,0.011096225489240196,-0.28553662386606726,-0.28553662386606726,0.8183417029352367
m6_ln_sn_dep,R_sum_m6_ln_sn_dep,298,0.2293357736793409,0.02,0.0008,0.9965116650265015,0.3636387026469461,-0.5856170052012408,-0.5856170052012408,0.9965116650265015
