n_batches,uplift_medio_pp_puntual,uplift_medio_pp_mediana,ic_lo,ic_hi,prob_positivo,subset,propaga
288,0.0718269556511913,0.07429589291115202,0.048991346933347175,0.10079769154505437,1.0,DEV,solo_Kw
288,0.0718269556511913,0.07115249454238942,0.03836026001115517,0.12115642746498809,1.0,DEV,Kw_y_theta
63,0.06021843749964079,0.06217776575573797,0.039394605456283226,0.08808212673465558,1.0,LOCKBOX,solo_Kw
63,0.06021843749964079,0.059443466015354406,0.03149427058560551,0.10407919862479413,1.0,LOCKBOX,Kw_y_theta
351,0.06974337547014375,0.07231252730027823,0.048210427735316294,0.09616214801025681,1.0,TOTAL,solo_Kw
351,0.06974337547014375,0.06967764653560549,0.03699673649381929,0.1165756680022003,1.0,TOTAL,Kw_y_theta
