forma,decil,n,carbon_res_media,target_res_media,ci_lo,ci_hi
F5,0,109,-13.694801138423607,-0.07228755705911429,-0.13177906440208584,-0.008374085063363255
F5,1,108,-5.779024209781464,0.011514638637050621,-0.037721944225771235,0.060942806292404214
F5,2,108,-3.708215833540064,-0.06207125668807878,-0.12562221465647222,-0.0006368532270709666
F5,3,108,-2.0452941264276854,-0.01407630526495084,-0.06731027723346018,0.03875410337383843
F5,4,109,-0.6637539185463587,0.00482595281156684,-0.060322935414971385,0.06762306928173469
F5,5,108,0.7289607544340464,0.048117896364934326,-0.0196649324937007,0.11050938526651687
F5,6,108,2.1914886662190747,-0.013797720000818471,-0.07282374104310253,0.04056926640047562
F5,7,108,3.732427803512372,-0.0016155259087129096,-0.07588134746323241,0.06721590459163464
F5,8,108,6.167475507208097,0.03917786724622764,-0.02213903189637433,0.10203745825364718
F5,9,109,12.970479882447,0.03562058022623705,-0.009765321957624442,0.07679219416155779
F2,0,109,-0.1367236118454526,-0.07851384956752015,-0.13409424572677167,-0.017899944825878276
F2,1,108,-0.07095620788224354,-0.0642060280449409,-0.1257704686378272,-0.003973946227945605
F2,2,108,-0.044506267441569596,0.020256770479851447,-0.034404524950159276,0.07249159430672447
F2,3,108,-0.022668597766627267,0.015893804065276552,-0.054316483624046445,0.08297775198667251
F2,4,109,-0.008321865553200582,-0.08376303946407843,-0.15135957830582306,-0.012162662845980384
F2,5,108,0.0020331394995263753,0.038276128162499756,-0.024673274742857507,0.11258870845764578
F2,6,108,0.012728696863843626,0.036592929829677205,-0.027858529449414395,0.0919224783549871
F2,7,108,0.030819636575346,0.029951963238512822,-0.023287457896392128,0.08470651398950445
F2,8,108,0.06710427924387498,0.014898574814994634,-0.044238465719645695,0.07315241705214919
F2,9,109,0.17589572793177696,0.04679576224603355,-0.009359419460210315,0.09863864045029544
