muestra,spec,n,coef_dSn_por1000kg,coef_dSn_p,coef_dFeO_por1000kg,coef_dFeO_p,lambda_kg,lambda_kg_lo,lambda_kg_hi,r2adj,coef_sn_escoria_final_por1000kg,coef_sn_escoria_final_p
dev,lineal_kg,297,0.17005589260426462,0.04155414178477961,-0.7972183539780874,0.006452338827623902,4.687978415621776,0.8911310968299735,20.684329035501946,0.029087697553139225,,
dev,lineal_kg_con_sn_escoria_final,297,0.19732517966736543,0.024908300246908505,-0.9299511035590446,0.003459063804112262,4.7127847805671825,1.4442209612374273,15.776006099363862,0.029046587791874856,-0.8799415906536562,0.2795100357324003
lockbox,lineal_kg,63,0.18376251500982865,0.272244570174907,1.189980678156017,0.06402437263365715,-6.475644274308991,-71.47858063647725,55.52260287189339,0.12418804784022797,,
lockbox,lineal_kg_con_sn_escoria_final,63,0.14135835118966122,0.372074281917224,0.7565703561701334,0.2564945958217474,-5.352144742796547,-79.76570854573156,71.58626654684821,0.1443259944834876,-1.3775234350097634,0.2949831514271982
total,lineal_kg,360,0.19409859379626312,0.0029927555203750175,-0.5466056904906323,0.036858952204660574,2.816123907957729,0.41351278799636526,7.958260076837011,0.03306494549334826,,
total,lineal_kg_con_sn_escoria_final,360,0.2186734465025048,0.0006587484474152124,-0.7801097792968251,0.005218013959362569,3.5674645997217103,1.3965954024346325,8.19480684622933,0.04392362698812857,-1.377132391410268,0.017810297044908212
