n_dev,n_lockbox,r2_oof,mae_oof,r2_oof_cronologico,r2_walk_forward,n_walk_forward,r2_lockbox,mae_lockbox,target,estado,k,frac_reversion_oof,frac_reversion_cron
1083,242,0.32526671597552204,0.046931385885260676,0.30370483225630107,,0,0.46922804232557236,0.04230021410015324,m6_ln_feo_ret,k15_full,15,0.04955198913973767,0.11771381899243896
1083,242,0.30914910319798483,0.0477650871698936,0.2679545766049538,,0,0.4618272185167517,0.043137677192582075,m6_ln_feo_ret,k15_sin_feo_prev,11,,
1083,242,0.4604539831244564,0.04711759988608325,0.4302433349120093,,0,0.5740787203334525,0.04325495825501428,m8_ln_feo_ret_dross60,k15_full,15,0.02178419813451619,0.032329287852551736
1083,242,0.45042336232424607,0.047635077613893975,0.4163338742909971,,0,0.5702192155139665,0.04309855075074196,m8_ln_feo_ret_dross60,k15_sin_feo_prev,11,,
