estado,familia,target,orden,n,r2_oof,mae_oof
k17,feo_ret,m8_ln_feo_ret_dross50,3,203,-0.1306309146970203,0.0405634835048871
k17,feo_ret,m8_ln_feo_ret_dross60,0,296,0.09937538688701,0.0528222045069543
k17,feo_ret,m8_ln_feo_ret_dross60,1,294,0.2996538378895669,0.0496619792485962
k17,feo_ret,m8_ln_feo_ret_dross60,2,290,0.0453003907156497,0.0435522317225907
k17,feo_ret,m8_ln_feo_ret_dross60,3,203,-0.0961916788662933,0.0396439517733364
k17,sn_dep,m8_ln_sn_dep_cstar,0,296,0.131289782252397,0.3923353297008973
k17,sn_dep,m8_ln_sn_dep_cstar,1,293,0.4027028547380687,0.3325005024697019
k17,sn_dep,m8_ln_sn_dep_cstar,2,272,-0.0036614870929199,0.4296884673694877
k17,sn_dep,m8_ln_sn_dep_cstar,3,184,-0.0413796943571185,0.4987507882058882
k15_sin_espesor,sn_dep,m6_ln_sn_dep,0,296,0.1800219274557701,0.2979516072601553
k15_sin_espesor,sn_dep,m6_ln_sn_dep,1,293,0.6382346815914604,0.1964155236120153
k15_sin_espesor,sn_dep,m6_ln_sn_dep,2,272,0.0755623839086171,0.2049349676062819
k15_sin_espesor,sn_dep,m6_ln_sn_dep,3,184,-0.053442063624093,0.2156413775524492
k17,sn_dep,m6_ln_sn_dep,0,296,0.17537188563243344,0.2992271488273053
k17,sn_dep,m6_ln_sn_dep,1,293,0.6364167684272848,0.19790479225589414
k17,sn_dep,m6_ln_sn_dep,2,272,0.1008143087331892,0.20049031114661334
k17,sn_dep,m6_ln_sn_dep,3,184,-0.002492110222526378,0.21074917615431155
