fase,clave,target,palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,identificado,theta_uso_1sd,theta_uso_unidad,concuerda_signo
Fusión,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,1,1.4912350039331133,-0.29290812739323185,-2.1401072539177544,1.073415040904102,7.814973680719239e-13,6.175226342997795e-26,1.2673628409171853,0.51,False,0.0,0.0,False
Fusión,dT,d_temperatura_horno_celsius,tasa_o2_nm3_min,0,3.333177422863195,-2.0906143455468675,-3.522836057064308,-0.5581154624306428,-2.275714784503614,-3.6943428664031512,-1.3425300950448757,0.0,True,-2.275714784503614,-0.6827463695433224,
Fusión,dT,d_temperatura_horno_celsius,tasa_aire_nm3_min,-1,5.436636278274587,0.5754917739657551,-1.0535082960202762,2.152948154755996,-9.220786114225846e-21,-1.1136924658834126,-2.5e-323,0.728,False,0.0,0.0,False
Fusión,dT,d_temperatura_horno_celsius,tasa_feed_Carbon_kg_min,0,7.185600688580564,0.2813386041914337,-0.8590623728726535,1.4327628508233354,0.32009411579909375,-0.7880717336889773,1.46385405776542,0.0,False,0.0,0.0,
Reducción,sn_dep,m6_ln_sn_dep,Cx_sn_v6,1,329.83099338858494,0.1786478814184529,0.03292834700188681,0.292009634480198,0.1786478814184529,0.03294715320752834,0.28991648675180787,0.008,True,0.1786478814184529,0.0005416346098439022,True
Reducción,sn_dep,m6_ln_sn_dep,tasa_gn_nm3_min,1,4.926183847561063,0.05629118759708198,0.020039007560208957,0.09724935887716568,0.05629118759708198,0.020039007560208957,0.09057429037765079,0.002,True,0.05629118759708198,0.01142693600949375,True
Reducción,sn_dep,m6_ln_sn_dep,exceso_o2_combustion_pct,-1,11.210335231916272,-0.003864932425360909,-0.021916107218108306,0.013750830618914517,-0.003864932425360909,-0.021916107218108306,-7.944211275197419e-22,0.316,False,0.0,0.0,True
Reducción,sn_dep,m6_ln_sn_dep,tasa_aire_nm3_min,0,9.73829806488448,0.0059119986649346,-0.011633539034122252,0.021720276044125946,0.0059119986649346,-0.011633539034122252,0.021720276044125946,0.0,False,0.0,0.0,
Reducción,feo_ret,m8_ln_feo_ret_dross50,m8_exceso_C_pos,-1,209.53407604053075,0.003080766670883429,-0.004058232354127037,0.011147508302315085,-4.251307744520417e-14,-0.002603679142683385,-1.2726240892570411e-23,0.884,False,0.0,0.0,False
Reducción,feo_ret,m8_ln_feo_ret_dross50,Cx_av_v6,-1,16.541070931971895,-0.0024576589732268816,-0.01754176781437981,0.009928629896930781,-1.8951895956972898e-13,-0.008685504095368566,-3.482754101842169e-21,0.656,False,0.0,0.0,True
Reducción,feo_ret,m8_ln_feo_ret_dross50,tasa_gn_nm3_min,-1,4.926183847561063,-0.011808761333859958,-0.022618582945582565,-0.003725236242164179,-0.011050016910343533,-0.019212600055783968,-0.0032772050918411164,0.006,True,-0.011050016910343533,-0.0022431190658493915,True
Reducción,feo_ret,m8_ln_feo_ret_dross50,exceso_o2_combustion_pct,1,11.210335231916272,0.0023426853519851157,-0.0015299887589632875,0.0057499326332040145,0.0025404924565182027,8.036915051632799e-22,0.005838785466698282,0.102,False,0.0,0.0,True
Reducción,feo_ret,m8_ln_feo_ret_dross50,tasa_aire_nm3_min,1,9.73829806488448,0.002668935883356236,-0.0013649010375636494,0.007484811498683569,0.0023376159870029077,1.7678034006621444e-23,0.006968082748798457,0.098,False,0.0,0.0,True
Reducción,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,1,4.999451783261157,3.4528325933262765,1.1993149398973717,6.146034548159679,3.4528325933262765,1.1993149398973717,6.146034548159679,0.0,True,3.4528325933262765,0.6906422429928875,True
Reducción,dT,d_temperatura_horno_celsius,tasa_o2_nm3_min,0,8.783388147350285,-4.89753634151237,-7.791587374913777,-1.9538051914556964,-4.89753634151237,-7.791587374913777,-1.9538051914556964,0.0,True,-4.89753634151237,-0.5575907906324084,
Reducción,dT,d_temperatura_horno_celsius,tasa_aire_nm3_min,-1,10.136961655688944,-0.8428950732922458,-1.7654767909024351,-0.13705518502989703,-0.8428950732922458,-1.7654767909024351,-0.13705518502989703,0.004,True,-0.8428950732922458,-0.08315066209402167,True
Reducción,dT,d_temperatura_horno_celsius,tasa_feed_Carbon_kg_min,0,22.00904900625131,3.1500675362996255,0.5234432575976375,6.353549306367646,3.1500675362996255,0.5234432575976375,6.353549306367646,0.0,True,3.1500675362996255,0.14312601763960361,
