Batch,orden,q_avance,palanca,interior,valor_opt,hist
AP0025,3,0.5,tasa_feed_Carbon_kg_min,True,10.20851309712726,10.295967070261637
AP0025,3,0.5,tasa_gn_nm3_min,True,15.272062442085932,8.96450503313983
AP0063,0,0.25,tasa_feed_Carbon_kg_min,False,66.18473382108954,66.13052374726982
AP0063,0,0.25,tasa_gn_nm3_min,True,26.691343099380212,26.60777559633608
AP0098,1,0.75,tasa_feed_Carbon_kg_min,True,28.371203263722936,28.05591557820638
AP0098,1,0.75,tasa_gn_nm3_min,True,24.466175663256646,25.458855360243057
AP0105,1,0.25,tasa_feed_Carbon_kg_min,True,25.640576228361866,19.181326059194713
AP0105,1,0.25,tasa_gn_nm3_min,True,23.660893309200254,23.809689133065927
AP0107,2,0.5,tasa_feed_Carbon_kg_min,True,14.012432493270625,16.689970083085317
AP0107,2,0.5,tasa_gn_nm3_min,True,16.340995534049142,16.112640423244898
AP0151,2,0.75,tasa_feed_Carbon_kg_min,True,5.960293286537762,5.936566888718377
AP0151,2,0.75,tasa_gn_nm3_min,True,18.68391660450123,18.580040308634437
AP0250,3,0.25,tasa_feed_Carbon_kg_min,True,5.054530885060624,5.047497431437174
AP0250,3,0.25,tasa_gn_nm3_min,True,16.614078982078365,9.767635928966378
AP0254,1,0.5,tasa_feed_Carbon_kg_min,True,28.371203263722936,28.131135128705928
AP0254,1,0.5,tasa_gn_nm3_min,True,26.076740371369432,26.399103881835934
AP0255,0,0.75,tasa_feed_Carbon_kg_min,True,58.98389205769265,58.868734408394495
AP0255,0,0.75,tasa_gn_nm3_min,True,28.333794443621432,28.17624823676215
AP0276,3,0.75,tasa_feed_Carbon_kg_min,True,4.625032367388404,4.507166671752929
AP0276,3,0.75,tasa_gn_nm3_min,True,16.94958311707647,16.811295606825084
AP0280,2,0.25,tasa_feed_Carbon_kg_min,True,10.56151569038511,10.634613763718379
AP0280,2,0.25,tasa_gn_nm3_min,True,19.07440344957658,18.905057101779512
AP0283,0,0.5,tasa_feed_Carbon_kg_min,True,64.02448129207048,63.00670914188507
AP0283,0,0.5,tasa_gn_nm3_min,True,28.949713697711893,29.590357654712818
