target,estado,orden,n,r2_oof,mae_oof,sesgo_medio,r2_ref_A,pct_r2_de_A
sn_dep,A_k15,0,240,0.21006886732881014,0.2886978806420181,0.0005635361415875006,0.21006886732881014,1.0
sn_dep,A_k15,1,246,0.554109875080918,0.20821736485013825,-0.0008814120301387277,0.554109875080918,1.0
sn_dep,A_k15,2,243,0.16628056793314094,0.21252382148101687,-0.0054434994592750495,0.16628056793314094,1.0
sn_dep,A_k15,3,169,-0.0128360837970114,0.23189395872941293,-0.00975304154224942,-0.0128360837970114,1.0
sn_dep,B_online,0,240,-0.07995422695027021,0.3546349938634367,0.0200332223335577,0.21006886732881014,-0.38060959706667014
sn_dep,B_online,1,246,0.038114457061682705,0.3130533713304342,0.009350197744408548,0.554109875080918,0.06878501679132998
sn_dep,B_online,2,243,0.05512676762722912,0.23409777947009658,-0.007051688334227414,0.16628056793314094,0.3315286224509097
sn_dep,B_online,3,169,-0.023932344950974294,0.23256677212361226,-0.02175317690748042,-0.0128360837970114,1.864458453952008
sn_dep,C_plan,0,240,0.1670223234452567,0.2987120219281619,0.006717695072994397,0.21006886732881014,0.7950836578931285
sn_dep,C_plan,1,246,0.02765356409857389,0.3173491694163271,0.0021192458771513664,0.554109875080918,0.04990628274678478
sn_dep,C_plan,2,243,0.08113199025520434,0.22846087820567546,-0.010414320608612587,0.16628056793314094,0.4879222585276854
sn_dep,C_plan,3,169,0.0002559403033270957,0.2329010696566498,-0.018403552409396486,-0.0128360837970114,-0.019939126868795124
feo_ret,A_k15,0,240,0.025998516280529516,0.0522102946963016,0.0011764619508788131,0.025998516280529516,1.0
feo_ret,A_k15,1,246,0.262401661714447,0.05128928625583148,0.0023438312457466767,0.262401661714447,1.0
feo_ret,A_k15,2,243,0.020484808661909604,0.04539486455472188,-0.0016901621728334698,0.020484808661909604,1.0
feo_ret,A_k15,3,169,-0.13686568193091242,0.04169019914917402,0.0010912127706071302,-0.13686568193091242,1.0
feo_ret,B_online,0,240,-0.08851017406827144,0.05475215221695973,-0.002086731455385572,0.025998516280529516,-3.4044317419204946
feo_ret,B_online,1,246,0.12983070099396077,0.05475672064032472,0.0010806187871896537,0.262401661714447,0.49477850157536823
feo_ret,B_online,2,243,-0.045108693468776995,0.04733301331895566,0.0005310969403078421,0.020484808661909604,-2.2020558850839635
feo_ret,B_online,3,169,-0.11853379220879834,0.03948168328331081,0.0037666070553058315,-0.13686568193091242,0.8660592672795235
feo_ret,C_plan,0,240,-0.032257055233003706,0.05317818352216468,-0.0020899299165956036,0.025998516280529516,-1.2407267739798389
feo_ret,C_plan,1,246,0.046267206522836,0.05808347334509,0.002915866913571079,0.262401661714447,0.17632207898586139
feo_ret,C_plan,2,243,-0.038492391810966975,0.04713407892113964,2.660451896617528e-05,0.020484808661909604,-1.879070117093234
feo_ret,C_plan,3,169,-0.01328104405468955,0.03877307773594291,0.002023349883195655,-0.13686568193091242,0.09703706486037608
