Batch,fase,orden_escalon_fase,estado_recomendacion,m6_avance_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_dT_hist,pred_dT_rec,dT_sd_rep_hist,dT_sd_rep_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__m8_dosis,rec_derivada__m8_dosis,hist_derivada__m8_exceso_C_pos,rec_derivada__m8_exceso_C_pos,hist_derivada__Cx_sn_v6,rec_derivada__Cx_sn_v6,hist_derivada__Cx_sn_F6,rec_derivada__Cx_sn_F6,sd_orden__tasa_feed_Carbon_kg_min,pred_sn_dep_hist,pred_sn_dep_rec,pred_feo_ret_hist,pred_feo_ret_rec,sn_dep_sd_rep_hist,sn_dep_sd_rep_rec,feo_ret_sd_rep_hist,feo_ret_sd_rep_rec,sd_orden__tasa_gn_nm3_min,fold,es_lockbox
AP0300,Fusión,1,sin_recomendacion:orden,0.9023685639977931,7.7087,0.43598823158400113,,1017.4705948569814,1036.5276509006997,1036.5276509006997,0.3087973477288354,0.3087973477288354,-89.43675375648782,-89.43675375648782,0.0,6.977105782467988,6.977105782467988,0.23533054853969732,0.23533054853969732,0.0,0.0,-0.0,-0.0,-89.43675375648782,-89.43675375648782,0.0,0.0,-0.0,-0.0,35.0,35.0,171.58806287977433,171.58806287977433,46.99937891077113,46.99937891077113,57.02610654477714,57.02610654477714,69.3266402633102,69.3266402633102,100.82389486365848,100.82389486365848,42.31676714861834,42.31676714861834,22.427045299388748,22.427045299388748,31.370890192909844,31.370890192909844,49.28568508572049,49.28568508572049,119.78614873976936,119.78614873976936,18.646260694725935,18.646260694725935,0.119125066592597,0.119125066592597,0.0,0.0,9.539027771871861,9.539027771871861,,,5.661174506614887,,,,,,,,,,-1,True
AP0300,Fusión,2,sin_recomendacion:receta,0.5950006752520258,24.1352,0.39908153760170423,,1031.2028669224906,1026.073082596949,1026.073082596949,0.43548296959092503,0.43548296959092503,-133.94403854130275,-133.94403854130275,0.0,8.602487739967719,8.602487739967719,0.3124061447667763,0.3124061447667763,0.0,0.0,-0.0,-0.0,-133.94403854130275,-133.94403854130275,0.0,0.0,-0.0,-0.0,40.0,40.0,171.6481322249746,171.6481322249746,46.98757234899009,46.98757234899009,59.04759610804125,59.04759610804125,73.57425834841844,73.57425834841844,91.75033218373271,91.75033218373271,40.714751849911075,40.714751849911075,38.18617226205221,38.18617226205221,31.422736443413623,31.422736443413623,49.66102571275499,49.66102571275499,119.54199110243056,119.54199110243056,18.966156844587182,18.966156844587182,0.13556194501965393,0.13556194501965393,0.0,0.0,162.703086790855,162.703086790855,,,7.390421618872878,,,,,,,,,,-1,True
AP0300,Fusión,3,sin_recomendacion:receta,0.5686829414909885,25.1584,0.4247115312330586,,1025.5924629240774,1034.491041052573,1034.491041052573,0.35002978322413175,0.35002978322413175,-159.87155427381725,-159.87155427381725,0.0,3.2881741300824903,3.2881741300824903,0.36185287361365726,0.36185287361365726,0.0,0.0,-0.0,-0.0,-159.87155427381725,-159.87155427381725,0.0,0.0,-0.0,-0.0,45.0,45.0,171.4318745046422,171.4318745046422,47.01585083007812,47.01585083007812,58.41604817708333,58.41604817708333,68.31639227383378,68.31639227383378,96.67908422497734,96.67908422497734,39.150152676347375,39.150152676347375,41.71717122395833,41.71717122395833,31.866102008584104,31.866102008584104,51.085958462938855,51.085958462938855,119.92204843026622,119.92204843026622,19.671977157339835,19.671977157339835,0.12172532430689914,0.12172532430689914,0.0,0.0,315.3728259036304,315.3728259036304,,,7.951518936433213,,,,,,,,,,-1,True
AP0300,Fusión,4,sin_recomendacion:receta,0.6027716794398459,23.688,0.45530579254767206,,1026.178331510656,1020.5557753402283,1020.5557753402283,0.40432821877840003,0.40432821877840003,-183.94807761839766,-183.94807761839766,0.0,-5.036687583849076,-5.036687583849076,0.20066537887341895,0.20066537887341895,0.0,0.0,-0.0,-0.0,-183.94807761839766,-183.94807761839766,0.0,0.0,-0.0,-0.0,50.0,50.0,171.5265660105188,171.5265660105188,47.00796887765524,47.00796887765524,58.160406494140595,58.160406494140595,61.71154641544119,61.71154641544119,93.75269480187907,93.75269480187907,39.18221228107129,39.18221228107129,44.62038997076696,44.62038997076696,31.422423556857645,31.422423556857645,50.52693471238765,50.52693471238765,119.68884176974827,119.68884176974827,20.39426454030209,20.39426454030209,0.11965358766385785,0.11965358766385785,0.0,0.0,450.0180283658712,450.0180283658712,,,6.880000488510805,,,,,,,,,,-1,True
AP0300,Fusión,5,sin_recomendacion:receta,0.6516598153109021,21.3141,0.25339955633218064,,1026.8515239043306,1022.8792078924124,1022.8792078924124,0.43598000142935456,0.43598000142935456,-227.6627205856566,-227.6627205856566,0.0,-3.299123618243714,-3.299123618243714,0.35691330482327216,0.35691330482327216,0.0,0.0,-0.0,-0.0,-227.6627205856566,-227.6627205856566,0.0,0.0,-0.0,-0.0,55.0,55.0,171.34261358351938,171.34261358351938,46.97340356735956,46.97340356735956,58.37967899867473,58.37967899867473,68.27450772240049,68.27450772240049,91.97047544206893,91.97047544206893,39.12431110200428,39.12431110200428,53.274930463518416,53.274930463518416,32.10600744998817,32.10600744998817,51.23954457909171,51.23954457909171,120.70286275844381,120.70286275844381,19.272297992307873,19.272297992307873,0.13731986999919857,0.13731986999919857,0.0,0.0,630.0336406738268,630.0336406738268,,,4.952706492246052,,,,,,,,,,-1,True
AP0300,Fusión,6,sin_recomendacion:soporte,0.6189377104434768,22.591,0.34403339698360813,,1017.8071635685875,1030.1364169379717,1030.1364169379717,0.2781839643211808,0.2781839643211808,-201.57429033634367,-201.57429033634367,0.0,3.284893033641028,3.284893033641028,0.3138820857273455,0.3138820857273455,0.0,0.0,-0.0,-0.0,-201.57429033634367,-201.57429033634367,0.0,0.0,-0.0,-0.0,47.0,47.0,171.60603931583958,171.60603931583958,39.591935019521735,39.591935019521735,57.528110637635955,57.528110637635955,64.90307779876201,64.90307779876201,110.22383064767715,110.22383064767715,33.45759132892584,33.45759132892584,56.270447616312396,56.270447616312396,32.10701983534973,32.10701983534973,51.20817121311999,51.20817121311999,119.65717284499229,119.65717284499229,18.877706342776907,18.877706342776907,0.10691517183952547,0.10691517183952547,0.0,0.0,931.928381609794,931.928381609794,,,6.127606547048534,,,,,,,,,,-1,True
AP0300,Reducción,0,recomendar,0.654281680244932,21.1968,0.9646196026320748,-0.12217467655708741,989.2195439261479,1007.431629499574,1008.7217240506676,0.2921081705395872,0.2907005626553996,659.2268738519496,682.0242303176033,22.797356465653706,-10.375534069013465,-9.085439517919905,0.5512220352279529,0.40933473051472175,2597.905855689671,2659.6772890435304,-1803.2651704195546,-1827.100821261399,-128.6332033849833,-134.18508274528992,-6.780608033183703,-13.551938950863015,-0.0,-2.815215768375179,30.0,30.0,,,,,,,17.315701307082787,17.315701307082787,41.65549201438194,41.65549201438194,,,62.9648419123824,65.91173875378023,27.554672828956882,28.81193293807897,31.28911656782835,31.28911656782835,121.10991988570602,121.10991988570602,2.9266435060298033,-1.5647442576468926,0.10052882129778208,0.1052337972328304,0.0,0.0,1142.9615761486898,1196.4547599047708,1142.9615761486898,1196.4547599047708,6.993088163222425,1.8227560577014206,1.8660964482286808,-0.21335854574400592,-0.21617872986550957,0.009293187112750725,0.018546696345960127,0.00034435253874095454,0.0007086102028856928,2.511239959494802,-1,True
AP0300,Reducción,1,sin_recomendacion:soporte,0.8640942470652935,10.2621,1.4884489221277748,-0.20175183945737296,971.3269080382461,976.5529240296094,976.5529240296094,0.14019389527464782,0.14019389527464782,594.7627650220353,594.7627650220353,0.0,-12.6666198965386,-12.6666198965386,0.8779585232133348,0.8779585232133348,1927.0038646118862,1927.0038646118862,-1234.4762296189506,-1234.4762296189506,-62.01704832875831,-62.01704832875831,-35.74782164214207,-35.74782164214207,-0.0,-0.0,25.0,25.0,,,,,,,0.007091059865669229,0.007091059865669229,0.036841786333469136,0.036841786333469136,,,32.39840025290465,32.39840025290465,20.380081386990017,20.380081386990017,24.935947889539936,24.935947889539936,125.1510576171875,125.1510576171875,25.656195911575242,25.656195911575242,0.11161313626267279,0.11161313626267279,0.0,0.0,235.09759119496763,235.09759119496763,588.1079899999529,588.1079899999529,6.836201839730131,1.352034354802632,1.352034354802632,-0.14606063347065168,-0.14606063347065168,0.030662072868268886,0.030662072868268886,0.006694959176180716,0.006694959176180716,2.893450084962804,-1,True
AP0300,Reducción,2,sin_recomendacion:soporte,0.9693215704655291,2.6968,0.2904330330718982,-0.02250758008627621,952.8401781003836,958.9869918369709,958.9869918369709,0.23540271636109458,0.23540271636109458,258.73028046987713,258.73028046987713,0.0,-12.33991620127516,-12.33991620127516,1.8940895625731895,1.8940895625731895,255.6082851257547,255.6082851257547,68.51412207527308,68.51412207527308,-21.958591118288517,-21.958591118288517,-43.43353561286218,-43.43353561286218,-0.0,-0.0,20.0,20.0,,,,,,,1.0419830983097304e-25,1.0419830983097304e-25,2.3451857290018502e-22,2.3451857290018502e-22,,,10.781295376732235,10.781295376732235,13.150246344672308,13.150246344672308,16.435739673764477,16.435739673764477,124.0097675238715,124.0097675238715,61.509487124501476,61.509487124501476,0.13163695574071707,0.13163695574071707,0.0,0.0,17.66013644820174,17.66013644820174,195.7061430228279,195.7061430228279,5.498740265168875,0.17934119863937673,0.17934119863937673,0.008106446954502237,0.008106446954502237,0.03169172910304233,0.03169172910304233,0.008779193278380256,0.008779193278380256,2.975542757256536,-1,True
AP0300,Reducción,3,recomendar,0.9770543871979211,2.059,0.11277385377725752,-0.07385332956769536,953.2547334986461,949.8855501604061,952.0379737709909,0.38787013220441185,0.4510616293657269,-46.65974618061597,-43.683504966014304,2.9762412146016644,-2.9546279399774837,-0.802204329392725,0.43572576984100947,0.4866661363329228,173.86579187737368,216.2113380865636,-198.5654094601836,-244.04622680037988,-12.219449499190802,-15.405738760616272,-9.740679098615258,-0.44287749158172945,-0.0,-0.0,13.0,13.0,,,,,,,1.0419830987949414e-25,1.0419830987949414e-25,3.369192531880002e-22,3.369192531880002e-22,,,5.774434502718522,9.23703079451151,17.33236644280408,19.73134508834261,13.126493536385931,13.126493536385931,120.50164135928132,120.50164135928132,10.867256207218162,-2.612219162542665,0.0612721563687194,0.09801354486877176,0.0,0.0,7.074554666101416,11.316758251819985,104.81971462389424,167.67406945164825,3.462596291792987,0.1219886104330772,0.15169931018781704,-0.02349384199974921,-0.028875036738122237,0.007050543163849649,0.0005868739189304093,0.0019746808292919926,3.44779067422626e-05,2.3989786455385294,-1,True
