combo,estado_id,orden,q_avance,C,J
F0+G0,0,0,0.25,48.855764194260715,857.9840042500773
F0+G0,0,0,0.25,49.30017621414499,862.22398121778
F0+G0,0,0,0.25,49.74458823402927,866.4639581854817
F0+G0,0,0,0.25,50.18900025391355,870.703935153184
F0+G0,0,0,0.25,50.63341227379783,874.9439121208866
F0+G0,0,0,0.25,51.077824293682106,879.1838890885886
F0+G0,0,0,0.25,51.52223631356638,883.4238660562904
F0+G0,0,0,0.25,51.966648333450664,887.6638430239926
F0+G0,0,0,0.25,52.41106035333494,891.9038199916952
F0+G0,0,0,0.25,52.855472373219214,896.1437969593974
F0+G0,0,0,0.25,53.2998843931035,900.3837739270997
F0+G0,0,0,0.25,53.74429641298777,904.6237508948016
F0+G0,0,0,0.25,54.188708432872055,908.8637278625042
F0+G0,0,0,0.25,54.63312045275633,913.103704830206
F0+G0,0,0,0.25,55.077532472640605,917.3436817979083
F0+G0,0,0,0.25,55.52194449252489,921.5836587656102
F0+G0,0,0,0.25,55.96635651240916,925.8236357333128
F0+G0,0,0,0.25,56.410768532293446,930.0636127010146
F0+G0,0,0,0.25,56.85518055217772,934.3035896687172
F0+G0,0,0,0.25,57.299592572062,938.5435666364194
F0+G0,0,0,0.25,57.74400459194628,942.7835436041216
F0+G0,0,0,0.25,58.188416611830554,947.0235205718241
F0+G0,0,0,0.25,58.63282863171483,951.2634975395258
F0+G0,0,0,0.25,59.07724065159911,955.5034745072281
F0+G0,0,0,0.25,59.52165267148339,959.7434514749299
F0+G0,0,0,0.25,59.96606469136766,963.9834284426325
F0+G0,0,0,0.25,60.410476711251945,968.2234054103347
F0+G0,0,0,0.25,60.85488873113622,972.463382378037
F0+G0,0,0,0.25,61.2993007510205,976.7033593457393
F0+G0,0,0,0.25,61.74371277090478,980.9433363134415
F0+G0,0,0,0.25,62.18812479078906,985.1833132811437
F0+G0,0,0,0.25,62.632536810673336,989.4232902488457
F0+G0,0,0,0.25,63.07694883055761,993.6632672165479
F0+G0,0,0,0.25,63.521360850441894,997.90324418425
F0+G0,0,0,0.25,63.96577287032617,1002.1432211519526
F0+G0,0,0,0.25,64.41018489021045,1006.3831981196546
F0+G0,0,0,0.25,64.85459691009473,1010.6231750873568
F0+G0,0,0,0.25,65.29900892997901,1014.8631520550595
F0+G0,0,0,0.25,65.74342094986328,1019.1031290227611
F0+G0,0,0,0.25,66.18783296974756,1023.3431059904635
F0+G1,0,0,0.25,48.855764194260715,857.9840021173258
F0+G1,0,0,0.25,49.30017621414499,862.2239791469328
F0+G1,0,0,0.25,49.74458823402927,866.4639561765395
F0+G1,0,0,0.25,50.18900025391355,870.7039332061465
F0+G1,0,0,0.25,50.63341227379783,874.9439102357536
F0+G1,0,0,0.25,51.077824293682106,879.1838872653603
F0+G1,0,0,0.25,51.52223631356638,883.4238642949671
