muestra,spec,n,K_Sn,K_Sn_lo,K_Sn_hi,K_Sn_p,K_FeO,K_FeO_lo,K_FeO_hi,K_FeO_p,w,w_boot_lo,w_boot_hi,frac_ambos_positivos,r2adj
dev,suma_escalon,297,2.8529187261012376,1.6683476154116956,4.03748983679078,2.3541209817209845e-06,17.26175737892262,11.043557121284932,23.479957636560307,5.3020826621642376e-08,6.050560508785442,4.017340275608433,10.214082855125076,1.0,0.10685163380005991
lockbox,suma_escalon,63,4.052506000452812,1.4207048625495644,6.6843071383560595,0.002544521033930148,2.8194815698965243,-12.744663106564516,18.383626246357565,0.7225505565524208,0.6957377902911152,-8.630863803998027,4.177900227457821,0.539,0.1858530202129297
total,suma_escalon,360,3.218311733952804,2.1843831639616993,4.252240303943909,1.0554932727780986e-09,15.70791164689501,10.002305514657134,21.413517779132885,6.817685613130798e-08,4.880792460586841,3.4181911926218698,6.878109942382647,1.0,0.11358134401266873
dev,cociente_inventarios,297,2.8152793401013385,1.6142731170312787,4.016285563171398,4.340947538268702e-06,17.39470516815422,11.138336516398375,23.651073819910067,5.056091193967761e-08,6.178678229325579,4.102412787894697,10.499887981094117,1.0,0.10495366577456278
lockbox,cociente_inventarios,63,4.103874376412108,1.4587137411532907,6.749035011670925,0.002359382054777395,2.9363000265434778,-12.608849284176658,18.481449337263612,0.7112225479274651,0.7154946173353862,-8.184306233690892,3.993668436385096,0.544,0.18764478628358094
total,cociente_inventarios,360,3.2053429530790276,2.16259974874301,4.248086157415045,1.6928123488904476e-09,15.934295136207227,10.19603384218819,21.672556430226265,5.252986377581385e-08,4.971167007543098,3.5030535214987455,7.071090191254018,1.0,0.11291300576723029
dev,solo_con_ensayo_R3,203,2.3462157173352436,0.8534774895144261,3.838953945156061,0.0020659841468844706,16.250342647204555,8.232963970978165,24.267721323430944,7.108314823103854e-05,6.926192901674519,4.055605107313684,17.021603306582147,1.0,0.07694894837833499
lockbox,solo_con_ensayo_R3,53,4.236056648395037,1.3262866216093947,7.145826675180679,0.0043264400841784255,2.6006944653762716,-15.477478134144814,20.678867064897357,0.7779764746720961,0.613942324487475,-8.447922343661794,4.341925804524808,0.514,0.20589827169587482
total,solo_con_ensayo_R3,256,2.993415765700008,1.7207735623171951,4.266057969082821,4.025068634950279e-06,15.030864828452032,7.873736622230232,22.18799303467383,3.85220847090136e-05,5.02130876728949,3.0219447233948076,8.22697780422037,1.0,0.08921765547660976
