orden_escalon_fase,n,media,sd,P5,P10,P50,P90,P95,target,r2_oof_plm_interno,sd_carbon_orden_kg_min,theta_carbon_raw_por_kg_min,theta_carbon_raw_ci_lo,theta_carbon_raw_ci_hi,theta_o2_raw_por_nm3_min,delta_o2_proporcional_nm3_min,efecto_recorte_sin_bajar_o2,efecto_recorte_con_o2_proporcional
1,299.0,0.7676669615766959,0.04319013155315939,0.702255992201067,0.7129398538077883,0.7659054506075526,0.8238338718321537,0.8337250360985454,lambda_extendida,,,,,,,,,
2,299.0,0.6829635488665371,0.04641983267409868,0.6252967446973018,0.6390965999484469,0.68012858169669,0.7359731133205374,0.7548152199251789,lambda_extendida,,,,,,,,,
3,298.0,0.6663333225325816,0.04449312981373291,0.613549253039898,0.6207299456931694,0.6634509504279215,0.7193687777820642,0.739644490964905,lambda_extendida,,,,,,,,,
4,299.0,0.6639758164877106,0.04884513326686821,0.6204684320150424,0.6321536309888067,0.6632290127010305,0.7005922791294941,0.7155929968656805,lambda_extendida,,,,,,,,,
5,299.0,0.6877761237191131,0.031022378726463063,0.6390663509564137,0.6543318073359023,0.6888559843711826,0.7206653772218816,0.7356907905552039,lambda_extendida,,,,,,,,,
6,299.0,0.7197205950764098,0.04245966353041804,0.6531057657684748,0.6686232054240574,0.7168749690784177,0.7739927421610745,0.7873684270783577,lambda_extendida,,,,,,,,,
1,,,,,,,,,d_temperatura_horno_celsius,0.40403534550532194,5.661174506614887,0.10855010411799298,-0.04939123330121046,0.2409893332125968,-0.15052375342073365,-5.282223186714932,-0.6145210821231736,0.18057897834718672
2,,,,,,,,,d_temperatura_horno_celsius,0.40403534550532194,7.390421618872878,0.10855010411799298,-0.04939123330121046,0.2409893332125968,-0.15052375342073365,-6.895716849780065,-0.8022310362045172,0.23573814655097547
3,,,,,,,,,d_temperatura_horno_celsius,0.40403534550532194,7.951518936433213,0.10855010411799298,-0.04939123330121046,0.2409893332125968,-0.15052375342073365,-7.419255076230708,-0.8631382084460181,0.2536359132140594
4,,,,,,,,,d_temperatura_horno_celsius,0.40403534550532194,6.880000488510805,0.10855010411799298,-0.04939123330121046,0.2409893332125968,-0.15052375342073365,-6.419462615497511,-0.7468247693596904,0.21945683846907482
5,,,,,,,,,d_temperatura_horno_celsius,0.40403534550532194,4.952706492246052,0.10855010411799298,-0.04939123330121046,0.2409893332125968,-0.15052375342073365,-4.621179057414163,-0.5376168053991688,0.15798041155209908
6,,,,,,,,,d_temperatura_horno_celsius,0.40403534550532194,6.127606547048534,0.10855010411799298,-0.04939123330121046,0.2409893332125968,-0.15052375342073365,-5.717432900905248,-0.6651523286762138,0.1954571314992377
1,,,,,,,,,d_temperatura_gas_pre_bhf_celsius,0.5358169955555012,5.661174506614887,0.040288863335445756,-0.00667491315378838,0.09507415381643551,-0.09985599378204231,-5.282223186714932,-0.22808228601511674,0.29937935967284923
2,,,,,,,,,d_temperatura_gas_pre_bhf_celsius,0.5358169955555012,7.390421618872878,0.040288863335445756,-0.00667491315378838,0.09507415381643551,-0.09985599378204231,-6.895716849780065,-0.2977516865940932,0.39082697228026936
3,,,,,,,,,d_temperatura_gas_pre_bhf_celsius,0.5358169955555012,7.951518936433213,0.040288863335445756,-0.00667491315378838,0.09507415381643551,-0.09985599378204231,-7.419255076230708,-0.3203576597391667,0.42049942902031273
4,,,,,,,,,d_temperatura_gas_pre_bhf_celsius,0.5358169955555012,6.880000488510805,0.040288863335445756,-0.00667491315378838,0.09507415381643551,-0.09985599378204231,-6.419462615497511,-0.27718739942941184,0.36383441958776064
5,,,,,,,,,d_temperatura_gas_pre_bhf_celsius,0.5358169955555012,4.952706492246052,0.040288863335445756,-0.00667491315378838,0.09507415381643551,-0.09985599378204231,-4.621179057414163,-0.19953891500667612,0.26191351221617665
6,,,,,,,,,d_temperatura_gas_pre_bhf_celsius,0.5358169955555012,6.127606547048534,0.040288863335445756,-0.00667491315378838,0.09507415381643551,-0.09985599378204231,-5.717432900905248,-0.24687430274742103,0.32404564145461745
