fase,clave,conjunto,orden,n,r2,mae,sesgo
Reducción,sn_dep,OOF_dev,0,296,0.16861374089535863,0.3001995304595922,0.008158426788626343
Reducción,sn_dep,OOF_dev,1,294,0.5818003402812172,0.20658288164640692,-0.0015204751266813309
Reducción,sn_dep,OOF_dev,2,290,0.052397975906873895,0.23268152022555705,-0.007440135259554109
Reducción,sn_dep,OOF_dev,3,203,-0.096637416154572,0.24806501477817355,0.015440505633067514
Reducción,sn_dep,lockbox,0,63,0.006867981605377604,0.2983228911804694,0.0422516980965033
Reducción,sn_dep,lockbox,1,63,0.6493769835979286,0.18522071423471276,0.05505334754955565
Reducción,sn_dep,lockbox,2,63,-0.1537507874128312,0.20950643298899974,0.12401212039884503
Reducción,sn_dep,lockbox,3,53,-0.1424203198673808,0.2795159575764776,-0.07018271193248764
Reducción,feo_ret,OOF_dev,0,296,0.09746265718927793,0.051152444522352104,0.0001938659131291139
Reducción,feo_ret,OOF_dev,1,294,0.26948956052106454,0.05039576885209848,-0.004914544517866405
Reducción,feo_ret,OOF_dev,2,290,0.021611137816169634,0.044362674824927666,0.003372380248203507
Reducción,feo_ret,OOF_dev,3,203,-0.0832984339293894,0.03933508290254511,0.00030315466778818497
Reducción,feo_ret,lockbox,0,63,0.14247937958285495,0.03878502301171703,-0.010438149882388939
Reducción,feo_ret,lockbox,1,63,0.1365834410454273,0.05278346042320407,0.00017796115297175283
Reducción,feo_ret,lockbox,2,63,-0.14377496791974975,0.03593659221111565,-0.018704011571665707
Reducción,feo_ret,lockbox,3,53,-0.1333358512347449,0.04271072260202616,0.015670685932799203
Reducción,dT,OOF_dev,0,298,0.19245191889711377,10.286865579637519,-0.2356225565973858
Reducción,dT,OOF_dev,1,296,0.4544942602724582,11.298893359124076,0.585260693085331
Reducción,dT,OOF_dev,2,294,0.48251365122567047,10.398223773244808,-0.002354561204575395
Reducción,dT,OOF_dev,3,294,0.26058911412323693,5.795671069281845,-0.6374066300402
Reducción,dT,lockbox,0,63,-0.8986373165723223,8.278679093617889,5.609888644200049
Reducción,dT,lockbox,1,63,-0.014741527076933991,7.886618124020901,1.967648828906911
Reducción,dT,lockbox,2,63,0.305531517076588,6.769273443544644,-3.911502735051235
Reducción,dT,lockbox,3,63,-0.35029535152057445,3.1880085117021797,0.985240647816119
Fusión,dT,OOF_dev,2,298,0.41445038044584837,8.364380544733617,-0.7138153371562924
Fusión,dT,OOF_dev,3,297,0.46024025293379567,8.338657912323663,0.44690137374072286
Fusión,dT,OOF_dev,4,297,0.5265409123654161,7.439209236345185,-0.17722805106601905
Fusión,dT,OOF_dev,5,298,0.5382112227448367,9.038999102813948,-0.5195175663893985
Fusión,dT,OOF_dev,6,292,0.3115867527737759,12.350027616373481,0.22630533587838808
Fusión,dT,lockbox,2,63,-0.17037245331290163,9.179431651499762,2.9820476153371707
Fusión,dT,lockbox,3,63,0.2215492301467027,5.136599399027912,1.5322144243558307
Fusión,dT,lockbox,4,63,-0.2411264090706191,6.159492868271507,0.9203968224863934
Fusión,dT,lockbox,5,63,-0.1253855777905828,7.038030361940362,-3.204083320160193
Fusión,dT,lockbox,6,62,0.050969415256243655,7.717235653236266,-1.4503707155072632
