fase,target,columna,forma,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_oof_cronologico,r2_walk_forward,n_walk_forward,r2_lockbox,mae_lockbox,sd_target_dev,sd_target_lockbox
Fusión,dT,d_temperatura_horno_celsius,PLM_v8,7,4,1482,314,0.48008289924737046,9.094765008167935,0.3594034392556964,0.16618503452442246,983,0.05023214456237224,7.044020796774646,17.18533679373835,9.183425574197875
Fusión,dT,d_temperatura_horno_celsius,HGB_estado+palancas_ref,7,4,1482,314,0.45639507184461847,9.311801533616842,0.32247616369817067,,983,-0.011378126100444641,7.319057791215528,17.18533679373835,9.183425574197875
Reducción,sn_dep,m6_ln_sn_dep,PLM_v8,15,4,1083,242,0.7669577989516522,0.24693376462185015,0.7748514673235904,0.7712158576786479,720,0.8003243060946754,0.2416384221942842,0.6774580915027736,0.7294041717859885
Reducción,sn_dep,m6_ln_sn_dep,HGB_estado+palancas_ref,15,4,1083,242,0.7603947877709922,0.25068746811218157,0.7649591329787866,,720,0.8052593751964224,0.23888398272511277,0.6774580915027736,0.7294041717859885
Reducción,feo_ret,m8_ln_feo_ret_dross50,PLM_v8,15,5,1083,242,0.43827288750813376,0.04691382931632397,0.41640791407386857,0.3329370334515276,720,0.565923633008263,0.0425474713372219,0.08279489054790545,0.08514156477890966
Reducción,feo_ret,m8_ln_feo_ret_dross50,HGB_estado+palancas_ref,15,5,1083,242,0.4423544952622648,0.04650466135718821,0.3983983183149161,,720,0.5363893045716779,0.04388314101720578,0.08279489054790545,0.08514156477890966
Reducción,dT,d_temperatura_horno_celsius,PLM_v8,5,4,1182,252,0.4404652561401504,9.450899712974234,0.26378690173456343,-0.0164159651274558,786,0.4227740095364416,6.530644793221404,17.53814689134719,11.29939684249102
Reducción,dT,d_temperatura_horno_celsius,HGB_estado+palancas_ref,5,4,1182,252,0.4274646528592795,9.492433526004845,0.22216115696859373,,786,0.3548283045392553,7.0173537345199,17.53814689134719,11.29939684249102
