variante,palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno
a_sin_F1,tasa_gn_nm3_min,1,1.4912350039331133,-0.2557028587799218,-1.7802922617115324,1.1522551709333169,5.296104192273118e-20,3.0907093957500007e-25,1.2869286564980091,0.506,0.5701923191097013,False,False,0.49894421662748756
a_sin_F1,tasa_o2_nm3_min,0,3.333177422863195,-1.009576778285148,-2.4550147153444786,0.5244748906479522,-1.155195131649134,-2.634480993131338,-0.24771372951197995,0.0,0.6778229532826807,False,True,0.49894421662748756
a_sin_F1,tasa_aire_nm3_min,-1,5.436636278274587,0.5781383184697858,-1.0061126913959402,2.0931284351033606,-7.528501241698689e-29,-1.020168917978319,-2.5e-323,0.73,0.6065725401380105,False,False,0.49894421662748756
a_sin_F1,tasa_feed_Carbon_kg_min,0,7.185600688580564,0.1050050992595905,-1.0767624636513422,1.2786763627626985,0.1608193964463985,-1.0564895745991714,1.3985369572859814,0.0,0.6816013491370251,False,True,0.49894421662748756
b_F1_imputado_v7,tasa_gn_nm3_min,1,1.4713185225896197,-0.9216795747642351,-2.575485289929019,0.6453289954689726,1.3824038361921185e-13,4.765794764768798e-27,0.649715196769016,0.85,0.5795470218828029,False,False,0.40403534550532194
b_F1_imputado_v7,tasa_o2_nm3_min,0,3.344147895418646,-0.5033736932124616,-2.168913354162857,1.4233046554758064,-1.3076240187271075,-2.567877418893395,-0.20703012205567156,0.0,0.6957606082278351,False,True,0.40403534550532194
b_F1_imputado_v7,tasa_aire_nm3_min,-1,5.51682058110957,-0.35113550752070954,-1.9614580591762785,1.013532608612845,-0.49835734673790316,-2.043253623493632,-3e-323,0.246,0.5929288097011688,False,False,0.40403534550532194
b_F1_imputado_v7,tasa_feed_Carbon_kg_min,0,8.566106775131164,0.929851782326333,-0.5440317442228555,2.2757684999554892,0.9030447284289557,-0.4997274274868582,2.2651666116025657,0.0,0.7576481509683001,False,True,0.40403534550532194
c_F1_imputado_mas_esF1,tasa_gn_nm3_min,1,1.4713185225896197,-0.9216795747642351,-2.575485289929019,0.6453289954689726,1.3824038361921185e-13,4.765794764768798e-27,0.649715196769016,0.85,0.5795470218828029,False,False,0.40403534550532194
c_F1_imputado_mas_esF1,tasa_o2_nm3_min,0,3.344147895418646,-0.5033736932124616,-2.168913354162857,1.4233046554758064,-1.3076240187271075,-2.567877418893395,-0.20703012205567156,0.0,0.6957606082278351,False,True,0.40403534550532194
c_F1_imputado_mas_esF1,tasa_aire_nm3_min,-1,5.51682058110957,-0.35113550752070954,-1.9614580591762785,1.013532608612845,-0.49835734673790316,-2.043253623493632,-3e-323,0.246,0.5929288097011688,False,False,0.40403534550532194
c_F1_imputado_mas_esF1,tasa_feed_Carbon_kg_min,0,8.566106775131164,0.929851782326333,-0.5440317442228555,2.2757684999554892,0.9030447284289557,-0.4997274274868582,2.2651666116025657,0.0,0.7576481509683001,False,True,0.40403534550532194
d_b_sin_temperatura_prev,tasa_gn_nm3_min,1,1.4713185225896197,-1.47985660399389,-3.16193030350545,0.00887758408623222,2.1105065450797888e-13,5.326004554660072e-29,0.051212373261009185,0.962,0.5719464849593199,False,False,0.37236827340066025
d_b_sin_temperatura_prev,tasa_o2_nm3_min,0,3.344147895418646,0.0501080640549423,-1.7027917373325205,1.7900224203154107,-1.2402434935377724,-2.31599132221278,-0.135965345529502,0.0,0.6892449691944998,False,True,0.37236827340066025
d_b_sin_temperatura_prev,tasa_aire_nm3_min,-1,5.51682058110957,-0.061408416465609336,-1.6581110679869093,1.4391112045882692,-0.3146730120743941,-1.9467251146229048,-3e-323,0.348,0.6048810227405488,False,False,0.37236827340066025
d_b_sin_temperatura_prev,tasa_feed_Carbon_kg_min,0,8.566106775131164,1.6529548955456448,0.016835925471211648,2.9636747180540866,1.6193938976451143,0.052176902928276425,2.962546263007513,0.0,0.7627628733357992,True,True,0.37236827340066025
