clave,palanca,signo_teorico,n,spearman_residual,p,theta_libre_1sd,ci_lo_libre,ci_hi_libre,rho_tercio0,p_tercio0,rho_tercio1,p_tercio1,rho_tercio2,p_tercio2,grupo,ols_pp_por_sd,ols_p
sn_dep,Cx_sn_v6,1.0,1083,0.08028577933000797,0.008209285860277827,0.1786478814184529,0.040213268468427175,0.2969201317742382,0.028398271743324478,0.589678203493851,0.11128477204878481,0.03609239848058408,0.10615957139649033,0.04266752185905989,,,
sn_dep,tasa_gn_nm3_min,1.0,1083,0.11202241875824527,0.00022082591911520567,0.05629118759708198,0.021713249316042578,0.09583397690228633,0.125817928931942,0.016465793807762256,0.102645773709099,0.05332491863975882,0.10888177620717485,0.0375958881896413,,,
sn_dep,exceso_o2_combustion_pct,-1.0,1083,-0.03280708474388034,0.2807255945314091,-0.003864932425360909,-0.021317926480779383,0.013750830618914517,-0.05617912976024477,0.2857426007223007,0.020463707784700972,0.7007959732256501,-0.05624976864590609,0.2838040372880028,,,
sn_dep,tasa_aire_nm3_min,0.0,1083,0.01114673572939384,0.7140552009177965,0.0059119986649346,-0.010897343281918347,0.021742542172812115,-0.03629042981127361,0.4906546900181662,0.12879371065471099,0.015173041380712227,-0.03636565545391057,0.4885537617614858,,,
batch_sn_dep,Cx_sn_v6,,295,-0.10257088634812608,0.07859872091259161,,,,,,,,,,R_temprano,-0.27822938718118645,0.2417488199729434
batch_sn_dep,Cx_sn_v6,,292,0.1853356552385295,0.0014674929650079008,,,,,,,,,,R_tardio,0.8108581847677243,0.015364730185982466
batch_sn_dep,Cx_sn_v6,,297,-0.07185861883848461,0.21691848086921214,,,,,,,,,,R_todo,-0.20173501472157396,0.42754663025046724
batch_sn_dep,tasa_gn_nm3_min,,295,-0.03348649583516412,0.5667338650248739,,,,,,,,,,R_temprano,-0.3373664630070936,0.17482176897137935
batch_sn_dep,tasa_gn_nm3_min,,292,-0.07494024532313315,0.20164358281697672,,,,,,,,,,R_tardio,-0.4173404325976542,0.08264918430328047
batch_sn_dep,tasa_gn_nm3_min,,297,-0.08768301553536455,0.1316480585488352,,,,,,,,,,R_todo,-0.46223581194708374,0.04287253778218806
batch_sn_dep,exceso_o2_combustion_pct,,295,0.0048351360700029,0.9340947813119426,,,,,,,,,,R_temprano,0.20676203833125006,0.3471717485525684
batch_sn_dep,exceso_o2_combustion_pct,,292,0.029224483343157893,0.6189405489746901,,,,,,,,,,R_tardio,0.24271434718695017,0.2984993196042588
batch_sn_dep,exceso_o2_combustion_pct,,297,0.025579117860997057,0.6606358389249493,,,,,,,,,,R_todo,0.3230436052778861,0.1503977104091705
batch_sn_dep,tasa_aire_nm3_min,,295,0.011229631568614621,0.847693290624206,,,,,,,,,,R_temprano,-0.06335758161254068,0.7654997188476245
batch_sn_dep,tasa_aire_nm3_min,,292,-0.03139391912115921,0.5931407567816125,,,,,,,,,,R_tardio,-0.3112298802115774,0.12586336763105085
batch_sn_dep,tasa_aire_nm3_min,,297,0.0025417424746283805,0.9652081458705356,,,,,,,,,,R_todo,-0.22744929257315935,0.28928420813867717
feo_ret,m8_exceso_C_pos,-1.0,1083,0.036962379793718164,0.22421193239178036,0.003080766670883429,-0.004295317935510122,0.011147508302315085,0.055546914160676086,0.2912077617225825,-0.019299612857056624,0.7170652072782405,0.07494590323672495,0.15302191902573017,,,
feo_ret,Cx_av_v6,-1.0,1083,0.0024346750141814397,0.9362132150188833,-0.0024576589732268816,-0.01678150484812452,0.00944493659035302,0.007000282489986158,0.89426066787953,0.003903481831763769,0.9415768431339117,0.0054382401788644775,0.9175329577216594,,,
feo_ret,tasa_gn_nm3_min,-1.0,1083,-0.12004591228855536,7.483864291593873e-05,-0.011808761333859958,-0.021807003216182945,-0.0033593021708048913,-0.14259673024113004,0.006500950144265096,-0.05431131830020305,0.3075160650342168,-0.13852323288658347,0.008044573089892185,,,
feo_ret,exceso_o2_combustion_pct,1.0,1083,0.06873534278273949,0.023692922673697533,0.0023426853519851157,-0.0015299887589632875,0.005844138532607073,0.0802575124523894,0.1269351404526807,0.06196646648123363,0.24420548872349965,0.0703449705470815,0.1799234717012765,,,
feo_ret,tasa_aire_nm3_min,1.0,1083,0.03696754698126957,0.22414712333631553,0.002668935883356236,-0.0012893032353362638,0.00685003219954194,0.021427843878873514,0.6840859090476198,-0.004778700770611098,0.9285092575307271,0.09457163092914274,0.07113140276465202,,,
batch_feo_ret,m8_exceso_C_pos,,295,0.09001561229164137,0.12291858520137154,,,,,,,,,,R_temprano,0.1370223825502519,0.6141188810254105
batch_feo_ret,m8_exceso_C_pos,,292,0.1601627775718611,0.0060908112084625075,,,,,,,,,,R_tardio,0.7200717933980565,0.1074965948281539
batch_feo_ret,m8_exceso_C_pos,,297,0.14757542777677007,0.01088086223166647,,,,,,,,,,R_todo,0.5582496497579773,0.057570560829236034
batch_feo_ret,Cx_av_v6,,295,0.05305000607664047,0.36391263344714353,,,,,,,,,,R_temprano,0.029076432360005455,0.9134265549602876
batch_feo_ret,Cx_av_v6,,292,0.17146013487036646,0.003291233548048705,,,,,,,,,,R_tardio,0.7925097998075697,0.0015973510297397817
batch_feo_ret,Cx_av_v6,,297,0.14686406968286164,0.011273919157077757,,,,,,,,,,R_todo,0.4827212190214471,0.10251445353277815
batch_feo_ret,tasa_gn_nm3_min,,295,-0.03348649583516412,0.5667338650248739,,,,,,,,,,R_temprano,-0.3373664630070936,0.17482176897137935
batch_feo_ret,tasa_gn_nm3_min,,292,-0.07494024532313315,0.20164358281697672,,,,,,,,,,R_tardio,-0.4173404325976542,0.08264918430328047
batch_feo_ret,tasa_gn_nm3_min,,297,-0.08768301553536455,0.1316480585488352,,,,,,,,,,R_todo,-0.46223581194708374,0.04287253778218806
batch_feo_ret,exceso_o2_combustion_pct,,295,0.0048351360700029,0.9340947813119426,,,,,,,,,,R_temprano,0.20676203833125006,0.3471717485525684
batch_feo_ret,exceso_o2_combustion_pct,,292,0.029224483343157893,0.6189405489746901,,,,,,,,,,R_tardio,0.24271434718695017,0.2984993196042588
batch_feo_ret,exceso_o2_combustion_pct,,297,0.025579117860997057,0.6606358389249493,,,,,,,,,,R_todo,0.3230436052778861,0.1503977104091705
batch_feo_ret,tasa_aire_nm3_min,,295,0.011229631568614621,0.847693290624206,,,,,,,,,,R_temprano,-0.06335758161254068,0.7654997188476245
batch_feo_ret,tasa_aire_nm3_min,,292,-0.03139391912115921,0.5931407567816125,,,,,,,,,,R_tardio,-0.3112298802115774,0.12586336763105085
batch_feo_ret,tasa_aire_nm3_min,,297,0.0025417424746283805,0.9652081458705356,,,,,,,,,,R_todo,-0.22744929257315935,0.28928420813867717
