palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,estado,familia,target
Cx_sn_v6,1,333.2336591231685,0.1758869274205158,0.0456112283169786,0.2743089884867351,0.1758869274205158,0.0448600704782838,0.2726038691944714,0.002,0.9646457462152768,True,True,0.8065889495389028,k16_v7,sn_dep,m6_ln_sn_dep
tasa_gn_nm3_min,1,4.934216324100891,0.0452308956093827,0.0069202160575326,0.0850542516535908,0.0452308956093827,0.0069202160575326,0.0783899862754333,0.014,0.6850992225249147,True,True,0.8065889495389028,k16_v7,sn_dep,m6_ln_sn_dep
exceso_o2_combustion_pct,-1,11.375374264983304,-0.0035720436287965,-0.0211700454903433,0.0133811801791056,-0.0035720436287965,-0.0211700454903433,-3.5002689363062285e-22,0.332,-0.0124385643238988,False,False,0.8065889495389028,k16_v7,sn_dep,m6_ln_sn_dep
tasa_aire_nm3_min,0,9.894336045150371,0.0042781224081896,-0.0145783663823804,0.0197918188110454,0.0042781224081896,-0.0143401534909323,0.0198845238773381,0.0,-0.007996056447298,False,True,0.8065889495389028,k16_v7,sn_dep,m6_ln_sn_dep
Cx_sn_v6,1,333.2336591231685,0.218541508841274,0.0416037657923426,0.3644642294928278,0.218541508841274,0.0454159640191078,0.3662936093109046,0.01,0.9646457462152768,True,True,0.5551413180377204,k16_v7,sn_dep,m8_ln_sn_dep_cstar
tasa_gn_nm3_min,1,4.934216324100891,0.083480100230927,-0.0005871679731705,0.1658073071147867,0.083480100230927,7.52592922660026e-10,0.1526684524483704,0.028,0.6850992225249147,False,True,0.5551413180377204,k16_v7,sn_dep,m8_ln_sn_dep_cstar
exceso_o2_combustion_pct,-1,11.375374264983304,-0.0096821665371407,-0.0451763996288415,0.0283650807161829,-0.0096821665371407,-0.0451763996288415,-2.114633816061609e-21,0.292,-0.0124385643238988,False,False,0.5551413180377204,k16_v7,sn_dep,m8_ln_sn_dep_cstar
tasa_aire_nm3_min,0,9.894336045150371,-0.0003554158476503,-0.0355600487356934,0.0283989154372278,-0.0003554158476503,-0.0316528362865281,0.0282161857190677,0.0,-0.007996056447298,False,True,0.5551413180377204,k16_v7,sn_dep,m8_ln_sn_dep_cstar
tasa_feed_Carbon_kg_min,-1,21.97081867901219,-0.0004235416613614,-0.0440846307105889,0.04401822266231,-6.685670429640955e-05,-0.0104013167589092,-1.071491494704312e-56,0.742,0.8965067432227678,False,False,0.3374124201454607,k16_v7,feo_ret,m6_ln_feo_ret
Cx_av_v6,-1,16.541070931971895,0.0003122559510017,-0.037994877235226,0.0356247103363371,-2.7846591839596864e-14,-0.0093750080716679,-1.867182144077764e-65,0.684,0.8543071270819762,False,False,0.3374124201454607,k16_v7,feo_ret,m6_ln_feo_ret
tasa_gn_nm3_min,-1,4.926183847561063,-0.0080985806478398,-0.0178006985006698,0.0001341009375842,-0.008093263745158,-0.0156157835596077,-2.2507928096371764e-09,0.028,0.6821047745982997,False,True,0.3374124201454607,k16_v7,feo_ret,m6_ln_feo_ret
