palanca,signo_teorico,sd_palanca,theta_libre_1sd,ci_lo_libre_1sd,ci_hi_libre_1sd,theta_acot_1sd,ci_lo_acot_1sd,ci_hi_acot_1sd,frac_replicas_en_cota,r2_balance_oof,identificado_libre,interior,r2_oof_plm_interno,forma,tercio,n
Cx_sn_v6,1,343.08324451531877,-0.01837817231929032,-0.21696475756232012,0.13420696658951273,1.9638789172462897e-11,7.548968108456794e-20,0.12863130575642584,0.6733333333333333,0.9463167817914728,False,False,0.7174190342205671,F0,0,363
Cx_sn_v6,1,345.1534011318483,0.18367861428554355,-0.053461369439205944,0.3355204803840974,0.18027698638298006,3.643438081145815e-13,0.3251254958134117,0.043333333333333335,0.9583487565932185,False,True,0.7654840342465363,F0,1,355
Cx_sn_v6,1,299.5896065246087,0.2813340367333492,0.01631347619480966,0.5664920301697313,0.2813340367333492,0.019783142161469564,0.5689056176234697,0.016666666666666666,0.9699007242091304,True,True,0.7660710230989454,F0,2,365
m8_ln1p_dosis,1,0.1428605949466735,-0.015572870597984387,-0.07067632918473521,0.03366819695634238,1.4319087056377092e-22,1.6793259360823824e-37,0.041165344081082494,0.6,0.37925231717729313,False,False,0.7174190342206503,F2,0,363
m8_ln1p_dosis,1,0.10235723495651161,0.028358054948948462,-0.027846820977519962,0.08584898029818812,0.021555400418562742,3.339015537137182e-24,0.06964828519225588,0.19666666666666666,0.49099678689724424,False,False,0.7631990108028827,F2,1,355
m8_ln1p_dosis,1,0.11179812423687627,0.006511861713135922,-0.05298572791133338,0.08439123988123447,0.006511861713135922,1.0733510272914706e-33,0.07778088518881118,0.42,0.6205347415951348,False,False,0.7606856229464205,F2,2,365
m8_dosis,1,0.2036254763320627,0.019447920465105756,-0.06640163551239675,0.13640548964919633,0.030603527984429342,2.8166452639049247e-24,0.15251720714048664,0.16333333333333333,0.3127750519936784,False,False,0.7184830848351169,F3,0,363
m8_dosis,1,0.13054711184105705,0.05682146309123435,-0.0580952250962478,0.16703830372228162,0.05082522204883641,1.4771425105279806e-23,0.1611432755137154,0.09,0.48623534953333025,False,False,0.7634065872547987,F3,1,355
m8_dosis,1,0.14357267890960715,0.00610906618754742,-0.1166837750208533,0.1305487158135919,0.00610906618754742,7.392090529411893e-31,0.1279039666659059,0.32666666666666666,0.6308493302632497,False,False,0.7606608509092104,F3,2,365
m8_ln1p_dosis,1,0.1428605949466735,-0.0864411486562221,-0.42661635518019625,0.2510001199355323,1.2254757665402976e-14,9.159035017984438e-34,0.3023745576642092,0.3433333333333333,0.37925231717729313,False,False,0.717502973300382,F4,0,363
m8_ln1p_dosis,1,0.10235723495651161,0.0689484210152894,-0.2863556382153344,0.3910196780811756,0.06250779438533853,2.455707853143261e-23,0.39548729899134943,0.09,0.49099678689724424,False,False,0.7632323361849684,F4,1,355
m8_ln1p_dosis,1,0.11179812423687627,0.2746858233833301,-0.005967581577562672,0.5778567406252315,0.2746858233833301,0.007859178315064838,0.5738376709923068,0.016666666666666666,0.6205347415951348,False,True,0.7620808046868253,F4,2,365
