orden_escalon_fase,variable,n,media,sd,P5,P10,P50,P90,P95,pct_fin_campana,n_fin_campana,p10_espesor_global_mm
1,carbon_kg_min,299,35.1929733889845,5.661174506614887,27.731513659544664,28.393635500512943,34.870639993686865,42.08046762117775,44.45154394284643,10.033444816053512,30,237.72185464406246
1,gn_nm3_min,299,30.008020512949255,1.3713565839387662,27.374082049173023,28.642717459630482,30.381128364139133,31.1268791639895,31.23194996399691,10.033444816053512,30,237.72185464406246
1,o2_nm3_min,299,45.806703881993755,3.3329247641946558,39.12293080873843,42.58770322385668,46.55003978587963,48.73632215469603,48.958431604173455,10.033444816053512,30,237.72185464406246
1,aire_nm3_min,299,120.40417040369398,5.882558545729313,119.0304232237074,119.13789470248751,119.88939272562662,122.89440634011419,123.00181578742134,10.033444816053512,30,237.72185464406246
2,carbon_kg_min,299,47.986905208751885,7.390421618872878,36.84000654789439,39.30916457158495,48.82007531952439,55.81310583281935,57.31936315168413,10.033444816053512,30,237.72185464406246
2,gn_nm3_min,299,30.067310060763482,1.6087788848893425,27.600556301158374,28.44947168848536,30.45385175825239,31.209948611331054,31.495631760605818,10.033444816053512,30,237.72185464406246
2,o2_nm3_min,299,46.09157612321805,3.7726375662093816,38.021629407040706,41.73362724493674,47.07260937887525,49.1384686407599,49.77061826963682,10.033444816053512,30,237.72185464406246
2,aire_nm3_min,299,120.12587704805294,7.289398274557396,118.85702225785357,119.05635855643241,119.97721973682668,123.0390865694621,123.19395629107763,10.033444816053512,30,237.72185464406246
3,carbon_kg_min,299,51.41605323438067,7.951518936433213,41.023633378924934,42.150742761028866,52.10957466539487,59.555811758115304,62.03526849791061,10.033444816053512,30,237.72185464406246
3,gn_nm3_min,298,30.156039084178172,1.5233019001766102,26.597323304185785,28.03000356252999,30.538074396893975,31.404199885457984,31.547657978561464,10.033444816053512,30,237.72185464406246
3,o2_nm3_min,299,46.5578074612605,4.080712439209938,40.3725925394694,43.177410361498836,47.32512311985883,49.61206017077115,49.8973340441184,10.033444816053512,30,237.72185464406246
3,aire_nm3_min,299,119.77282725209568,9.778983002507047,118.21467707558284,119.15974650065104,120.39266396174355,123.23244115565063,123.55539098668982,10.033444816053512,30,237.72185464406246
4,carbon_kg_min,299,51.763436336424874,6.880000488510805,40.18793051893275,45.6942064213041,52.19705590142144,58.083736182318795,62.03914726920749,10.033444816053512,30,237.72185464406246
4,gn_nm3_min,299,30.320654801246462,2.1055284043447755,28.1126588637205,28.962484151892422,30.748826314941986,31.511262414810506,31.70680283855321,10.033444816053512,30,237.72185464406246
4,o2_nm3_min,299,46.97860376581206,4.176380244813657,41.18176195541955,43.76984387485379,47.85570245837489,49.84006794836968,50.20020843866588,10.033444816053512,30,237.72185464406246
4,aire_nm3_min,299,120.627981467626,7.63104252134714,118.9530248561706,119.28701471925308,120.83013904472335,123.47134821802355,123.84533550668272,10.033444816053512,30,237.72185464406246
5,carbon_kg_min,299,48.14847503559947,4.952706492246052,41.17806512519803,43.245772113295835,48.403671629323895,53.2059308313745,55.479734000976194,10.033444816053512,30,237.72185464406246
5,gn_nm3_min,299,30.45659204579691,1.3923688481339958,27.376372991995527,28.82218440653483,30.82654041388096,31.642607747917502,31.80423892224956,10.033444816053512,30,237.72185464406246
5,o2_nm3_min,299,47.283267739754784,3.23622828187019,41.13709656586445,44.37795404133205,47.971707817314766,50.111835846208095,50.795981734838236,10.033444816053512,30,237.72185464406246
5,aire_nm3_min,299,120.90561092203876,3.203457530047055,118.50015469647269,119.31855014898836,120.65751467973756,123.4466159307923,123.84213745117187,10.033444816053512,30,237.72185464406246
6,carbon_kg_min,299,43.09065826018006,6.127606547048534,33.38570373381391,35.17086189852021,43.71362830053402,50.207151295292846,52.17928429100589,10.033444816053512,30,237.72185464406246
6,gn_nm3_min,299,30.37193721578643,1.5001867648405742,27.809073626756934,28.60162788445058,30.7841804790222,31.540171932502272,31.75976264053609,10.033444816053512,30,237.72185464406246
6,o2_nm3_min,299,47.172092359127774,3.209867101315328,40.83932355199851,43.345978184263956,48.00197032925094,49.89955718955781,50.410239208547004,10.033444816053512,30,237.72185464406246
6,aire_nm3_min,299,120.39355760126362,5.158710628427489,115.76091554225158,119.26345134021658,120.38906139555434,123.33867083079681,123.66575371430778,10.033444816053512,30,237.72185464406246
