Batch,fase_proceso,orden_escalon_fase,fecha_inicio,ln_sn_dep,ln_feo_ret,sdi,irf_next
AP0001,Fusión,0,2026-04-21 18:36:00,,,,0.20731935307358032
AP0001,Fusión,1,2026-04-21 19:06:00,,,,0.22536684712992663
AP0001,Fusión,2,2026-04-21 19:41:00,,,,0.24863490636322524
AP0001,Fusión,3,2026-04-21 20:21:00,,,,0.2536298842746682
AP0001,Fusión,4,2026-04-21 21:06:00,,,,0.25737840332536166
AP0001,Fusión,5,2026-04-21 21:56:00,,,,0.24973767480348374
AP0001,Fusión,6,2026-04-21 22:51:00,,,,0.22545952375523076
AP0001,Reducción,0,2026-04-22 00:21:00,1.6117170549293878,-0.09326559542163837,0.6790611007130041,
AP0001,Reducción,1,2026-04-22 00:51:00,1.0233796325173201,-0.025641637729379795,0.7669632552235222,
AP0001,Reducción,2,2026-04-22 01:16:00,0.21190269858093846,-0.062490338507345575,-0.4130006864925173,
AP0001,Reducción,3,2026-04-22 01:36:00,,,,
AP0002,Fusión,0,2026-04-22 03:22:00,,,,0.2000271482591093
AP0002,Fusión,1,2026-04-22 03:52:00,,,,0.27170631915627874
AP0002,Fusión,2,2026-04-22 04:27:00,,,,0.2665242633993876
AP0002,Fusión,3,2026-04-22 05:07:00,,,,0.2586756551378449
AP0002,Fusión,4,2026-04-22 05:52:00,,,,0.26427866371967085
AP0002,Fusión,5,2026-04-22 06:42:00,,,,0.2392095232601594
AP0002,Fusión,6,2026-04-22 07:37:00,,,,0.24455111264479842
AP0002,Reducción,0,2026-04-22 09:13:00,1.3373938061838548,-0.06469548083541593,0.6904389978296955,
AP0002,Reducción,1,2026-04-22 09:43:00,0.5946189600543031,0.01005164985126146,0.6951354585669177,
AP0002,Reducción,2,2026-04-22 10:08:00,0.6122389886720715,-0.07084170436535511,-0.09617805498147958,
AP0002,Reducción,3,2026-04-22 10:28:00,0.27384234109802097,-0.11296395376555336,-0.8557971965575127,
AP0003,Fusión,0,2026-04-22 12:29:00,,,,0.2347297056749077
AP0003,Fusión,1,2026-04-22 12:59:00,,,,0.2771564459635701
AP0003,Fusión,2,2026-04-22 13:34:00,,,,0.2609583667217033
AP0003,Fusión,3,2026-04-22 14:14:00,,,,0.27215528735545197
AP0003,Fusión,4,2026-04-22 14:59:00,,,,0.26134564542714284
AP0003,Fusión,5,2026-04-22 15:49:00,,,,0.2670161252188784
AP0003,Fusión,6,2026-04-22 16:44:00,,,,0.23195935470162957
AP0003,Reducción,0,2026-04-22 18:20:00,1.812711206967029,-0.024367767880026245,1.5690335281667667,
AP0003,Reducción,1,2026-04-22 18:50:00,0.5180462568171804,-0.08818986677139053,-0.3638524108967248,
AP0003,Reducción,2,2026-04-22 19:15:00,0.3193647184044996,-0.03349960956170251,-0.0156313772125255,
AP0003,Reducción,3,2026-04-22 19:35:00,,,,
AP0004,Fusión,0,2026-04-22 21:08:00,,,,0.20645258758039672
AP0004,Fusión,1,2026-04-22 21:38:00,,,,0.2272849479535657
AP0004,Fusión,2,2026-04-22 22:13:00,,,,0.2419900226035395
AP0004,Fusión,3,2026-04-22 22:53:00,,,,0.2391872205583446
AP0004,Fusión,4,2026-04-22 23:38:00,,,,0.23751342146426357
AP0004,Fusión,5,2026-04-23 00:28:00,,,,0.22346876736103338
AP0004,Fusión,6,2026-04-23 01:23:00,,,,0.21124018640785558
AP0004,Reducción,0,2026-04-23 03:00:00,1.8478293459087847,0.035982380273130596,2.2076531486400905,
AP0004,Reducción,1,2026-04-23 03:30:00,0.15635986365608903,0.008208622218926227,0.2384460858453513,
AP0004,Reducción,2,2026-04-23 03:55:00,0.9338578456965179,-0.0961228679845628,-0.027370834149110124,
AP0004,Reducción,3,2026-04-23 04:15:00,,,,
AP0005,Fusión,0,2026-04-23 05:45:00,,,,0.15125975558658047
AP0005,Fusión,1,2026-04-23 06:15:00,,,,0.2287445318945625
AP0005,Fusión,2,2026-04-23 06:50:00,,,,0.25273286584238125
AP0005,Fusión,3,2026-04-23 07:30:00,,,,0.2328594524544811
AP0005,Fusión,4,2026-04-23 08:15:00,,,,0.22575632768745157
AP0005,Fusión,5,2026-04-23 09:05:00,,,,0.2267434552880941
AP0005,Fusión,6,2026-04-23 10:00:00,,,,0.2191233540861664
AP0005,Reducción,0,2026-04-23 11:23:00,1.4645022219146402,-0.24455292658837505,-0.9810270439691104,
AP0005,Reducción,1,2026-04-23 11:53:00,-0.08513485531360279,0.17675041254147536,1.6823692701011508,
AP0005,Reducción,2,2026-04-23 12:18:00,0.32686097307922735,0.027156163611361202,0.5984226091928393,
AP0005,Reducción,3,2026-04-23 12:38:00,0.6066987565117219,-0.12857338260987067,-0.6790350695869849,
AP0006,Fusión,0,2026-04-23 14:40:00,,,,0.15388562081113888
AP0006,Fusión,1,2026-04-23 15:10:00,,,,0.16925750281639948
AP0006,Fusión,2,2026-04-23 15:45:00,,,,0.1806581217213845
AP0006,Fusión,3,2026-04-23 16:25:00,,,,0.18576574175682922
AP0006,Fusión,4,2026-04-23 17:10:00,,,,0.19785129098740611
AP0006,Fusión,5,2026-04-23 18:00:00,,,,0.19643520626283287
AP0006,Fusión,6,2026-04-23 18:55:00,,,,0.20800843954439585
AP0006,Reducción,0,2026-04-23 20:10:00,1.8838057830094754,-0.13167198467116134,0.567085936297862,
AP0006,Reducción,1,2026-04-23 20:40:00,0.8463624455418156,-0.08003769956050177,0.04598544993679787,
AP0006,Reducción,2,2026-04-23 21:05:00,,,,
AP0006,Reducción,3,2026-04-23 21:25:00,,,,
AP0007,Fusión,0,2026-04-23 22:38:00,,,,0.14071885811312163
AP0007,Fusión,1,2026-04-23 23:08:00,,,,0.1809515733365172
AP0007,Fusión,2,2026-04-23 23:43:00,,,,0.17910778829872318
AP0007,Fusión,3,2026-04-24 00:23:00,,,,0.18061752026692712
AP0007,Fusión,4,2026-04-24 01:08:00,,,,0.17945508774237962
AP0007,Fusión,5,2026-04-24 01:58:00,,,,0.18627668698170957
AP0007,Fusión,6,2026-04-24 02:53:00,,,,0.20242349628508305
AP0007,Reducción,0,2026-04-24 04:11:00,1.7446206691971702,-0.23489107492447583,-0.6042900800475881,
AP0007,Reducción,1,2026-04-24 04:41:00,0.2806127266727337,0.14006731730193167,1.6812858996920503,
AP0007,Reducción,2,2026-04-24 05:06:00,,,,
AP0007,Reducción,3,2026-04-24 05:26:00,,,,
AP0008,Fusión,0,2026-04-24 07:23:00,,,,0.14819022681327984
AP0008,Fusión,1,2026-04-24 07:53:00,,,,0.18579935139387388
AP0008,Fusión,2,2026-04-24 08:28:00,,,,0.23281143295664355
AP0008,Fusión,3,2026-04-24 09:08:00,,,,0.22228908190822777
AP0008,Fusión,4,2026-04-24 09:53:00,,,,0.2234689463127353
AP0008,Fusión,5,2026-04-24 10:43:00,,,,0.21846756132738396
AP0008,Fusión,6,2026-04-24 11:38:00,,,,0.22169061471009494
AP0008,Reducción,0,2026-04-24 12:58:00,1.7359769508320402,-0.12704021752742106,0.46557477555782967,
AP0008,Reducción,1,2026-04-24 13:28:00,0.5335735972443676,-0.05951322851290909,-0.061558687884723295,
AP0008,Reducción,2,2026-04-24 13:53:00,0.09631324784400858,-0.02978096514769326,-0.20149640363292404,
AP0008,Reducción,3,2026-04-24 14:13:00,0.4936885369385058,-0.032502925338094214,0.16865928355756366,
