id,fase,regla,agg_registrada,rho_dev,p_dev,n_dev,rho_lockbox,p_lockbox,n_lockbox
R01_sn_ext,Reducción,sum,sum,0.021351763692002968,0.7135583323381609,298,0.044450844854070665,0.7294001737744276,63
R01_sn_ext,Reducción,mean,sum,-0.02677376444519718,0.6452815867331316,298,-0.04041858678955453,0.7531284950435037,63
R01_sn_ext,Reducción,twmean,sum,-0.011561145789333708,0.8424628525111577,298,0.06686827956989248,0.602571828927492,63
R01_sn_ext,Reducción,last,sum,-0.0693698222148762,0.2325113272560184,298,0.2970430107526882,0.018072757485069948,63
R01_sn_ext,Reducción,first,sum,0.01068733166778104,0.8542316880390878,298,0.09408602150537636,0.46327814367971076,63
R01_sn_ext,Reducción,min,sum,-0.06786388723943436,0.24283271077536345,298,-0.023329493087557607,0.8559840013087273,63
R01_sn_ext,Reducción,max,sum,0.011839115720061152,0.8387262533540655,298,0.09451804915514593,0.4612180153660649,63
R01_sn_ext,Reducción,median,sum,0.012099854235833225,0.8352245701594618,298,-0.05688364055299539,0.6578977548997645,63
R01_sn_ext,Reducción,coherente,sum,0.021351763692002968,0.7135583323381609,298,0.044450844854070665,0.7294001737744276,63
R02_feo_ret,Reducción,sum,sum,0.2740171532117841,1.630877218518332e-06,297,-0.13628072196620586,0.2868704033684845,63
R02_feo_ret,Reducción,mean,sum,0.27936264513445724,9.987360957693416e-07,297,-0.10431067588325653,0.4158834702467772,63
R02_feo_ret,Reducción,twmean,sum,0.275623549113482,1.408939638981289e-06,297,0.017473118279569894,0.8918832005183375,63
R02_feo_ret,Reducción,last,sum,0.13001821223297735,0.02504135700636714,297,-0.19738863287250388,0.12098558261368514,63
R02_feo_ret,Reducción,first,sum,0.1828799513363272,0.0015500805022995237,297,0.06686827956989248,0.602571828927492,63
R02_feo_ret,Reducción,min,sum,0.1453616520730615,0.012145525408043027,297,0.15653801843317974,0.22051078845246577,63
R02_feo_ret,Reducción,max,sum,0.15479481922434943,0.007527408531693742,297,-0.1270641321044547,0.32101512427108114,63
R02_feo_ret,Reducción,median,sum,0.2180846190913305,0.00015171173880833917,297,-0.21860599078341017,0.08520152330441016,63
R02_feo_ret,Reducción,coherente,sum,0.2740171532117841,1.630877218518332e-06,297,-0.13628072196620586,0.2868704033684845,63
R03_sn_net_l03,Reducción,sum,sum,0.016265044788534723,0.7801349768422771,297,0.041474654377880185,0.7468908972628707,63
R03_sn_net_l03,Reducción,mean,sum,-0.013469082261028572,0.8171954713839819,297,-0.030193932411674344,0.8142775663269164,63
R03_sn_net_l03,Reducción,twmean,sum,-0.010302095872565671,0.8596661874370884,297,0.07594086021505377,0.5541540846719115,63
R03_sn_net_l03,Reducción,last,sum,0.017174740329102746,0.7681789704988741,297,0.22753456221198157,0.07290272325058898,63
R03_sn_net_l03,Reducción,first,sum,-0.002573348210932104,0.9647757985599896,297,0.11727150537634407,0.36001424032903273,63
R03_sn_net_l03,Reducción,min,sum,-0.008972364677062665,0.8776270965709064,297,0.011376728110599078,0.9294836111990287,63
R03_sn_net_l03,Reducción,max,sum,-0.0023072187501717704,0.9684165977115196,297,0.11770353302611368,0.35823489182128715,63
R03_sn_net_l03,Reducción,median,sum,0.04695100836040434,0.420143891166007,297,-0.17108294930875578,0.1800359278812381,63
R03_sn_net_l03,Reducción,coherente,sum,0.016265044788534723,0.7801349768422771,297,0.041474654377880185,0.7468908972628707,63
R04_sn_net_l06,Reducción,sum,sum,0.03496235711000812,0.548390913523598,297,0.0424347158218126,0.7412343377675514,63
R04_sn_net_l06,Reducción,mean,sum,0.009282009282009283,0.8734387213547424,297,-0.004896313364055299,0.9696197044096017,63
R04_sn_net_l06,Reducción,twmean,sum,0.007702180520972468,0.8948425576378616,297,0.09725422427035331,0.4482871431900163,63
R04_sn_net_l06,Reducción,last,sum,0.10719703840509211,0.06504780313025788,297,0.055779569892473124,0.6641365631816488,63
R04_sn_net_l06,Reducción,first,sum,0.008516142744330666,0.883804316893296,297,0.11707949308755762,0.3608067958456357,63
R04_sn_net_l06,Reducción,min,sum,0.10993253778488679,0.058451957497381836,297,-0.0024961597542242702,0.9845093039854641,63
R04_sn_net_l06,Reducción,max,sum,0.008452473217573888,0.8846669667861673,297,0.11751152073732721,0.3590250463069973,63
R04_sn_net_l06,Reducción,median,sum,0.06630791865691195,0.2546342229765743,297,-0.3042914746543779,0.01532210379883411,63
R04_sn_net_l06,Reducción,coherente,sum,0.03496235711000812,0.548390913523598,297,0.0424347158218126,0.7412343377675514,63
R05_sn_net_l10,Reducción,sum,sum,0.05716149340310415,0.3262219555747283,297,0.046610983102918585,0.7167901678063662,63
