target,descripcion,rho_dev,p_dev,n_dev,ci_lo_dev,ci_hi_dev,ols_coef_sd_dev,ols_ci_lo_dev,ols_ci_hi_dev,ols_p_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,n_lockbox,ci_lo_lockbox,ci_hi_lockbox,ols_coef_sd_lockbox,ols_ci_lo_lockbox,ols_ci_hi_lockbox,ols_p_lockbox,ols_r2adj_lockbox,rho_total,p_total,n_total,ci_lo_total,ci_hi_total,ols_coef_sd_total,ols_ci_lo_total,ols_ci_hi_total,ols_p_total,ols_r2adj_total,rho_dev_T1,p_dev_T1,n_dev_T1,rho_dev_T2,p_dev_T2,n_dev_T2,rho_dev_T3,p_dev_T3,n_dev_T3,rho_dev_f_dross,p_dev_f_dross,rho_dev_f_polvo,p_dev_f_polvo,rho_dev_f_metal,p_dev_f_metal,rho_dev_recuperacion_real_pct,p_dev_recuperacion_real_pct,quintiles_dev,monotonia_dev,delta_Q5_Q1_pp,p_bh_dev_37tests
R_sdi,Reducción: SDI_w (w=10) = ln(Sn_ini/Sn_fin) + w·ln(FeO_fin/FeO_ini),0.31902295393951363,3.461131920085165e-08,286,0.21005991667146393,0.427172787990666,1.5519713415266854,0.9281217430041119,2.1758209400492587,1.0833135092297635e-06,0.12304172604724994,0.09379800307219663,0.4646543359147226,63,-0.1531782656457237,0.32947147410292205,0.26181818700036086,-0.7656320363141147,1.2892684103148364,0.6174663764467617,0.024443910737268038,0.27981481220094007,1.065610557184924e-07,349,0.18156736365494539,0.37382406086190717,1.4151216554721118,0.9055493534494201,1.9246939574948034,5.2399055358762405e-08,0.10793219985541114,0.1911697368884506,0.07439383171648466,88,0.3514431443144314,0.0003366559827758591,100,0.47984367130169775,5.749307859368287e-07,98,-0.19620097489160387,0.0008498989474957023,-0.18231601517865959,0.001963309914991223,0.31902295393951363,3.461131920085165e-08,0.12307153693546505,0.037513830791437545,66.49 / 68.74 / 69.26 / 69.54 / 70.86,4,4.368227606170365,7.268377032178848e-07
R_ln_feo_ret,"Reducción: componente FeO, ln(FeO_fin/FeO_ini)",0.3154044928114248,5.026715378735499e-08,286,0.2052211701695524,0.4182784817237834,1.4064209225480124,0.8133251493251956,1.9995166957708292,3.356480100578053e-06,0.10457168793167482,-0.061011904761904774,0.6347780690262769,63,-0.29214758673722285,0.17365783051953257,-0.2947539518459261,-1.2707722044274883,0.6812643007356359,0.5539162321874662,0.02584775474157197,0.24361342046946233,4.138582715795068e-06,349,0.1436938592733718,0.34557878096685507,1.188851041747953,0.6968150364398882,1.6808870470560178,2.183652610549839e-06,0.08041053301015733,0.28519601282096446,0.007074822733071227,88,0.31609960996099606,0.0013561681538237895,100,0.38809938220836593,7.85991491187377e-05,98,-0.184230916708452,0.0017551749813624438,-0.1888650502257691,0.001332264026017506,0.3154044928114248,5.026715378735499e-08,0.09598950471864463,0.10524016270144002,66.72 / 68.54 / 68.47 / 70.50 / 70.65,3,3.930038842850024,
R_ln_sn_dep,"Reducción: componente Sn, ln(Sn_ini/Sn_fin)",-0.06247795849849764,0.29234103562273,286,-0.1783044198263458,0.05284132039942762,0.07175264141680465,-0.539954548827553,0.6834598316611624,0.8181680663334792,0.011332092527604698,0.35335061443932414,0.004501019629224942,63,0.11792293427116607,0.5487135642818772,1.2222168443678298,0.2466361644327043,2.1977975243029553,0.014070374469567918,0.10396179944953099,0.021521871074286842,0.6886662550153835,349,-0.07684072134747891,0.1281329807224859,0.3480041648792939,-0.13688880053112656,0.8328971302897143,0.15953062387769157,0.01796840185704318,-0.22348631608608366,0.0363435231686673,88,-0.007548754875487548,0.9405810843637766,100,0.04293938756383528,0.6746184368697902,98,0.033288149591102094,0.575040473034718,0.025741908925477605,0.6646512007846087,-0.06247795849849764,0.29234103562273,0.02980562441409681,0.6156936245078694,68.97 / 69.07 / 68.79 / 69.93 / 68.09,2,-0.879958736758752,
F_irf_fin,Fusión: IRF al fin de Fusión (último escalón),0.1946100134019597,0.0007308906527144725,298,0.08952168045054339,0.30290259406896264,1.2116097974733062,0.7062320467742438,1.7169875481723686,2.6158661678594682e-06,0.05565173350449326,0.3309331797235023,0.00806827788661696,63,0.07056846096240484,0.5520412842300261,1.3476999258720843,-0.027744335056969938,2.7231441868011386,0.05480370860592599,0.10546811462149763,0.22511210419185498,1.575617355042247e-05,361,0.11817989812890266,0.32590237978438474,1.1949409687270007,0.7271262784758544,1.662755658978147,5.547358394276625e-07,0.06222775082285892,0.15738373837383737,0.11786146226682714,100,0.17488148814881485,0.08181237544008702,100,0.3093612327780221,0.0019375758003382971,98,-0.05259730704726327,0.3655815423402192,-0.2107821497958644,0.0002476986251983197,0.1946100134019597,0.0007308906527144725,0.27763369140667066,1.123890266805925e-06,67.97 / 68.19 / 69.04 / 70.39 / 69.96,3,1.9978522354303294,0.006212570548073016
F_irf_F0,"Fusión: IRF al cierre de F0 (estado inicial, referencia)",0.3198949407003099,1.7146301759999746e-08,297,0.21116517764322715,0.4223071409743269,1.665753526633817,1.2171244772479726,2.1143825760196617,3.405182047975672e-13,0.11980854550670328,0.5699932008763315,1.3269255387361718e-06,62,0.3822757176868065,0.70645892425399,2.251407957228714,1.3959522456093154,3.1068636688481126,2.492311760267337e-07,0.3052600438283174,0.3573982145728617,2.952086571238644e-12,359,0.26009482677404266,0.4463724456158726,1.6364473886558728,1.2252394065397891,2.0476553707719565,6.1960066820800464e-15,0.12816448860903706,0.299057905790579,0.0025072055240586318,100,0.3807620762076207,9.305360369651605e-05,100,0.37806385440774243,0.00013456690592875974,97,-0.1670619673975379,0.003885995888457077,-0.2494196453927998,1.3661941183218848e-05,0.3198949407003099,1.7146301759999746e-08,0.2486844684831262,1.4510769700995553e-05,68.23 / 67.05 / 68.81 / 69.68 / 71.74,3,3.5099424169976174,
ref_v4_R,"referencia v4: Sn_ext − 0.6·FeO_ext (kg, Reducción)",0.03496235711000812,0.548390913523598,297,-0.07365404783185983,0.15022811456396767,0.06866399670620016,-0.5444191055232337,0.681747098935634,0.8262514076655629,0.0012644697366296365,0.0424347158218126,0.7412343377675514,63,-0.21811177002765603,0.29186661411512826,0.0222549799681655,-1.1565603963012883,1.2010703562376193,0.9704831184168248,0.021041402008900367,0.06067665131160992,0.25083937756467456,360,-0.0389496232415469,0.15625907170666922,0.1296434031387913,-0.378384528316528,0.6376713345941106,0.6169608261808748,0.006327328122266884,-0.03716771677167716,0.7135211841060655,100,0.04027602760276028,0.6907347994085701,100,0.11647906585314537,0.25587856295833533,97,-0.10459437472860292,0.07187872361135243,0.07284297720539333,0.21067085654942855,0.03496235711000812,0.548390913523598,0.14454906401215126,0.012641264388438796,69.00 / 68.30 / 69.57 / 68.95 / 69.50,2,0.5079453645313095,
ref_v4_F,"referencia v4: Sn extraído en Fusión (kg, signo −)",0.0632000687442765,0.27681384732913494,298,-0.05004582159090928,0.17681313211494426,0.11368651305780424,-0.5819885448438822,0.8093615709594906,0.7487444641872403,0.0015615951917193893,0.18663594470046085,0.14302578212438646,63,-0.0835444313688424,0.4282302235030614,1.3222061921590762,0.5224017317522961,2.1220106525658564,0.0011947202506814995,0.11879619448093304,0.07298403758742596,0.16644009163740536,361,-0.026480303944172747,0.17143092750909936,0.2801544913769367,-0.3391925295305356,0.899501512284409,0.3753119951289865,0.009474131466483682,0.08765676567656765,0.38582260981741895,100,-0.056417641764176414,0.5771669549075501,100,0.1280020911832399,0.2090899184856235,98,-0.1795919283517766,0.0018547688013274173,0.13414407140698356,0.02053466754516276,0.0632000687442765,0.27681384732913494,0.2507331853698938,1.185129143671308e-05,69.11 / 68.49 / 69.69 / 68.32 / 69.91,2,0.8007464461611704,
