kpi,modelo,n_dev,r2_oof_mean,r2_oof_sd,r2_oof_min,r2_oof_max,rho_oof_mean,rho_oof_sd,rho_oof_min,rho_oof_max,mae_oof_mean,r2_lockbox,rho_lockbox,p_lockbox,mae_lockbox,n_lockbox
rendimiento_proxy_batch,Ridge,299,0.19736328191444868,0.02068693156051351,0.17124293632591436,0.22062337942305477,0.46365055778770403,0.01405978504848235,0.45181252946061823,0.4810177100401787,3.1524887471504104,0.0894233351189827,0.3364535330261137,0.0070149690058746396,3.2180405821918945,63
rendimiento_proxy_batch,Lasso,299,0.18790966525184546,0.004685484637432725,0.18437892321710048,0.1959170284023637,0.44960723665013136,0.008529900051784268,0.4407106462256739,0.46015218513613615,3.2131413850102577,0.0276350530640741,0.3054435483870968,0.014919835189099872,3.291959625090145,63
rendimiento_proxy_batch,ElasticNet,299,0.1887037184702379,0.008023193164209713,0.1813812366617238,0.2005068019139199,0.4497596013557496,0.006132060737949517,0.44428632353931446,0.45687324639177573,3.2117524389148455,0.03158398255150774,0.3145161290322581,0.012057133116064996,3.280779759729247,63
rendimiento_proxy_batch,HGB,299,0.11276721399346248,0.02860917084479865,0.07596156677743748,0.13670299777942008,0.39440605149154906,0.027765487664510882,0.3604610446454625,0.4267985005948239,3.4030266243742977,0.12646823268268537,0.4883352534562212,4.902324096623712e-05,2.9317909708788688,63
rendimiento_proxy_batch,OLS_ganadores,299,0.1704474519280916,0.01025344777021197,0.15269135691805846,0.17902973661816823,0.41574734573859173,0.011186582723734498,0.3967601176180108,0.42479270947902403,3.2592480441610676,0.080491426919448,0.4440284178187405,0.0002670611436017502,3.153600838177743,63
f_dross,Ridge,299,0.1606875916513088,0.02714280417797004,0.1158291463124318,0.1892730797275598,0.4158060649592602,0.02089721890819384,0.38481515566429486,0.44151691320060155,0.027056948734968896,-0.24074669828069228,0.2907066052227343,0.020812475450207864,0.035626514297334516,63
f_dross,Lasso,299,0.16068277869556566,0.02431594621436003,0.1198347244983371,0.18340758311686356,0.4048424502255842,0.02070518663311941,0.377815088325739,0.43018742564701135,0.02692791293140625,-0.5672370245423317,0.2700652841781874,0.03230620603642286,0.03909847670246347,63
f_dross,ElasticNet,299,0.1605489340777311,0.0264021866626133,0.11665318904187805,0.1832610487507682,0.4060021099414154,0.02374264853053489,0.37471527013983974,0.4323229557136765,0.026946266894903648,-0.5478285778692542,0.2615687403993856,0.03838074840366637,0.0388526098997926,63
f_dross,HGB,299,0.13919161566589675,0.016720443864595258,0.11046911402107595,0.1526236778354605,0.4108624273304752,0.02700541595783783,0.3630665978316985,0.4273731229377568,0.02676132093548438,0.14501328139799574,0.588565668202765,3.9115293384503676e-07,0.02912359247291522,63
f_dross,OLS_ganadores,299,0.058514784112161336,0.006042305089714021,0.05335630388946255,0.06858114789611702,0.20293452447756502,0.012452151657964584,0.18503063904289466,0.21855222105003252,0.02890885647240297,-0.15387655019911683,0.22926267281105994,0.07069468185581917,0.033785008610051105,63
