id,fase,feature,importancia_mean,importancia_std,corr_con_target,sospechosa_fuga
F07_T_media,Fusión,temperatura_horno_celsius_prev,1.672269651640104,0.04734474241918616,-0.9745099279979367,True
F07_T_media,Fusión,grad_temperatura_horno_celsius_prev,0.012617971215907717,0.0019669671439341272,-0.11172831280561979,False
F07_T_media,Fusión,espesor_ladrillo_norm_mm,0.006444460243917894,0.0010876919146993178,-0.7657339163162171,False
F07_T_media,Fusión,tasa_o2_nm3_min,0.0021287044487855013,0.0009175881042331009,0.5047150718810923,False
F07_T_media,Fusión,posicion_vertical_lanza_mm_prev,0.0008012954334277555,0.0005796569646602281,-0.012030915244536925,False
F07_T_media,Fusión,termocupla_media_celsius_prev,0.0007217978915652568,0.0006524801976344995,0.6489521442436531,False
F07_T_media,Fusión,relacion_C_cum_Sn_cum_prev,0.0006770727131136267,0.000476821266327107,-0.337493340179877,False
F07_T_media,Fusión,cum_o2_nm3_prev,0.0004329305541901407,0.0005536044332324737,0.051315672241905565,False
F08_T_ventana,Fusión,temperatura_horno_celsius_prev,1.653247189954403,0.09245807859160404,-0.5846011281310436,False
F08_T_ventana,Fusión,grad_temperatura_horno_celsius_prev,0.02671086712451977,0.004232299589085452,-0.018721593457009786,False
F08_T_ventana,Fusión,espesor_ladrillo_norm_mm,0.007470597607551857,0.00329987228908419,-0.4569183522051188,False
F08_T_ventana,Fusión,tasa_o2_nm3_min,0.0038096822931298568,0.001873979344427984,0.4255842151057108,False
F08_T_ventana,Fusión,termocupla_media_celsius_prev,0.0034541327099169373,0.002314764902878761,0.39386035040292344,False
F08_T_ventana,Fusión,tiro_horno_pct_prev,0.0018631493174203983,0.0014065116018986802,0.41776044797439355,False
F08_T_ventana,Fusión,relacion_C_cum_Sn_cum_prev,0.0013146996955756807,0.000710122184778389,-0.22464408154662643,False
F08_T_ventana,Fusión,cum_feed_dross_Fe_kg_prev,0.0009613446382725632,0.0007961824644377618,0.05434227900930067,False
F10_irf_next,Fusión,indice_irf_prev,0.7160462838410215,0.04596302874818011,0.8287505093449384,False
F10_irf_next,Fusión,ley_feo_escoria_pct_prev,0.04144428784750241,0.02331758523898317,0.7421232984190294,False
F10_irf_next,Fusión,termocupla_media_celsius_prev,0.007457394592122037,0.007995310413073586,0.3508776805901893,False
F10_irf_next,Fusión,temperatura_horno_celsius_prev,0.005363966130964464,0.004893027091594286,-0.4070141926606055,False
F10_irf_next,Fusión,interaccion_Sn_x_FeO_prev,0.003917286742846704,0.004036955527979304,0.31980609938142995,False
F10_irf_next,Fusión,cum_feed_Carbon_kg_prev,0.0037467376251955065,0.005649279063735212,-0.15876808686584767,False
F10_irf_next,Fusión,ley_sio2_escoria_pct_prev,0.0031512516978072914,0.005068058285031784,-0.6302701699255971,False
F10_irf_next,Fusión,posicion_vertical_lanza_mm_prev,0.0029126725672939946,0.0042041547805059375,-0.1331429513399094,False
F01_sn_ext,Fusión,tiempo_fase,0.5616001324166247,0.09554912908637263,-0.7973988938563917,False
F01_sn_ext,Fusión,Cx_sn_v4,0.032299357333996095,0.006842508445615762,-0.585690169947316,False
F01_sn_ext,Fusión,feo_inventario_escoria_est_kg_prev,0.023815432975279903,0.009989345401565918,-0.7023462383514207,False
F01_sn_ext,Fusión,cum_feed_reciclo_kg_prev,0.01433433672437832,0.007456797864094418,-0.563933154495883,False
F01_sn_ext,Fusión,cum_feed_Sn_kg_prev,0.013594001625785578,0.008210004005797605,-0.7753246664251537,False
F01_sn_ext,Fusión,relacion_C_Sn_carga,0.012475003611936576,0.006937500130749921,-0.10310992734131111,False
F01_sn_ext,Fusión,cum_aire_nm3_prev,0.012215587071235991,0.01009557838640345,-0.7767855751894748,False
F01_sn_ext,Fusión,cum_gn_nm3_prev,0.011681387101819558,0.011027709965382649,-0.7766369926893101,False
F05_ley_feo_next,Fusión,ley_feo_escoria_pct_prev,0.9227267673581965,0.0882172066976152,0.8249828998188095,False
F05_ley_feo_next,Fusión,indice_irf_prev,0.00887779709756153,0.012838006596451708,0.7390765568544415,False
F05_ley_feo_next,Fusión,cum_feed_Sn_kg_prev,0.006100357154927254,0.0040882204981262755,0.18013712226560163,False
