id,fase,rho_tercio1,p_tercio1,n_tercio1,rho_tercio2,p_tercio2,n_tercio2,rho_tercio3,p_tercio3,n_tercio3,rho_lockbox,p_lockbox,n_lockbox,n_bloques_validos,n_bloques_signo_positivo,rho_min,rho_max,rho_media,rho_residual_total,p_residual_total,n_residual_total
R11_util_carbon,Reducción,-0.1057065706570657,0.295232581874914,100,-0.01621362136213621,0.8727957883622183,100,0.15019461392804542,0.14199220689253986,97,0.16306643625192013,0.20162055379862165,63,4,2,-0.1057065706570657,0.16306643625192013,0.047835214540190914,0.05212025956645556,0.3247403052788567,359
R12_d_avance,Reducción,-0.04326432643264326,0.6690850312417327,100,0.010861086108610859,0.9145918374231545,100,0.12098897665907973,0.23533515384926798,98,0.03129800307219662,0.8076140418414667,63,4,3,-0.04326432643264326,0.12098897665907973,0.029970934851810987,0.05463133717595557,0.3012652177608565,360
R13_sn_residual,Reducción,-0.23252325232523252,0.019911906275015108,100,-0.00828082808280828,0.9348307527980674,100,-0.0005813234384662955,0.9954435968576641,99,0.23223886328725038,0.06701758620830242,63,4,1,-0.23252325232523252,0.23223886328725038,-0.0022866351398141763,-0.04979109594282303,0.345509534018577,361
R14_log_sn_feo_next,Reducción,-0.18539453945394535,0.06479348686139434,100,0.0673987398739874,0.5052373167780914,100,0.30578849721706863,0.0020839516615770983,99,0.3169162826420891,0.011384380182147396,63,4,3,-0.18539453945394535,0.3169162826420891,0.12617724506979994,0.0739744825862271,0.16074720485941255,361
R15_d_log_sn_feo,Reducción,-0.055229522952295225,0.5852251855651848,100,0.04603660366036603,0.6492391977632247,100,0.2452358637925648,0.014939141695012877,98,0.32642089093702,0.009029266872291752,63,4,3,-0.055229522952295225,0.32642089093702,0.1406159588594139,0.1294063483000126,0.01400583927857973,360
R16_feo_por_sn_disp,Reducción,0.13547462355316492,0.1978833144821523,92,0.0709150915091509,0.483229035069957,100,0.10085458491589798,0.328212684220253,96,0.04478686635944701,0.7274338245202169,63,4,4,0.04478686635944701,0.13547462355316492,0.0880077915844152,0.13003418103704636,0.014918213583557962,350
R17_dT,Reducción,-0.13602160216021603,0.17720996508656797,100,-0.18858685868586858,0.06023677561970817,100,0.20331478045763757,0.043549805028542964,99,-0.21471774193548387,0.09104437949927781,63,4,1,-0.21471774193548387,0.20331478045763757,-0.08400285558098274,-0.024694296077501107,0.6400451112961133,361
R18_T_ventana,Reducción,-0.21038103810381034,0.035646723760897406,100,0.0458085808580858,0.650862558055959,100,-0.044106369820655536,0.6646585592943948,99,-0.221150153609831,0.08154126547369407,63,4,1,-0.221150153609831,0.0458085808580858,-0.10745724516905278,-0.07594006825729632,0.1498851569182172,361
R19_T_gas_bhf,Reducción,0.14339033903390339,0.1546660574981654,100,0.15218721872187216,0.13064636093296061,100,0.08432900432900432,0.40660304564921546,99,-0.002112135176651306,0.9868922598971888,63,4,3,-0.002112135176651306,0.15218721872187216,0.09444860672703213,0.10117792299883176,0.05477650796982959,361
R20_fe_metalizado_por_sn,Reducción,0.20236423642364232,0.04347248328292592,100,0.22190219021902188,0.026495969434735374,100,0.25690353460972015,0.011079153429823744,97,-0.05318740399385561,0.6788730705779166,63,4,3,-0.05318740399385561,0.25690353460972015,0.1569956393146322,0.18466619104551468,0.00043642540918300654,359
F01_sn_ext,Fusión,0.08765676567656765,0.38582260981741895,100,-0.056417641764176414,0.5771669549075501,100,0.1280020911832399,0.2090899184856235,98,0.18663594470046085,0.14302578212438646,63,4,3,-0.056417641764176414,0.18663594470046085,0.086469289949023,0.09117174258031825,0.0840876962768413,360
F02_frac_sn_ext,Fusión,0.04454113117747471,0.6599154660375627,100,-0.045112511251125115,0.6558281466813423,100,0.022410088684020935,0.8266269850142483,98,0.22849462365591397,0.07166933829233917,63,4,3,-0.045112511251125115,0.22849462365591397,0.06258333306657113,0.06396938755514342,0.22599005124831573,360
F03_feo_formado,Fusión,-0.025742574257425738,0.7993168030912677,100,-0.05748574857485748,0.5699669251669999,100,0.21922358446658885,0.030096870114644823,98,0.1261520737327189,0.32452925234837954,63,4,2,-0.05748574857485748,0.21922358446658885,0.06553683384175613,0.03771736921838388,0.47559714709387607,360
F04_feo_ret_por_fe,Fusión,0.0422082208220822,0.6767065759717903,100,0.021950195019501947,0.8283888624027915,100,0.24399900541284927,0.015469795746707236,98,0.2460637480798771,0.051899878451963116,63,4,4,0.021950195019501947,0.2460637480798771,0.13855529233357763,0.08306879939917232,0.11563581320224403,360
F05_ley_feo_next,Fusión,0.04943294329432943,0.6252571544544663,100,0.1395019501950195,0.16627899320351924,100,0.23812787498885724,0.018217259052527697,98,0.18284370199692782,0.15147573459643587,63,4,4,0.04943294329432943,0.23812787498885724,0.15247661761878348,0.11701622897352094,0.02640942177485986,360
F06_B2_ventana,Fusión,0.062346234623462345,0.5377468200244111,100,0.13208520852085207,0.19019804752271643,100,0.09529547526602018,0.3506137656876016,98,-0.0016321044546850998,0.9898711127275848,63,4,3,-0.0016321044546850998,0.13208520852085207,0.07202370348891238,0.047803609595753055,0.3657979330249379,360
F07_T_media,Fusión,-0.2733393339333933,0.005929838051093295,100,0.07680768076807679,0.4475276976384639,100,0.10957328385899813,0.28029858906860433,99,0.22206221198156684,0.08025981358338462,63,4,3,-0.2733393339333933,0.22206221198156684,0.03377596066881211,0.016410319197237056,0.7560016003037401,361
F08_T_ventana,Fusión,-0.27421542154215417,0.0057658391518802116,100,0.11467146714671467,0.25593575664256785,100,-0.050624613481756335,0.6187444235853696,99,-0.22206221198156684,0.08025981358338462,63,4,1,-0.27421542154215417,0.11467146714671467,-0.10805769496469067,-0.06081352698407839,0.24910880501949645,361
F09_T_gas_bhf,Fusión,0.13743774377437742,0.17270026973568686,100,-0.01774977497749775,0.860859660917214,100,0.15873840445269016,0.1165696444372887,99,0.138536866359447,0.27889082349697564,63,4,3,-0.01774977497749775,0.15873840445269016,0.10424080990225422,0.11763747111308365,0.025409060158364086,361
F10_irf_next,Fusión,0.15738373837383737,0.11786146226682714,100,0.17488148814881485,0.08181237544008702,100,0.3093612327780221,0.0019375758003382971,98,0.3309331797235023,0.00806827788661696,63,4,4,0.15738373837383737,0.3309331797235023,0.24313990975604416,0.20153241923162984,0.00011807626130273195,360
F11_log_sn_feo_next,Fusión,0.09617761776177616,0.3411511154559133,100,0.001008100810081008,0.9920577760934993,100,-0.018431740081224616,0.8570433889083949,98,0.08808563748079878,0.49240185585645674,63,4,3,-0.018431740081224616,0.09617761776177616,0.04170990399285784,0.07936249508098056,0.13285656294919418,360
F12_d_log_sn_feo,Fusión,0.19861986198619858,0.04759003075125594,100,0.03571557155715571,0.7242549009481807,100,-0.062117068008084204,0.5434362605762854,98,0.07200460829493087,0.5749318584687826,63,4,3,-0.062117068008084204,0.19861986198619858,0.06105574345755024,0.06139450664485579,0.24526632470739837,360
F13_masa_por_carga,Fusión,0.03422742274227422,0.7353103817716606,100,-0.0873207320732073,0.3876534561662462,100,0.15565926464306432,0.1258875260575075,98,0.17189900153609833,0.1779364501307203,63,4,3,-0.0873207320732073,0.17189900153609833,0.0686162392120574,0.019216969266738167,0.7163196516536215,360
F14_sn_ret_por_c,Fusión,0.025469221330800686,0.8014036775757726,100,-0.08469246924692468,0.4021523730236079,100,0.025495859074651416,0.8032074413095976,98,0.14813748079877112,0.24659256670853197,63,4,3,-0.08469246924692468,0.14813748079877112,0.028602522989324634,0.042278584952567685,0.4238570522668461,360
F15_dT,Fusión,-0.09282928292829282,0.3583009513833245,100,-0.0351035103510351,0.7287952106472083,100,-0.11095856524427952,0.27422579210228937,99,0.1900441628264209,0.13573700401495248,63,4,1,-0.11095856524427952,0.1900441628264209,-0.012211798924296635,-0.0450906271202869,0.39300237023634305,361
F16_sn_ret_frac,Fusión,0.05084908490849084,0.6153699494457101,100,0.026870687068706867,0.7907194580142732,100,0.10878615738704102,0.2862976970004679,98,0.17497119815668205,0.17019191873363934,63,4,4,0.026870687068706867,0.17497119815668205,0.09036928188023019,0.09863399151742426,0.06155316093477965,360
